jobTitle,jobLocation,applicantsCount,viewsCount,jobPosterProfileUrl,postedAt,appliesClosed,applyUrl,jobDescription,remoteAllowed,companyName,companyUrl,matchedSkills,jobFunctions,jobIndustries,appliesClosedAt,jobType,jobUrl,jobImageUrl,timestamp,query
Technical Content Writer (Infura),"Singapore, Singapore",11,84,,2022-03-11T23:32:47.000Z,false,https://consensys.net/open-roles/gh_jid?gh_jid=4030497&gh_src=4a7b57e21us,"About ConsenSys

At ConsenSys we have a vision of a world where data sovereignty and financial well-being is accessible to every person and organization. We believe Ethereum and decentralized protocol technology is a more trustworthy and equitable foundation for how we create and share value across the web. On this trusted, open source foundation, we can accelerate the world’s transition to a universally accessible network of distributed participants wheransparency, security and freedom are fundamental.

Our product suite, composed of Truffle, Infura, Quorum, Codefi, MetaMask, and Diligence, serves millions of users, supports billions of blockchain-based queries for our clients, and has handled billions of dollars in digital assets. As the leading Ethereum software company, ConsenSys enables developers, enterprises, and people worldwide to build next-generation applications, launch modern financial infrastructure, and access the decentralized web. To learn more about ConsenSys, and explore our products and solutions, visit http://consensys.net/.

Why join ConsenSys?

Remote first. You’ll be joining a team based all over the world. Providing the unique opportunity to work with people from many different countries and cultures. Want to work remotely? Go ahead. Or pop into one of our offices? We’ve got you covered in NYC, DC, Dublin, London, Paris, Brisbane and Hong Kong.

Flexible working arrangements. You can create your own journey with flexible schedules and locations. We believe everyone has the right to control their own freedom. Our people can make their own schedule, own their own time, and we encourage you to travel and work from anywhere in the world.

Continuous learning and opportunities. You’ll be constantly exposed to new concepts, ideas and frameworks from your peers and as you work on different projects — challenging you to stay at the top of your game. To support your development we pay for you to learn by offering unlimited access to Coursera, a platform with thousands of courses for you to learn whatever you want, and acquire new skills.

Unlimited vacation/holidays. We value downtime to recharge and reset, ensuring everyone at ConsenSys has work/life balance. Company-wide we participate in “zero productivity” days every quarter to take a break from work, shut down, and sit back and relax.

One of the most recognized tech companies in the blockchain ecosystem globally. Work experience at ConsenSys is a tremendous reference for your future career. You’ll join a network of entrepreneurs and technologists that reaches the edge of our ecosystem.

About Infura

Infura is the leading infrastructure platform providing scalable and easy-to-use APIs and cloud solutions for Web3 developers. Infura currently supports Ethereum and IPFS APIs, allowing developers to immediately begin building instead of spending time on architecting and maintaining their own infrastructure.

Infura provides developers instant access to decentralized and blockchain networks without the need to sync or understand complicated peer to peer infrastructure. Similar to how one might access a cloud service to alleviate the friction of owning proprietary compute and storage, Infura lowers the barrier to entry for engineers to begin building.

We believe in a decentralized future powered by Web3, and we know developers will be at the forefront of that progress. We want to empower developers to spend their time building, creating, and evolving by providing them with the best and easiest solution to their infrastructure needs.

Some things to know about the team: we are a remote-first company, with team members all over the world. We strive to reduce meetings, respect work life balance, promote diversity, and generally be good people. We depend on each other not only to make an amazing product but to be a group that wants to succeed together.

What You’ll Do

As a Technical Writer at ConsenSys you'll create technical documentation that will help developers understand and use our tools. Have you ever thought, “I wish more developers knew how to build on Web3 and I want to help guide them”? If so, you are absolutely who we are looking for. If not, don’t worry, anyone who has experience creating technical content, is looking for an exciting new technology and an opportunity to grow should apply! This role is an opportunity to learn and improve, as part of a talented team, with plenty of challenges in a rapidly developing technology.

Would be great if you brought this to the role 
Established portfolio of developer content. Worked for or contributed to a company that provides tools for developers. A knowledge of or passion to learn about the new Web3 technology space. Technologist by experience or education. Comfortable operating in an Agile environment and dealing with uncertainty and ambiguity

Don't check all of the boxes? Don't sweat it. We’re passionate about building a diverse team of humans and as such, if you think you've got what it takes for our chaotic-but-fun, remote-friendly, start-up environment—apply anyway. While we have a pretty good idea of what we need, we're ready for you to challenge our thinking on who needs to be in this role.

ConsenSys is an equal opportunity employer. We encourage people from all backgrounds to apply. We are committed to ensuring that our technology is made available and accessible to everyone. All employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical condition, pregnancy, marital status, family status, veteran status, or any other characteristic protected by law.

ConsenSys is aware of fraudulent recruitment practices and we encourage all applicants to review our best practices to protect yourself which can be found here.",false,ConsenSys,https://www.linkedin.com/company/consensus-systems-consensys-,,"Marketing, Public Relations, Writing/Editing",Computer Software,2022-04-10T23:32:46.000Z,Full-time,https://www.linkedin.com/jobs/view/2952827007/,https://media-exp1.licdn.com/dms/image/C4E0BAQFuqdzGC7-tfQ/company-logo_200_200/0/1593706900519?e=1655337600&v=beta&t=oa1Aa4FhfyqutQAMCAw4Ba5bhPPMlZ6cjnaoZEzqf7o,2022-03-14T11:16:31.849Z,https://www.linkedin.com/jobs/view/2952827007/
Software Engineering (DevOps) Intern,"Singapore, Singapore",16,145,,2022-01-20T04:08:28.000Z,false,https://razer.wd3.myworkdayjobs.com/en-US/Careers/job/Singapore/Software-Engineering--DevOps--Intern_JR2021000666,"Getting onboard Razer will place you on a global mission to revolutionize the way the world games. Razer is a place to do great work, offering you the opportunity to make an impact globally while working across a global team located across 5 continents. Razer is also a great place to work, providing you the unique, gamer-centric #LifeAtRazer experience that will put you in an accelerated growth, both personally and professionally.

Job Responsibilities :
 Manage, monitor and provision operations for development, testing, staging and production environment and infrastructure for web servers and services on premise and in the Cloud. Analyse and improve efficiency, scalability, security, and stability of various system resources. Monitor network traffics, early detection and fast reaction to unexpected suspicious situation. Manage, monitor, troubleshoot and fix for potential network security vulnerability or incidents, implements intrusion detection/prevention and network traffic analysis based on the daily/weekly/monthly reports of IPS and Akamai WAF. Document the operations of system processes, procedures, and configurations. Manage the DevOps backlog of support tasks to ensure appropriate prioritization of work and timely resolutionPre-Requisites : Bachelor's degree in Engineering, Computer Science or a related technical discipline. Experienced in variety of DevOps tools in Amazon Cloud Services (AWS) and on premise Experience with Windows; Linux infrastructures, CI/CD tools, scripting such as JavaScript, PHP, Python, Perl, Ruby, .NET, Scrum/Kanban/SAFe, Agile workflow methodologies. Should have knowledge of environment involving load balancer, firewalls, webservers, application servers, Databases, routers/switches, IPS and Akamai WAF Excellent in network topology/logic, and able to design, implement and support network security solutions Docker and container scanning/security tools. Able to work alone and proactive personality Available to commit for a 6-month internship for optimal learning exposure Are you game?

",false,Razer Inc.,https://www.linkedin.com/company/razer,,"Engineering, Information Technology",Consumer Electronics,2022-03-16T04:08:28.000Z,Full-time,https://www.linkedin.com/jobs/view/2918469480/,https://media-exp1.licdn.com/dms/image/C510BAQHw-kNLEuoX9g/company-logo_200_200/0/1585131732004?e=1655337600&v=beta&t=5OcXSFg2-T3WuS3ZJbafWDKKAAVHYnq5yMBHn662BAk,2022-03-14T11:16:35.635Z,https://www.linkedin.com/jobs/view/2918469480/
Expansion Associate,"Singapore, Singapore",9,120,https://www.linkedin.com/in/ACoAAB1CaW0BuleRsgYOW30fES1IebD7LaWg3Zc,2022-03-11T12:05:49.000Z,false,https://jobs.lever.co/Qashier/b8b66407-aff4-47d9-af06-3bf94b91155a?lever-source=LinkedInJobs,"Want to be part of the fastest growing startup that is at the intersection of Retail, Fintech and Data?
Qashier is looking for an amazing Expansion Associate to support our growth!
We are a dynamic and fast growing team that is excited about commerce, retail and payments, and the opportunity to transform these industries with data and technology.
We are looking for a passionate individual to help scale up our growth and launch our business across multiple markets in Southeast Asia. Reporting to the Head of Regional Expansion, the Expansion Associate is tasked with overseeing and leading our operations, expansion and growth across the region. As one of the most cross-functional roles in the organisation, you’ll work closely with our regional teams to ensure the successful launch and growth of our regional markets.
In short, you’ll be driving Qashier’s success in the following ways:Research, identify and validate growth opportunities Craft go-to-market strategy for new markets and business verticals Manage and drive key launch workstreams including incorporation, licensing and hiringWork closely with country leadership teams to develop, implement and tweak localized playbooks Track key business metrics and deliver actionable insights to drive forward-looking strategy
What you should bring along3+ years of experience in strategy, corporate advisory and / or expansion related rolesPrior experience in a fast growing, zero-to-one environmentStrong analytical thinking and obsession with problem-solvingHigh degree of resourcefulness and adaptabilityAbility to work equally well individually and cross-functionallyWillingness to travel and spend time across various geographies

Why join Qashier?Be at the forefront of a fast-growing startup in an exciting sector. Qashier’s innovative platform combines the latest in Cloud technology, Payments and Data to transform the Retail & F&B industries. You’ll play a crucial role on the growth of a revolutionary product that will become a key platform behind successful retail businesses in the region.Amazing growth and learning opportunities. We are a tight knit team where everyone grows together. You’ll be working directly with the management team to steer the growth of the company. This is a great opportunity for someone who is keen to challenge themselves and break boundaries, and to work in a company dedicated to your success, growth and advancement.Make a strong impact with your work. The work that you do will make a direct impact to the success of thousands of small businesses across the region.Competitive salary and equity bonuses
 ABOUT QASHIERQashier (qashier.com) is a venture-backed startup that provides smart point-of-sale (POS) solutions that help merchants digitalise their businesses. We are transforming the way retail operations and payments is done. Our flagship product is the Qashier Smart Terminal, a connected, multi-purpose device that combines a cloud-based POS software, integrated payment acceptance and a proprietary app store in one uniquely designed device. Today, our platform powers the businesses of thousands of F&B and retail merchants, empowering them to succeed in today’s digital economy.",false,Qashier,https://www.linkedin.com/company/qashier,,"Business Development, Consulting","Information Technology & Services, Financial Services",2022-04-10T12:05:49.000Z,Full-time,https://www.linkedin.com/jobs/view/2952512532/,https://media-exp1.licdn.com/dms/image/C560BAQGbJy3hgyA_vg/company-logo_200_200/0/1641121682548?e=1655337600&v=beta&t=SMd4wgW3E4gx7XZIOBiLy_Ruut-_640iaWl35tCWYLA,2022-03-14T11:16:39.354Z,https://www.linkedin.com/jobs/view/2952512532/
Cloud Architect,"Singapore, Singapore",2,58,,2022-02-28T14:56:51.000Z,false,https://bigcloud.global/job/cloud-architect/,"Are you experienced in cloud architecture?

Do you have experience microservices architecture including Pivotal Cloud Foundry and Kubernetes?

Do you want to work for one of the Fortune 100?

This is a globally-renowned logistics company who are looking to bring on a Cloud Architect/Systems Engineering Leader into their IT Infrastructure team in Singapore.

You will be leading, overseeing and building mission-critical infrastructure used to run production applications in the region.

You will be part of a talented team of engineers that demonstrate technical competency, delivering mission-critical infrastructure and ensuring the highest levels of availability, performance and security. This role is focused on the maintenance of reliability of the cloud-native platform, its processes, and automation of re-occurring tasks.

What you need:
Background in IT, computer systems engineering, or systems engineering and analysis.5 years minimum working in a DevOps/ Cloud/ Systems Engineering position.Microservices exp – ideally Pivotal Cloud Foundry, VMWare Tanzu or Kubernetes.

Would be nice:
Public cloud (Azure) experience.Strong background with Red Hat or CentOS Linux.Solid understanding of server automation systems (Chef, Puppet, Ansible, Terraform).Experience in managing a distributed Kafka cluster.

 Big Cloud is a data science, machine learning and AI recruiting firm. We’re lucky enough to recruit the best candidates into the most exciting companies all over the world. We try to reply to all unsuccessful applications, but we’re only human (for now)! 

In the meantime, check out our jobs page to see what else we’re recruiting for.",false,Big Cloud,https://www.linkedin.com/company/big-cloud,,"Engineering, Information Technology",Staffing & Recruiting,2022-03-30T14:56:50.000Z,Full-time,https://www.linkedin.com/jobs/view/2943702049/,https://media-exp1.licdn.com/dms/image/C4D0BAQHmFXa0sxUDJw/company-logo_200_200/0/1579704931442?e=1655337600&v=beta&t=LWNVSXbxvoQjXxx9qYu84GDaYwvpwIuwuVJkJwvO9R8,2022-03-14T11:16:44.137Z,https://www.linkedin.com/jobs/view/2943702049/
Cloud Infrastructure Engineer [MSS],"Singapore, Singapore",55,234,,2022-03-07T04:07:49.000Z,false,https://www.linkedin.com/job-apply/2909128861,"We are a Cloud Enterprise Business Unit, involved in designing, planning and implementing end-to-end cloud infrastructure for various customers. We are looking for aspiring and pro-active individuals to join MSS on our journey as a key technology partner to our customers, to implement and integrate products to build enterprise cloud systems.  As the technology landscape is fast evolving, you can expect opportunities to continually advance and further your skillset and knowledge of new technologies. MSS will equip you with the necessary tools for you to reach your potential in both soft skills and technical skills. Responsibilities:Plan, execute, monitor and control the various Technical aspect of the Project.Manage or participate in new setup or upgrade of system/network infrastructure projects.Responsible for supporting operational systems satisfying contractual Service Level AgreementPerform and manage routine preventive maintenance and operational activities promptly and effectivelyProvide project documentation and reportsDiagnose and rectify technical issue
Requirements:Diploma in IT or with a relevant course. Knowledge in Windows server OS, Linux OS in a virtual environment would be an advantageKnowledge and hands-on experience with Virtualisation and Hypervisors, Nutanix platform would be an advantageKnowledge in VPN, firewall appliances would be an advantageKnowledge in network switches/routers would be an advantageExcellent written and verbal communication to convey technical ideas to both technical and non-technical audiences and contribute within a team environmentPro-active, dynamic and with good analytical/conceptual thinkingAble to work independently as well as in a team and good interpersonal skills",false,ST Engineering,https://www.linkedin.com/company/st-engineering,,"Engineering, Information Technology",Mechanical Or Industrial Engineering,2022-04-08T03:22:24.000Z,Full-time,https://www.linkedin.com/jobs/view/2909128861/,https://media-exp1.licdn.com/dms/image/C4D0BAQEm55jFujHL5A/company-logo_200_200/0/1519951259736?e=1655337600&v=beta&t=Y-5fq4ehNg-rrnVvCW6UKuFTGUQYkdiu7jujSKVkiiA,2022-03-14T11:16:48.003Z,https://www.linkedin.com/jobs/view/2909128861/
Cloud Storage Engineer,"Singapore, Singapore",28,328,,2022-02-27T01:13:35.000Z,false,https://careers.bpglobal.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25078&siteid=5012&jobId=149143,"Job Profile Summary
Bp is reinventing itself and digital capability is at the core of this vision. To achieve our ambitions and re-imagine energy, we also need to re-imagine digital as it underpins everything we do. Our Innovation and Engineering teams enable strategic platforms enable that future digital vision. The purpose of the platform team is to enable product teams to deliver work with substantial autonomy, focusing on the foundation of self-service API, tools, services, knowledge, and support which are arranged as a compelling internal product.

Join us to gain an opportunity to use your existing experience and expertise whilst continuing to develop professionally at global level. Personal growth and development are encouraged and learning opportunities are plentiful. You are empowered to enable a great platform to delight your customers.

If unlocking value by bringing teams together using digital capability excites you, we want you!

Within this portfolio, the team is responsible for Cloud OS & VM support, technical integration, patching, application monitoring, Workspace support, Azure NetApp file shares, capacity & performance. This is a great opportunity to expand on your technical skills into leading service delivery and architecture using evolving technologies and interacting with teams across BP.

This Role Involves Helping Cloud Operations Support To
 Develop Azure Netapp File share strategies  Support the OS VM Support services  Apply knowledge of Infrastructure and application technologies to bring alignments in support models, practice and procedures.  Focus on operational integrity (silent running) through automation and monitoring  Coordinate opportunities and alliances with partners, including in the areas of infrastructure support and processes.  Support the Staff Platform Engineer 
Job Advert
Key Accountabilities
 Assist in delivering the Azure NetApp product for BP's Cloud customers  Assist Vendor support teams delivering both Netapp and Cloud OS VM  Ensure that all processes and procedures are fully documented  Work with Cloud teams to define requirements, test features and enable roll outs.  Help define and build Event management reports that allow our customers to optimise their application’s performance and costs  Mentor and provide technical leadership of less experienced software engineers  Identify Cloud automation and service improvement opportunities.  Define customer engagement forms that enable automated billing  Take part in proof-of-concept projects to evaluate new tools and features  Participate in daily ADO board reviews  Periodic ticket reviews to identify problem trends  Help develop the team's Roadmap   Education and Experience 
 A Degree in IT, computer Science or related subject (or relevant work experience)  In-depth knowledge of AWS and/or Azure architecture and Netapp  Knowledge of ServiceNow, its configuration and application  Experience in working in a DevOps or Scrum methodology.  Experience in programming and integrating APIs  Ability to quickly learn new technologies  Desire to drive improvements in IT Operations.  Strong ability to engage and influence people.  Ability to work independently with general guidance on outcomes and objectives,  Working knowledge of various datacentre concepts, practices and procedures.  Ability to work with geographically dispersed teams.  Strong multitasking skills and experience working in fast paced and dynamic environments. 
Entity
Innovation & Engineering

Job Family Group
IT&S Group

Relocation available
No

Travel Required
Negligible travel

Time Type
Full time

Country
Singapore

About BP
INNOVATION & ENGINEERING
Join us in creating, growing, and delivering innovation at pace, enabling us to thrive while transitioning to a net zero ‎world. All without compromising our operational risk management.

Working With Us, You Can Do This By
 deploying our integrated capability and standards in service of our net zero and ‎safety ambitions driving our digital transformation and pioneering new business models collaborating to deliver competitive customer-focused energy solutions originating, scaling and commercialising innovative ideas, and creating ground-breaking new ‎businesses from them protecting us by assuring management of our greatest physical and digital risks
Because Together We Are
 Originators, builders, guardians and disruptors Engineers, technologists, scientists and entrepreneurs‎ Empathetic, curious, creative and inclusive
Experience Level
Intermediate",true,bp,https://www.linkedin.com/company/bp,,Information Technology,Oil & Energy,2022-03-29T01:13:34.000Z,Full-time,https://www.linkedin.com/jobs/view/2937760661/,https://media-exp1.licdn.com/dms/image/C560BAQEhoIsQ2skmTA/company-logo_200_200/0/1630913868016?e=1655337600&v=beta&t=H-BndQQVm_WTzS0aokLIxoFyLi_OV5YHSJ_WDXv9EKU,2022-03-14T11:16:52.114Z,https://www.linkedin.com/jobs/view/2937760661/
Cloud Native Developer - Traffic Scheduling,"Singapore, Singapore",4,79,,2022-03-11T11:24:06.000Z,false,https://careers.shopee.sg/job-detail/2625,"About The Team

The mission of OpsDev team is to energise TechOps' ability and power that control and manage massive resources and traffic in a highly efficient, accurate and consistent way. The team provides productional software, intelligent engines, and stable system architectures devote themselves to build a DevOps ecosystem to integrate all resources and tools, eliminates the gap between Ops and Dev. The main scope focuses on Global Traffic Schedule and Management Platform(NLB, ALB, GSLB, Hybrid CDN, DNS and etc), Hybrid Cloud Resource Schedule and Management Platform(Bromo, Hybrid Cloud Management, Mesos, Kubernetes, Container, Physical Server, VM, CICD and etc), Internal System(CMDB, SPACE, TOC and etc).

Job Description
Design and develop Shopee Cloud Native Traffic Scheduling Systems such as DNS, Load Balancer, CDN, API Gateway and Service DiscoveryEvolve Shopee Cloud Native infrastructures and empower Shopee businesses via Cloud Native technology stacksOptimise Shopee Cloud Native Traffic Scheduling Systems' throughput and latency continuouslyImprove Shopee Cloud Native Traffic Scheduling Systems' availability, stability, security and extensibilityEnsure the smooth running of Shopee Cloud Native Traffic Scheduling SystemsMake Shopee Cloud Native Traffic Scheduling Systems' easier to use and more maintainableOptimise processes in systems and reduce their learning cost based on daily support feedback and business requirementsBuild automate and engineering solutionsDetect and fix potential problems in advance via TDD, chaos engineering and regular fire drillsImprove auto-heal to reduce unnecessary manual operations

Requirements
Bachelor's or higher degree in Computer Science or related fields.Passionate about coding and programming, innovation, and solving challenging problems.In-depth understanding of computer science fundamentals (data structures and algorithms, operating systems, networks, databases, etc).Familiar with Linux development environments and multi-threaded programming; Experiences in development of large-scale distributed systems.Familiar with Linux dynamic tracing and performance profiling; Experience with software troubleshooting.Strong and hands-on experience with at least one of the programming languages: Go, Python, C++, Java.Strong logical thinking abilities.

Skills Below Are Optional But Preferable
SRE background, have hands-on experience for massive scale systems.Experience with DPDK, XDP, HttpDNS, VxLAN.Experience with Nginx, Tengine, OpenResty, LVS.Experience with Cloud Native technology stack such as Kubernetes, Prometheus, CoreDNS, Istio, Helm, etcd, Jenkins and etc.Experiences in the design and development of large-scale systems and platforms.Contributed to open-source projects.Published papers at top conferences like ASPLOS, Eurosys, NSDI, OSDI and etc.",false,Shopee,https://www.linkedin.com/company/shopee,,"Engineering, Information Technology",Internet,2022-05-15T00:20:17.000Z,Full-time,https://www.linkedin.com/jobs/view/2838139655/,https://media-exp1.licdn.com/dms/image/C560BAQHUX3TD93JE7w/company-logo_200_200/0/1640256870457?e=1655337600&v=beta&t=47D0XooVFAQNtKyg0on59swug2ygnZJF0D1kVhwPQuE,2022-03-14T11:16:56.501Z,https://www.linkedin.com/jobs/view/2838139655/
Cloud Operations Engineer,"Singapore, Singapore",154,365,https://www.linkedin.com/in/ACoAADMaa5kB_ljyBdtGxtR4qfk2xvKGKjwnWdE,2022-02-16T04:01:40.000Z,false,,"One of our clients in Singapore who is an Australian-born technology company is looking for a Cloud Operations Engineer who are skilled with the following requirements below.
Core Skills:Strong understanding of core AWS cloud technologies such as :Managing and optimizing ECS clusters; including optimizing auto-scaling to cater for extreme swings in demandEC2, NetworkingCloud-watch, LambdaSuperb analytical and troubleshooting skills in order to perform root-cause analysis on issues raised and action plans to address the incident as well as the problem.Cloudformation, Jenkins, Ansible and Bitbucket
Soft Skills:Candidate will work directly with highly technical users to understand issues and perform root-cause analysis – note this is not end-user support, but down-stream engineers and developers using the services and applicationsAble to interface effectively with stakedholders with different levels of technology background, from pure business, super-users, developers, and other engineers.Able to interface with other engineering teams with varying levels of cloud knowledge to explain root causes and recommend / roll-out remediation for cloud services.Appetite to learn
We are looking to appoint a Cloud Engineer to support our client's IT Support team as they transition to the AWS and roll-out their applications on AWS.
What this team does:They’re part of the SPE team which manages 6 different trading applications in AWS. We operate by weekly standup usually on Thursday with the application stakeholder to understand the progress of the assigned tasks in JIRA. Day to Day we need to respond to any last min request from the application team such as rebuilding cluster in AWS, change parameter in bitbucket and redeploy, standardize design throughout all 6 applications, respond to production issues and provide RCA to app stakeholders.Apart from that, within JIRA we do have backlogs to clear such as exploring new features or administrative stuff such as changing instancetypes.When production system acts “abnormal” we need to provide infra level analysis and understand where the issue is, where it went wrong and why it went wrong.

MOM (Singapore) EA Licence No: 18S9504",false,Green Light Worldwide,https://www.linkedin.com/company/green-light-worldwide,,"Project Management, Information Technology",Information Technology & Services,2022-03-18T04:01:38.000Z,Full-time,https://www.linkedin.com/jobs/view/2920737629/,https://media-exp1.licdn.com/dms/image/C560BAQFV6bFJgus3IQ/company-logo_200_200/0/1599801077000?e=1655337600&v=beta&t=4i03O8PS1kc4P94zkX-VCu6m-BOye0ZaO3EbJdEkxw8,2022-03-14T11:17:00.173Z,https://www.linkedin.com/jobs/view/2920737629/
Associate Solution Sales Director - Cloud,"Singapore, Singapore",4,49,,2022-03-07T10:01:12.000Z,false,https://careers.starhub.com/job/Associate-Solution-Sales-Director-Cloud/773947410/,"Job Description

The primary focus is to play a leading role as the Technical Sales Driver in providing pre-sales technical expertise to the Account team and customers for Cloud opportunities. You build opportunities / pipeline through an outcome-based consultative approach and drive deal closure that pull through other StarHub solutions and products. At the same time, you should also educate the target market on StarHub transformation and its value offerings, roadmap and its differentiation of its market leading role.

The key function involves leading opportunity development efforts from lead qualification through closure. You take ownership of the solution design process to ensure the selection and use of best fitting technology, delivery and support processes. You own the preparation and presentation of technical and commercial proposals of how StarHub’s solutions and products can meet customer’s needs and be integrated with customer’s systems and equipment.

Responsibilities
 Introduce StarHub's portfolio of solutions and services to achieve a high share-of-wallet in the account by positioning StarHub strengths and capabilities in front of customers Understand customer’s businesses, and identify influencers and decision makers within a customer organisation. Focus on identifying customer’s business challenges and developing strong value propositions to help customers meet their business objectives Addresses complex client business problems through Cloud, Hybrid Cloud and On-premise offerings Engage effectively with all levels across a customer’s organisation to include all C-level executives, negotiate with customers and effectively close business deals Prepare, reviews, edits and optimizes the documents and give recommendations for improvement to technical authors or even rewrite major parts; Provide guidance and coaching to technical authors Prepares, presents and conveys the customers benefit of solutions in bid proposals and presentations Identifies and summarizes main obligations and risks of contracts Negotiation Support: Support in developing the contract and if necessary participation in contract negotiations, to bridge possible gaps between legal, technical and commercial solution Interact with internal departments and external partners to develop and implement strategies, plans and business models Ensure revenue targets are met Proper planning, monitoring and accurate forecasts on billing Ensure excellent Customer Satisfaction levels with every Customer engagement

Qualifications
 Diploma or Degree in IT, Computer Science or related field Minimum 5 years’ proven customer engagement (in presales, business development and account management) track record in the Telecommunications or IT industry Deep knowledge of the cloud services market, public and hybrid cloud solutions, Application to Cloud Transformation Services Understanding of technology, security, and automation in Cloud: On-Premise Private Cloud (Microsoft-based, VMware-based) Public Cloud (Amazon AWS, Microsoft Azure, Google GCP) Hybrid Cloud DevOps Knowledge and/ or capability to use/ implement /migrate cloud related technologies Familiarity with surrounding supporting enterprise information infrastructure (e.g. server, network, AD background) Knowledge of networking concepts including: routing, VPNs, load balancers and firewalls is an advantage. Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Cloud / IT technology space Willing to work in a dynamic “start-up” department within an established company High degree of self-motivation, strong commitment and result oriented Dedicated professional with excellent written and verbal communication skills Independent and resourceful team player with a genuine enthusiasm for providing excellent support to internal and external customersWe regret that only shortlisted candidates will be notified.",false,StarHub,https://www.linkedin.com/company/starhub,,"Sales, Business Development",Telecommunications,2022-04-06T10:01:11.000Z,Full-time,https://www.linkedin.com/jobs/view/2944378464/,https://media-exp1.licdn.com/dms/image/C4D0BAQHITUJ-kDZDTQ/company-logo_200_200/0/1610672356438?e=1655337600&v=beta&t=xv1CotwbI_lh0DKqW0ztARX5EaNgiO0ZozTTu5KlgL4,2022-03-14T11:17:04.611Z,https://www.linkedin.com/jobs/view/2944378464/
Partner Specialist (B2B Cloud Tech - India/Thailand - Expansion Market),Singapore,154,602,https://www.linkedin.com/in/ACoAAAne__ABnwuIYsxQiBgow-EGZGdW3fNCoew,2022-02-21T02:03:24.000Z,false,https://www.linkedin.com/job-apply/2809211676,"At ServiceSource, we strive to find and grow exceptional people like you.
Working at ServiceSource, you will be a part of an engaging, energetic, and entrepreneurial work environment while having the stability and influence of a nearly 20-year industry leader behind you. ServiceSource is a place where you can GROW, both personally and professionally, while expanding your skills in sales, customer success and people management.
Partner SpecialistExplore career opportunities with us if you are passionate about sharing the value and benefits of our client's products through meaningful engagement with a focus on managing channel partners.
The Partner Specialist is responsible for effectively enabling the account management and sales process for a client’s products and services for an assigned territory/client, with moderate variables in geography and/or customer complexity. Armed with technical understanding, you will understand and capture the voice of the customer for assigned client.
As part of our expansion growth, we are looking for an individual who has prior sales management experience in fast moving consumer / electronics engineering or technology industry with a relationship building mindset with the capacity for quick thinking. This is a permanent and full time position.
Duties And ResponsibilitiesDrive customer retention and revenue growth for an established customer base.Achieve defined metrics by enabling the sale of products/services to a portfolio of strategic channel engagement partners.Provide accurate weekly/monthly/quarterly sales forecasts.Conduct monthly/quarterly consultative reviews and health checks analyzing business needs.Create talk tracks specifically related to customer health and use predictive data to identify ‘at-risk’ customers.Maintain overall health of channel, ensuring high satisfaction levels, with constant evaluation of channel experience and leverage feedback to drive change.Manage all channel escalations and coordinate delivery of prompt and successful resolution, while maintaining communication to client and internal teams.Facilitate and drive calls with channel partner to share best practices, communicate and drive channel programs and strategic growth opportunities to expand business.Ensure value visible to client by sharing insights with proactive engagement on key initiatives.Create, develop and deliver training to the sales team, sharing key learning and reinforcing the unique value and benefits of products.Ensure high level of professionalism during all interactions with customers and prospects.Effectively partner and build strong business relationships with both internal and external stakeholders and global peers to ensure customer expectations are met.Collaborate with cross-functional teams and management to optimize sales processes, systems and achieve a superior customer experience.Maintain a high level of CRM hygiene to ensure all relevant data is captured in a timely and consistent manner.
 CompetenciesThis role will require you to provide channel solutions to our Thai/Hindi/Tamil-speaking clients in APAC including Thailand, India, Sri Lanka, Pakistan and Bangladesh market as well as SEA region.Prior success in achievement in individual and/or team sales quota/goals.Demonstrated ability to effectively communicate with customers in a fast-paced environment while developing positive customer/partner relationships.Prior experience in high volume calling required.Demonstrated aptitude to learn and optimize new technology and data.
Other Information5 days work week (Mon - Fri / regular working hours).Singapore office is at walking distance from nearest MRT (Labrador Park).Permanent position, work from home required.
Uninterrupted home-based internet is required for this role. Applicants should have sufficient internet access in their homes to attend and host video calls, as well as perform essential functions of the role which include downloading and uploading of large files to shared network drives.
 If this sounds like an interesting opportunity, hit (easy) apply!All shortlisted candidates will be contacted.",true,ServiceSource,https://www.linkedin.com/company/servicesource,,"Sales, Consulting, Business Development","Information Technology & Services, Computer Software, Consumer Services",2022-03-26T08:28:22.000Z,Full-time,https://www.linkedin.com/jobs/view/2809211676/,https://media-exp1.licdn.com/dms/image/C4D0BAQFKY6vmboRuSA/company-logo_200_200/0/1625248616954?e=1655337600&v=beta&t=2664My1iqg9G_xIXJtjuZRLpyWenwZnMRD_X8Wh3hKE,2022-03-14T11:17:09.413Z,https://www.linkedin.com/jobs/view/2809211676/
