jobTitle,jobLocation,applicantsCount,viewsCount,jobPosterProfileUrl,postedAt,appliesClosed,applyUrl,jobDescription,remoteAllowed,companyName,companyUrl,matchedSkills,jobFunctions,jobIndustries,appliesClosedAt,jobType,jobUrl,jobImageUrl,timestamp,query,error
Graduate Engineers ,"Singapore, Singapore",289,1075,https://www.linkedin.com/in/ACoAABJwWjYBrbHDhCoYlEC6RUXyv490BlOmLTU,2022-03-07T02:34:32.000Z,false,https://www.linkedin.com/job-apply/2909301422,"Capgemini Engineering combines, under one brand, a unique set of strengths from across the Capgemini Group: world leading engineering and R&D and digital manufacturing expertise. With broad industry knowledge and cutting-edge technologies in digital and software, Capgemini Engineering supports the convergence of the physical and digital worlds. Combined with the capabilities of the rest of the Group, it helps clients to accelerate their journey towards Intelligent Industry. Capgemini Engineering has more than 52,000 engineer and scientist team members in over 30 countries across sectors including aeronautics, automotive, railways, communications, energy, life sciences, semiconductors, software & internet, space & defense, and consumer products.
Capgemini Engineering is an integral part of the Capgemini Group, a global leader in partnering with companies to transform and manage their business by harnessing the power of technology.The Group is guided every day by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of 300,000 team members in nearly 50 countries. With its strong 50-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2020 global revenues of €16 billion.
Our Offer: At Capgemini we see things differently.Vision – The business value of technology comes from and through people.Your career matters to you and is important to us too. Because your goals and needs are constantlyevolving, we offer visibility, leeway and support to help you grow and progress in your career.We promote a culture of diversity. We believe working with talented individuals from different backgrounds and points of view is a strategic advantage and an ongoing opportunity. Diversity enriches our creative solutions and adds value for our clients.Our Shared values have been at the heart of the group since our formation. They are honesty, boldness,trust, freedom, team spirit, modesty and fun. These values influence the way we meet client needs while respecting the regulatory requirements of each country in which we operate, and the way we promote ethically sound practices within Capgemini and in our partnerships.Capgemini is committed to building a workforce of employees with diverse backgrounds and workexperiences.Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace.

Basic expectations:Demonstrated history of achievement in academics, course work, coops and/or work experienceInvolved in various extra-curricular activities to develop personality skills while in college / universityProjects done as a part of academics involving electronics and software would be an added advantage.Any kind of exposure to LabView of National Instruments Software would be an added advantageHands on experience on any object oriented programming language where some small projects would have been done as a part of college academics showcased in the profile would be an added advantage
Strongly preferred if you (any one or more from below):Have some kind of exposure to electronic circuits components such as sensors/ RTD’s/ Thermocouples/ Relays/ Encoders/ Counters / ADC/ DAC/ RC Filters/ Op-Amps/ Timers/ Switching Circuits/ Microprocessors 8/16/32 bit as a part of their academic curriculumHave been exposed to application or programming using C/C++ / Fortran / Python or Pascal or similar object oriented languages as a part of their curriculumHave experience with PLC, SCADA, AutoCAD, 3D design or any other mechanical design knowledge is beneficialUnderstand Open/Closed loop system definitions, Control charts like Laplase Transforms, Nyquist plots, Bode Plots etc. as part of their curriculumFamiliar with lab equipment’s such as power sources, CRO’s , network routers etc.Have basic communication protocols such as RS232/RS485/RS422/TCP/IP/ UDP as part of their academic curriculumHave some knowledge of EMI/ EMC and other environmental standards (even names only with a definition) as a part of the curriculumNote:6/12 months graduate program will involve training both in-house and on-the-job training in R&D labs.Have a look at the below links to understand a bit about us.
https://youtu.be/V4_Rt01uBxEhttps://www.youtube.com/watch?v=XGWQ8vRmS5Q&t=3shttps://www.capgemini.com/service/digital-services/digital-manufacturing/https://www.capgemini.com/service/digital-services/digital-engineering-and-manufacturing-services/",false,Capgemini Engineering,https://www.linkedin.com/company/capgemini-engineering,,"Information Technology, Engineering","Information Technology & Services, Electrical & Electronic Manufacturing",2022-04-09T17:46:02.000Z,Full-time,https://www.linkedin.com/jobs/view/2909301422/,https://media-exp1.licdn.com/dms/image/C4D0BAQGcNoU1nVm4Wg/company-logo_200_200/0/1617853380354?e=1655337600&v=beta&t=TA9Cns5pwf03vUHxntKL7KBNGAfYMHKO-TMZnMGMODg,2022-03-14T08:03:30.854Z,https://www.linkedin.com/jobs/view/2909301422/,
C++ Software Engineer,"Singapore, Singapore",27,211,https://www.linkedin.com/in/ACoAACQQR64BSJaDvOH2645-k20i7RZiHz2vbN8,2022-03-10T08:02:29.000Z,false,https://positions.motional.com/careers/opportunity/c-software-engineer/?gh_jid=5004626003,"We are currently hiring a C++ software engineer for our Basemap Algorithm team. Our team works on creating high definition 3D maps for Autonomous vehicles. You will be working on core mapping technologies and infrastructure to support our map building pipelines on the cloud. You will join a talented team working on cutting edge technologies and will be involved with coming up novel solutions for one of the core systems of the whole Autonomous Vehicle stack.
Things you'll get to work on:Develop software components to support different stages of SLAM.Develop components and interfaces for a large scale distributed system.Write modules for persistent storage and serialization of maps in data stores.Provide designs and models for object oriented software.Work with point clouds, images and other sensor data.Review code and collaborate with other team members.
Education and Experience we are looking for:MS or BS in computer science or related fields.2+ years professional work experience as a software engineer using C++.
Skills and traits you will likely already have:Excellent Modern C++ 14/17 development skills on Linux platforms.Strong experience in data structure and algorithms.Strong experience in multi-threaded programming.Strong software design and Object Oriented Programming skills.Familiar with Git, docker and CI/CD tools.
Bonus points (but not required):Knowledge of SLAM algorithms is going to be helpful.Experience of point cloud and image processingCloud based distributed systems knowledge.Database design and modeling experience.Python and Shell scripting.",false,Motional,https://www.linkedin.com/company/motionaldrive,,"Engineering, Information Technology",Automotive,2022-04-09T08:02:28.000Z,Full-time,https://www.linkedin.com/jobs/view/2963067141/,https://media-exp1.licdn.com/dms/image/C560BAQGpQRx8__0v2A/company-logo_200_200/0/1597147370313?e=1655337600&v=beta&t=Px3xx4f-7mjrNoBDSv17VVkYOU_rp4UNWrdsEhiyIeA,2022-03-14T08:03:34.108Z,https://www.linkedin.com/jobs/view/2963067141/,
Cloud Engineer (Automation),"Singapore, Singapore",0,0,,2022-03-01T01:04:48.000Z,false,https://www.mycareersfuture.gov.sg/job/engineering/cloud-engineer-recruit-expert-768fcb12715439b29e5a64e203fbc9e5,"In-charge of the design, deployment, installation, provisioning, troubleshooting, and reporting for the Openstack based cloud infrastructure and related Cloud services.Develop maintenance plans and activities for Cloud infrastructure including application of fixes, security patches and upgrades, capacity increases and other Cloud related maintenance.
Requirements
Degree in IT/Computer Science or equivalentAt least 3 years of experience in automation with configuration managements tools like Ansible, chef, puppet etc.Good knowledge of cloud, Hybrid configuration, diversity across platforms
If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com Please note that only shortlisted candidates will be notified.

For more job opportunities, please visit our website at www.recruit-expert.com

EA Licence: 19C9701

Registration: R1326740",false,RECRUIT EXPERT PTE. LTD.,,,"Engineering, Information Technology",,2022-04-12T21:43:23.000Z,Full-time,https://www.linkedin.com/jobs/view/2969452745/,,2022-03-14T08:03:37.172Z,https://www.linkedin.com/jobs/view/2969452745/,
Online Game Backend Engineer,"Singapore, Singapore",8,123,,2022-03-08T23:48:03.000Z,false,https://tlm.bamboohr.com/jobs/view.php?id=122,"Are you looking to change the gaming industry? We are!

TLM Partners, Inc. is a world-class digital entertainment company led by industry veterans. We are an engineering powerhouse, and our Subject Matter Experts work on some of the most ambitious projects in the industry and work alongside partners as 'off-site' professional services for publishers, indie video game developers, SAAS, Cloud, and Visualization companies. We are setting the bar for best-in-class cross-play gaming experiences on every platform using our custom technologies and tools.

We offer a 100% remote working environment as a ""Cloud Studio"" with awesome benefits to support a harmonious work life balance from anywhere in the world. Come join our vision to build a world class studio.

Position Summary: Online Backend Engineer
 As an Online Backend Engineer you will participate on a team of 4-6 mid-level engineers, under the supervision of the lead engineer.  Full-time, 100% remote  Participate in hands-on software engineering work, and peer review.  Facilitate communication between clients, internal teams/management, and other individual contributors.  Reports to: Head of Technology 

Responsibilities:
 Work with the technical director and studio leadership developing code for global development projects involving infrastructure for online gaming architecture for multiple platforms/games/consoles.  Work with architects to implement design recommendations and solutions for existing architecture to improve performance, security and reliability.  Develop, maintain, deploy, and optimize backend services and work / interface with front-end teams.  Work with the primary interface between Client partners and TLM Partners.  Participate with other departments providing development, documentation, influence strategy and overall direction for an online environment through your contributions.  Collaborate in peer education and self study. 

Required Qualifications:
 Bachelor's Degree in Computer Science or equivalent combination of education and experience.  3+ years of application development experience.  Experience in scaling services reliably to a huge number of concurrent users.  Polyglot development experience with multiple backend platforms and languages.  Experience with online cloud hosting services such as AWS, Azure, etc.  Experience working with online game platforms.  Great with lateral thinking and motivation to work independently and on a team as well as the ability to work directly with teams across multiple territories and time zones.  Systems and Network Engineering knowledge.  Ability to create and maintain technical documentation from the beginning of a project through completion.  Dedication, teamwork and professionalism.  The ability to handle high pressure situations, with composure and diplomacy.

Desired Qualifications:
 Great interpersonal skills.  Experience with UE4 or Unity game development is highly desirable.  Shipped one or more AAA console or PC titles.  Experience with cross-platform online gaming is a plus.  Experience implementing an online gaming infrastructure is a plus.  3+ years experience in the games industry.  Knowledge of, or experience with game development systems is advantageous.  Familiarity with current and next console SDKs, Steam, Epic Game Store. 

#tlmeu

#tlmlatam

#tlmna

#tlmapac",true,TLM Partners,https://www.linkedin.com/company/tlm-partners-inc,,"Engineering, Information Technology",Computer Games,2022-04-07T23:48:01.000Z,Full-time,https://www.linkedin.com/jobs/view/2947034696/,https://media-exp1.licdn.com/dms/image/C4E0BAQE4ItY6GXxLZA/company-logo_200_200/0/1634226265318?e=1655337600&v=beta&t=UTH4vWIF-Ov-HLUs3cz5yP_kK5O44h5i8IeLWoeiSXw,2022-03-14T08:03:40.272Z,https://www.linkedin.com/jobs/view/2947034696/,
Associate Data Scientist,"Singapore, Singapore",71,645,,2022-03-11T11:46:43.000Z,false,https://groupcareers.singtel.com/job/Associate-Data-Scientist-Sing/587511210/,"Jobscope
Conceptualize data use cases with business users and conduct tech assessment and define measurements of success for data use case.Develop machine learning models for predictive modelling, NLP models, text analytics and operational analytics.Manipulate large data sets and use them to identify trends and reach meaningful conclusions to inform strategic business decisionsInterpret and analyse data using exploratory mathematics and statistical techniques based on the scientific methodIncorporating new data sources and implementing creative methodologies to improve model performance.Helping build production systems that take inputs from multiple models and support decision making.Build, validate, test, and deploy models and algorithms.
The Ideal Candidate Should Have The Following
A degree in Computer Science, Applied Math, Statistics, or Industrial Engineering. 5+ years of work experience involving quantitative data analysis and complex problem solving.Complete command of SQL, and either Python, R, or Hadoop frameworks along with some experience with Tableau. Proficiency with similar BI and visualization tools is also transferable.Experience directly querying large data sets including email data, networks data, system logs data, customer usage data, third party data and raw data ingested from non-standard platforms.Experience with distributed analytic processing technologies (think Hive, Spark)Experience building and deploying analytic solutions as well as machine learning and/or optimization models in production.Experience with NLP and operational analytics is highly regarded. Experience with Azure cloud is a plus. We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated.",false,Singtel,https://www.linkedin.com/company/singtel,,"Engineering, Information Technology",Telecommunications,2022-05-05T22:04:26.000Z,Full-time,https://www.linkedin.com/jobs/view/2863122266/,https://media-exp1.licdn.com/dms/image/C4D0BAQEmT3lq2KZDXw/company-logo_200_200/0/1519856511239?e=1655337600&v=beta&t=5XJws0OY3VjYJDXmZn9hnLJShCDkxG6iKLnpmwDfIhM,2022-03-14T08:03:43.828Z,https://www.linkedin.com/jobs/view/2863122266/,
"Intern, Inside Sales Rep – Korean Speaking","Singapore, Singapore",13,273,,2022-02-26T10:37:00.000Z,false,https://careers.vmware.com/jobs/R2127020?lang=en-us&source=LIPJ,"Role Nature: Inside Sales (Software)

Start Date: May 2022 (12 weeks - 3 months internship)

prerequisite criteria:

We're looking for Year 3 and/or final year students graduating in Dec 2022 or July 2023.This job opportunity is not eligible for employment-based immigration sponsorship by VMware.

Success in the Role: What are the performance outcomes during your internship you will work towards completing?

In short, this person should come out of the program with a basic understanding of the roles and functions on an Inside Sales Rep, be comfortable with talking to prospects, customers, partners, and even internal stakeholders. This person should also be able to leverage each business units/stakeholders to help customers achieve the optimal results in a sales process.

The Candidate: 

The successful individual who wanted to join us on the next stage of our journey should be:

Adaptable and progressive learner with the ability to explain complex technical concepts in simple layman terms without the use of any technical jargons.Ability to work independently and collaboratively in a team environment.You should have great ability to communicate and presentation skillsAbility to articulate customer’s specification on required deliverables and expectations with the Inside Sales Engineers help.You’re highly interested in technology, likes to learn tech solutions and keeping up with trends of the industry.You should love to communicate but most importantly, you should also have a keen ear to listen.The ability to think outside the box with creative thinking, to come up with innovative solutions and outcomes.You will need to be comfortable in communicating well, articulating and evangelizing.Passion on cloud computing technologies, application development, Kubernetes technologies and software tech.Hungry to learn and to share

What is the leadership like for this role? What is the structure and culture of the team like? 

The role would be reporting into Marion Lee, Senior Commercial Sales Manager (Singapore and Korea). She leads a broad team of talented inside sales reps and specialists.

If you are looking to become a member of a talented team and help transform the technology landscape? If so, we would love to hear from you!

Where is the role located? 

Singapore. Non-remote.

Flexi-work arrangement allowed.

Any questions?

Please feel free to email VMware University Talent Team UT_SEAK@vmware.com for any questions.

Category : University and Recent Grads

Subcategory: Internships

Experience: Internship

Full Time/ Part Time: Full Time

Posted Date: 2022-02-04

VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.

Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.",false,VMware,https://www.linkedin.com/company/vmware,,"Sales, Business Development",Computer Software,2022-04-06T10:04:18.000Z,Full-time,https://www.linkedin.com/jobs/view/2907245520/,https://media-exp1.licdn.com/dms/image/C560BAQGRwuYZeI6aaA/company-logo_200_200/0/1588094413060?e=1655337600&v=beta&t=T-_Bdirl5sfG_6mTrLQaU92SfjQmUtKloxoqbzkSmug,2022-03-14T08:03:46.915Z,https://www.linkedin.com/jobs/view/2907245520/,
Information Security Manager,"Singapore, Singapore",27,108,https://www.linkedin.com/in/ACoAACt4Y7YBMjPYvGYKhCYwf5lppWzXiapKxuE,2022-03-11T08:25:22.000Z,false,https://www.linkedin.com/job-apply/2951984604,"Company Overview: A leading one-stop, global Human Resource service provider, BIPO helpscompanies scale up their HR operations with ease. Our award-winning cloud and mobile-based Human Resource Management System (HRMS) platform simplifies complicated HR processes. We understand companies need to stay agile, efficient, and cost-effective. That is why we have designed a comprehensive suite of HR solutions – Payroll Outsourcing, Attendance Automation, HR Consulting, Recruitment & Business Process Outsourcing, Flexible Employee Management – to help digitize and transform HR. Since 2004, we have built an extensive network spanning globally. Todate, we have served 380,000+ headcounts, 2,800+ clients, in 108+ countries,and 15+ industries. Overall, our global reach means we can serve our clients’needs in a more targeted and effective manner. Responsibilities Lead compliance audit activities (SOC, ISO 27001) for BIPO Singapore, Hong Kong, and ChinaResponsible for BIPO data privacy, serving in BIPO’s Data Privacy team and answer internal and external queries related to BIPO’s compliance to data privacy laws / regulationsLead internal audit activities as requiredFormulation, review, and update of Information Security-related company policiesFormulating security baselines, configuring, using security/audit product, solution (e.g., CyberArk, Netwrix Audit, Microsoft 365 )Managing staff information security and data privacy awareness trainingsBe responsible for data privacy and security in generalResponding to customers’ questions / security questionnaires related to data privacy / security and support relevant RFP preparation in this areaLead security / compliance projects (e.g., vulnerability scans, penetration testing)Manage security of BIPO HRMS servers, define security baseline for servers and applicationResponsible for respond to security incidents.Regular review of effectiveness of security systems, e.g., Cloudflare WAF, Crowdstrike, Comodo AV, PRTG alerting, database encryption, Wifi and network security, physical security, and feedback improvement to IT infra team.Regular review of compliance activities done by IT infra team to ensure successful external audit, e.g., review of access logs for security breaches, user access reviews, firewall reviews, PC audits)Performs other duties as assigned related to information security. Minimum RequirementsBachelor’s degree in Information Technology or equivalent field of studyAt least 4 years of experience in all or some of these: maintaining ISO 27001 system, responding to information security audit questions, formulating IT security policies, performing risk assessment and business impact analysis, performing system vulnerability assessments, reviewing user activities, network firewall configuration, managing system security patches, and server hardening, having work experience with security products (e.g. SIEM, CyberArk, application firewalls, vulnerability scanners, endpoint security / DLP solutions), disaster recovery planning, managing user information security awareness training, remediating penetration testing findings, and performing incident analysis, response and reporting.Preferably strong hands-on technical skills in IT infrastructure (e.g., server administration, network/system security, disaster recovery, system high availability, backup operations, system monitoring, network /system troubleshooting, storage administration, incident response, change management, patch management, IT audit).Strong English writing skills, good documentation, and effective communication skills, ability to interact with a range of people.Good project management skills, problem-solving skills, documentation skills, preferably with experience in IT infrastructure support (Windows server, SQL Server, Active Directory & DNS, IIS web server, WSUS, Anti-Virus, Firewall, Network equipment, Office 365, PC support, Cloud computing). Experience in AWS cloud computing advantageous.Responsible, resourceful, effective, detail-oriented, able to work and pick up new skills independently and meet deadlines. Able to respond to critical system alerts and be contactable for urgent issues outside office hours.Fluency in the Chinese language is advantageous.",false,BIPO,https://www.linkedin.com/company/bipo-svc,,,,2022-04-10T08:25:22.000Z,Full-time,https://www.linkedin.com/jobs/view/2951984604/,https://media-exp1.licdn.com/dms/image/C560BAQFsJSfEg3l7Zg/company-logo_200_200/0/1519868946450?e=1655337600&v=beta&t=EYhzuisi6k_YftAsy0oTuJGwf5SUQys5W42uaH7BZrM,2022-03-14T08:03:49.749Z,https://www.linkedin.com/jobs/view/2951984604/,
Backend Developer,"Singapore, Singapore",6,128,,2022-03-08T01:50:05.000Z,false,https://sggovterp.wd102.myworkdayjobs.com/en-US/PublicServiceCareers/job/Singapore/Backend-Developer_JR-10000005849?source=Linkedin,"The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies. Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering.

Job Description

VICA (Virtual Intelligent Citizen Assistant) is GovTech's next-generation Chatbot/Virtual Assistant/Conversation AI platform. It will serve as the platform to enable the tech refresh of all 90+ existing Ask Jamie govt agency chatbots. VICA will also leverage Machine Learning/AI technologies to perform advanced analytics on chatbot content, to improve the citizen experience when interacting with govt agency chatbots.

What You Will Be Working On:
Developing and maintaining all server-side network components.Ensuring optimal performance of the central database and responsiveness to front-end requests.Collaborating with front-end developers on the integration of elements.Designing customer-facing UI and back-end services for various business processes.Developing high-performance applications by writing testable, reusable, and efficient code.Implementing effective security protocols, data protection measures, and storage solutions.Running diagnostic tests, repairing defects, and providing technical support.Documenting Node.js processes, including database schemas, as well as preparing reports.Recommending and implementing improvements to processes and technologies.Keeping informed of advancements in the field of Node.js development.Our technology stack is based on MERN (MongoDB, Express, React, Node.js), with Python for our ML component: We use Kubernetes and Docker for CI/CD, REST APIs and Infrastructure running on Cloud (AWS)

 What We Are Looking For: 
 5+ years of relevant experience  Expertise with Python, JavaScript, TypeScript, Node.js, Express.js  Expertise with Golang is a bonus  Expertise in back-end development  Expertise in front-end development with React.js is a bonus  Expertise in architecting scalable and reliable cloud-based software solutions  Working experience with agile teams  Working experience in automated software testing  Working experience with cloud platforms such as Amazon AWS, Google Cloud Platform (GCP) or Microsoft Azure  Working experience developing and integrating with SOAP/REST APIs  Working experience with DevOps and CI/CD  Working experience with Google Dialogflow is a bonus  Working experience with other Chatbots/ML/NLP is a bonus  Works well as part of a team in a fast-paced, startup-like environment  Excellent communication and organizational skills 

We are an equal opportunity employer and value diversity at our company as we believe that diversity is essential to innovation. Our employee benefits are based on a total rewards approach, offering a holistic and market-competitive suite of perks. This includes generous leave benefits to meet your work-life needs. We trust that you will get the job done wherever you are, and whatever works best for you – so work from home or take a break to exercise if you need to*. We also believe it’s meaningful for you to keep honing your craft in the constantly-evolving tech landscape, so we provide and support a plethora of in-house and external learning and development opportunities all year round
Subject to the nature of your job role that might require you to be onsite during fixed hours",false,GovTech Singapore,https://www.linkedin.com/company/govtech-singapore,,"Engineering, Information Technology",Information Technology & Services,2022-04-07T01:50:04.000Z,Full-time,https://www.linkedin.com/jobs/view/2945786847/,https://media-exp1.licdn.com/dms/image/C4D0BAQGT9Dy38Q2jdQ/company-logo_200_200/0/1519890805213?e=1655337600&v=beta&t=GlLnDaLmisjvCjn3Xn3G6A7Ri6vJdxmkibVcU_H-tIQ,2022-03-14T08:03:52.609Z,https://www.linkedin.com/jobs/view/2945786847/,
Software Engineer (Data Express) - Data Platform,"Singapore, Singapore",12,249,https://www.linkedin.com/in/ACoAACBJyQMBG7vI0ZwiXv4EKEEq0-NYLg2fTV0,2022-03-01T04:09:48.000Z,false,https://careers.tiktok.com/position/7055597906963663140/detail,"About TikTokTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul, and Tokyo.
About the teamTikTok and affiliate are developing the next-generation high-performance analytical database, with a mission to enable efficient and real-time data-driven decision-making on PB-level data sets. The initial product was forked from Clickhouse, after which large re-architecture had been taken place. The product now not only improves the efficiency of Clickhouse but also fits into the elastic cloud-native infrastructure with better scalability and resource utilization. With years of polishment in the internal EB-level scenarios, we are now ready to serve our business partners via various cloud vendors.
The product will:Enable users to manage large scale data assets in the underlying data engine securely and effortlesslyImprove the overall system observability, helping our users gain more transparency in the healthiness, resource utilization of the system
What you will be doing:Responsible for building core functionalities in the data loading domainDrive the design, development, and delivery of data loading features to integrate with mainstream upstream ecosystemsLead the optimization of both streaming and batch loading engines to provide low-latency and high-throughput in respective scenariosLead the solution design on data loading resource management over hundreds of thousands of loading jobsEnsure service quality through the whole software development lifecycle
What you should have:Bachelor's Degree or Post Graduate in Computer Science.At least 5 years of backend experienceGood coding skills in mainstream languages such as GoLang, Java, or ScalaGood domain knowledge of ETL and data warehousingIn-depth knowledge in distributed real-time or batch data processing systems, such as Spark, Flink, Kafka, etcExperience in optimizing systems like Spark, Flink, Storm, Kafka.Knowledge of big data ecosystems such as Kafka, Redpanda, Kinesis, Redshift, Hive is a plusGood communication and interpersonal skills",false,TikTok,https://www.linkedin.com/company/tiktok,,Information Technology,Internet,2022-04-01T04:07:51.000Z,Full-time,https://www.linkedin.com/jobs/view/2899333594/,https://media-exp1.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_200_200/0/1539940587971?e=1655337600&v=beta&t=fxKtBCnmKKYwlrgKn0lQ26W4vjNFf3aP1SwTxY_drXU,2022-03-14T08:03:55.931Z,https://www.linkedin.com/jobs/view/2899333594/,
"Director, Predictive Analytics","Singapore, Singapore",96,307,https://www.linkedin.com/in/ACoAAA-C5_gBvvIAYpbp-2ZNpJsWKOmlwXTXZnM,2022-03-10T07:55:37.000Z,false,https://www.linkedin.com/job-apply/2950827051,"At Singtel, we believe in the strength of a vibrant, diverse and inclusive workforce where backgrounds, perspectives and life experiences of our people help us innovate and create strong connections with our customers. We strive to ensure all our people practices are non-discriminatory and provide a fair, performance-based work culture that is diverse, inclusive and collaborative. Join us and experience what it’s like to be with an Employer of Choice*. Together, let’s create a brighter digital future for all. *Awarded at the HR Fest Awards 2020.
What we are looking for A Director Advanced Analytics, who is passionate in delivering business impact leveraging on data and analytics as well as develop high performance teams. You will assume a key role supporting our efforts in Data Monetization and Customer Marketing. The team’s responsibilities include a hands-on aspect on Data Mining, building and maintaining Data Science Models to effectively predict and anticipate market changes and how it impacts our Business. The role also influences every key decision we make in our Business operations to develop new insights and grow new revenue streams. As a Director, you will also assume Team Leadership responsibilities which develops our technical specialist development in Data Science and ML Engineering, guiding your team in their day-to-day assignments across tactical business use cases and strategic projects. 
Responsibilities: Leading and nurturing a high performing team of data scientists and machine learning engineersAccelerate data science and machine learning engineering capability to transform business decisions and operations, across the consumer group (outside marketing specific use cases), e.g. fraud for credit risk management; consumer operations predictive callsKey technical advisor to all data scientist/ ML Engineers, business stakeholders and senior mgmtDevelop solutions focused on delivering competitive advantages, superior insights and/or operating efficiencies based on data science methodologies, open source technologies and softwareImprove marketing effectiveness and customer experience via delivery of customer insights, models and optimization leading in improved market share and incremental profitabilityEvangelizing and advocating for data analytics value and education across the business and to diverse audiencesDriving 3rd party data monetization for external industry partners, through innovative data science techniquesAdvancing and building our core capability in data science and analytics 
Qualifications:Good Bachelor or Masters degree preferably in Engineering, Computer Science, Statistics, Economics, Mathematics or related quantitative field Advanced Degree8 or more years of relevant of work experience in hands on data science, Data/ ML engineering Relevant hands on experience in data science, engineering and Analytics related consultancyExperience in establishing and developing data science capabilityKnowledge in using cloud and big data platform including Cloudera, AWS/ Azure/ Google and HadoopProficient in statistical modelling and machine learning techniques (classification, time series analysis, logistic regression)Experience in programming languages such as Python, R and SQL, including code reviewsKnowledge on Best Practices on Data Governance and securityKnowledge in Data Technologies and Digital Ecosystem architecture
We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated.",false,Singtel,https://www.linkedin.com/company/singtel,,"Information Technology, Engineering","Telecommunications, Information Technology & Services",2022-04-09T07:55:36.000Z,Full-time,https://www.linkedin.com/jobs/view/2950827051/,https://media-exp1.licdn.com/dms/image/C4D0BAQEmT3lq2KZDXw/company-logo_200_200/0/1519856511239?e=1655337600&v=beta&t=5XJws0OY3VjYJDXmZn9hnLJShCDkxG6iKLnpmwDfIhM,2022-03-14T08:03:59.289Z,https://www.linkedin.com/jobs/view/2950827051/,
