Software Engineer,Ac P. Computer Training & Consultancy Pte Ltd,72000-96000 SGD Per Annum,Permanent Job,5-7 Years,Web Programming  Kubernetes  Javascript  Unix  Ibm Db2  Sdlc  JDBC  Pci Dss  Servlets  Applications Development  Windows  Continuous Integration  Linux  Software Development  Agile Development ,"Requirements for Software Engineer (System):
Responsibilities:
Working with a back office development team, you will be responsible for the design and delivery of the software solution for a high volume and performance intensive back office of an Automatic Fare Collection (AFC) system.
The activities required to be performed shall include the following: ?
Requirements gathering; ?
Design, development, and maintenance of the software; ?
Preparation and submission of deliverables throughout the software development lifecycles such as Business Rules, Software Requirement Specifications, Software Architecture Document, Design Specification, Interface Specifications, Source Codes, Testing Specification, Operation and Maintenance Manual, Training Manual and others documents as required in the standard adopted by the Authority; ?
Assist the Authority with day-to-day application support issues; ?
Liaise with users on the requirement, design and testing issues.
Qualifications & Requirements: ?
Recognised degree in Computer Science, IT or engineering with at least 5 years relevant experience in software development;
Gone through at least one full software development lifecycle (SDLC) with experience in producing SDLC documentations;
Extensive experience in analysing requirements, designing, development and delivering complex enterprise applications in
Java/JEE, web programming on UNIX / LINUX and Windows environment;
Extensive experience in web based applications development (EJB,
Servlets, javascript) and database application interfacing (JDBC, SQL) in Websphere Application Server and IBM DB2;
Extensive experience in Automatic Fare Collection (AFC) system;
Experience in Enterprise Service Bus (ESB), Microservices and REST;
Extensive experience in Software Modernization, Containerization, Microservices;
Experience in Cloud Computing, Amazon EKS, Google GKE
Redhat Openshift Kubernetes & Dockers will be an advantage;
Experience in database design, development and performance tuning;
Experience in Agile development methodology and continuous integration;
Experience in EMV and Payment Card Industry Data Security
Standard (PCI DSS) will be an advantage;
Strong analytical and problem-solving skills; and
Good written and verbal communication skills in English.",Other,Manufacturing/Engineering/R&D,Other Production/Engineering/R&D,17-03-2022,14 days ago
L2 Application Support (Java),Ariston Services Pte. Ltd.,102000-114000 SGD Per Annum,Permanent Job,5-7 Years,Application Architecture  Cloud Computing  Release Management  It Operations  Sql  Application Support  Itil  Incident Management  Troubleshooting  Teaching  Secondary Education  Knowledge Management  Root Cause Analysis  Trend Analysis  Compliance  Pmp ,"Well versed with ITIL Concepts - Incident, Problem, Change and Release Management, Knowledge management

Perform and manage incident and event tickets, determine priority, and resolution from Level 1 escalation within defined SLA in compliance to Client's incident management process

Escalate incident and event tickets to Level 3 teams within defined SLA in compliance to client's incident management process

Perform in-depth production incident troubleshooting, resolve any production incident and monitor the fixes to ensure correct resolution.

Provide trend analysis and root cause analysis on recurring incidents and defects

Review and plan continuous improvements to ensure smooth running of the applications

Manage application jobs, and provide instructions to Level 1 Application Operations team for jobs recovery/execution",Other,IT,Other Software/Hardware/EDP,,22 days ago
L2 Application Support (Java),Ariston Services Pte. Ltd.,102000-114000 SGD Per Annum,Permanent Job,5-7 Years,Application Architecture  Cloud Computing  Release Management  It Operations  Sql  Application Support  Itil  Incident Management  Troubleshooting  Teaching  Secondary Education  Knowledge Management  Root Cause Analysis  Trend Analysis  Compliance  Pmp ,"Well versed with ITIL Concepts - Incident, Problem, Change and Release Management, Knowledge management

Perform and manage incident and event tickets, determine priority, and resolution from Level 1 escalation within defined SLA in compliance to Client's incident management process

Escalate incident and event tickets to Level 3 teams within defined SLA in compliance to client's incident management process

Perform in-depth production incident troubleshooting, resolve any production incident and monitor the fixes to ensure correct resolution.

Provide trend analysis and root cause analysis on recurring incidents and defects

Review and plan continuous improvements to ensure smooth running of the applications

Manage application jobs, and provide instructions to Level 1 Application Operations team for jobs recovery/execution",Other,IT,Other Software/Hardware/EDP,,22 days ago
ASEAN Microsoft Workloads Business Development Manager,Amazon Web Services (AWS),Not Specified,Permanent Job,Not Specified,,"DESCRIPTION

Job summary
Are you interested in help driving and overseeing a Go-to-Market (GTM) plan for Microsoft Platforms at AWS

As a Business Development (BD) leader at AWS, you will contribute to the overall performance of our Japan business, measured by revenue growth, net new customers, and reference wins. You'll have a broad role - part market maker, part operator, and part general manager - and will build a strategy focused on winning new customer segments and growing existing customer segments for the long term.

In this role, you will build and execute sales plays, content and tools to build pipeline, acting as the voice of the Microsoft customer to the AWS service teams, helping win lighthouse customers in key industries and supporting the field on the rapid close of complex deals.

Are you a motivated self-starter with an analytical mind Do you want to work on the forefront of the latest innovations and technologies Do you seek the opportunity to work with a diverse set of customers, opportunities and markets as part of a team focused on increasing adoption of Amazon Web Services for Microsoft platforms on AWS

Come build the future with us.
BASIC QUALIFICATIONS

. Track record of building rapport with senior C-level stakeholders
. Business development, partner or BD experience, working in customer and partner facing roles in the Microsoft ecosystem, with focus on infrastructure or cloud platforms
. Proven ability to deliver results in a matrix organization (leveraging multiple functions and teams)
. Prior experience growing Microsoft customers
. Ability to communicate to a high standard in fluent English
PREFERRED QUALIFICATIONS

. Experience selling Windows Server, SQL Server or Azure
. Fluency with Microsoft Licensing, including License Mobility and Volume Licensing (such as EA)
. Experience working at Microsoft or a systems integrator partner
. Experience with data center migrations
. Experience working with cloud computing technologies/companies
. AWS Cloud Practitioner certified

What if I'm not an expert in all the above That's okay. We hire people who have a passion for learning, and are curious to build, learn and grow. You will be supported in your career development here at AWS. You will have plenty of opportunities to build your technical, leadership, business and consulting skills. This will include formal and on the job training, and a chance to learn and upskill through AWS certification courses and mentorship. You will learn from and collaborate with some of the brightest technical minds in the industry today. If you want to work with the best cloud technologies from the world's leading cloud provider, apply now. We can't wait to see what you build here. Come build the future with AWS.

CULTURE AND COMMITMENT TO INCLUSION, DIVERSITY & EQUITY

At AWS, we welcome all builders. We believe that technology should be built in a way that's inclusive, accessible, and equitable. We're committed to putting in the work for more equal representation.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.

Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status",IT/Computers - Software,IT,Software Engineer/Programmer,,14 days ago
"Technical Account Manager, Enterprise Support",Amazon Web Services (AWS),Not Specified,Permanent Job,5-8 Years,,"DESCRIPTION

Job summary
Do you love to work with customers and help them solve challenges using technology Would you like to join one of the fastest-growing organizations within Amazon Web Services (AWS)

AWS Enterprise Support team is seeking Technical Account Managers (TAMs) or Customer Advisors to join our Enterprise Support team in Singapore. TAMs are advocates for their customers and work closely with them to provide support and advice on how they can leverage the most value from AWS. You will work with some of the best and brightest, while developing your skills and furthering your career within one of the most innovative and progressive technology companies.

In this role, you will: - Partner with some of the most exciting businesses in Singapore. These range from rising startups building their business from scratch through to large enterprises going through significant transformation.
. Build customer support strategies that help customers leverage value from AWS and actively work to reduce their AWS bills
. Own your customer's end-to-end support experience, working with product teams and local leadership to unblock challenges
. Become an expert on AWS and deepen your skills in cloud computing
. Work autonomously and passionately to create positive customer outcomes

About the team
About Us

Inclusive Team Culture

Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon's culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn't about how many hours you spend at home or at work it's about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth

Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we're building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.
BASIC QUALIFICATIONS

. Internal or external customer-facing experience
. 5+ years work experience in a technical environment
. Expertise in two or more technical domains (e.g. System administration, networking, programming, dev ops, security, compute, storage, databases, big data, analytics, etc.)
. Naturally curious with a high learning drive
. Experience in one or more functional domain (e.g. architecture, operations, technical implementation, consulting)
PREFERRED QUALIFICATIONS

. Qualifications in Cloud/ Engineering/ Mathematics or other relevant certifications.
Amazon Web Services is an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",IT/Computers - Software,IT,Software Engineer/Programmer,03-03-2022,14 days ago
Principal Cloud Engineer,Bgc Group Pte. Ltd.,84012-108000 SGD Per Annum,Permanent Job,5-7 Years,Cloud solutions  Cloud Applications  Kubernetes  .NET  Agile Project Management  Azure  Cloud Computing  cloud management  Scripting  Unix Shell  Distributed Systems  Configuration Management  Python  Cloud  Java  Orchestration  Wan  Cloud-based ,"We are looking for an experienced cloud engineer to develop, implement, optimize, and maintain cloud-based solutions.
Responsibilities:
Collaborating with engineering and development teams to evaluate and identify optimal cloud solutions.
Modifying and improving existing systems.
Educating teams on the implementation of new cloud technologies and initiatives.
Designing, developing and deploying modular cloud-based systems.
Developing and maintaining cloud solutions in accordance with best practices.
Ensuring efficient functioning of data storage and processing functions in accordance with company security policies and best practices in cloud security.
Identifying, analyzing, and resolving infrastructure vulnerabilities and application deployment issues.
Regularly reviewing existing systems and making recommendations for improvements.
Interacting with clients, providing cloud support, and making recommendations based on client needs.
Requirements:
Degree/diploma in Computer Science, Computing, Electrical Engineering, IT or related field
At least 6 years of experience in IT/Cloud project implementation or management
Interest in Cloud Engineering
Good communication and collaboration skills",Other,IT,Other Software/Hardware/EDP,,22 days ago
Salesforce Architect,Capgemini Singapore Pte. Ltd.,120000-240000 SGD Per Annum,Permanent Job,7-10 Years,Cloud Computing  Salesforce.com  Information Technology  salesforce.com consulting  Solution Architecture  Agile Scrum  Test Design  Software Development  CRM  Agile PM  Agile Methodolgy  Management Skills  Salesforce  Architect  Project Management  implemented Salesforce ,"Responsibilities:
Offers best practice advice and recommendations to clients often extending beyond Salesforce to topics around overall systems architecture and CRM strategy
Leads technical requirements gathering and/or design workshops for complex projects
Provides overall Salesforce technical expertise
Provides overall systems architecture expertise in order to relate to and build upon existing client environments
Architects creative solutions that solve our client's business and technical problems
Leads and facilitates project discovery to define business, functional, and technical requirements
Defines business processes using CRM & SFDC best practices
Develops data integration, migration and deployment strategies
Builds & Deploys Salesforce solutions
Lead Proof of Concepts and technical solutioning
Manages and mentors junior team members
Works with clients to understand their needs, provide meaningful solutions and build strong relationships
Requirements:
8 to 10 years of experience in managing medium and large scale Salesforce implementation and support projects
Good knowledge of Salesforce to advise on high level best practices and solution design
Good knowledge on scrum and agile to facilitate project delivery and resourcing issues
Excellent Customer Interaction / engagement skills with the ability to lead and converse with client(s) on mid-level leadership
Good team management skills
Good problem solving skills
Experience working in an IT services/consulting firm is highly preferred",Other,IT,Other Software/Hardware/EDP,,22 days ago
Renewal Sales Specialist ,Keysight Technologies Singapore (sales) Pte. Ltd.,61956-103272 SGD Per Annum,Permanent Job,2-5 Years,Cloud Computing  Agile Methodologies  Technical Sales  Account Management  Forecasting  Cell  Verbal Communication  Cold Calling  Work Independently  Selling  business travel  Inventory Management  Technical Knowledge  Design Thinking  Presentation Skills  Able To Work Independently ,"Job Description:
Represents the company to the customer and the customer to the company in sales-oriented activities.
Responsible for selling company products/systems and services to end-user customers in assigned territory, industry, or accounts through multichannel inbound and outbound sales activities.
Acts independently or as part of a sales team, and may support an Account Management team. May act as sole sales representative for assigned territory, industry, accounts, or products.
Focuses on acquiring new customers and retaining and growing an existing installed base of customers. Responsible for closing the sale on systems and products or may generate leads.
Requires application of in-depth technical knowledge of products, including contracts.
Carries individual or team quota.
Minimal business travel or work outside office required.
Handle complex leads, qualifies and nurture the leads to potential business opportunities
Works on inside sales assignments with broadly defined objectives
Solves straightforward issues, challenges and problems within field of specialization
Able to adapt messaging to specific situations Strong written and verbal communication
Able to perform cold calling for low qualified leads with direction
Job Qualifications:
Bachelors or Masters Degree or University Degree or equivalent.
Typically 2-4 years relevant experience for entry to this level.
Requires general proficiency with tools, systems and procedures to accomplish job",Other,"Sales/Business Development , Marketing & Communications","Brand Manager , Other Sales",,22 days ago
Principal Software Engineer,St Engineering Ihq Pte. Ltd.,78000-114000 SGD Per Annum,Permanent Job,5-7 Years,Azure  Cloud Computing  Design Patterns  Data Structures  Google Cloud Platform  Amazon Web Services  Python  Java  Software Development  Modeling  Physics  Mathematics  Rapid Prototyping  Statistics  Technical Product Management  Ability To Prioritize ,"Gather requirements, write specifications, develop & deliver reusable core software components and its custom applications for data analytic with medium to high complexity
Build quality and robust code
As a successful candidate you will have a Master/Bachelor's Degree in Computer Science, Engineering or Mathematics with:
510 years of hands-on experience developing and implementing software applications
Strong in mathematics, probability, statistics and physics
Exposure to complete life cycle of data analytic projects
Experience to implementation of what-if simulation modelling projects is a plus
Understanding of data structures, data modelling and software architecture
Proven ability to be flexible and work hard, both independently and in a team environment
Self-motivated with the ability to prioritize, meet deadlines, and manage to change priorities
Effectively communicate with clients
Familiarity with Agile/Scrum delivery methodology; rapid prototyping",Other,IT,Other Software/Hardware/EDP,,22 days ago
Senior Technical Trainer,Amazon,Not Specified,Permanent Job,8-11 Years,Senior Technical Trainer ,"DESCRIPTION

Amazon Web Services provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of businesses in 190 countries around the world. To meet the growing demand for AWS Services around the globe, we need exceptionally talented, bright, and driven people. If you have strong IT infrastructure and/or programming experience, and can communicate highly technical concepts to audiences at different stages in the AWS journey, we'd like to speak with you.

We are looking for a dynamic, organized self-starter to join our Training Team. Here's your chance to work as a Technical Trainer with high visibility and significant customer impact. The successful candidate is an experienced technical trainer, ideally with hands-on experience with Amazon Web Services and/or in-depth knowledge of software architecture and virtualization technologies.

In this role, you will deliver training content to developers, administrators, architects to drive adoption and usage of AWS services. You'll have an opportunity to combine a passion for teaching, with enthusiasm for technology, to drive learning and establish positive customer relationships. You will have excellent communication skills and proven technology training experience.

You will also:
. Constantly learn and master the most innovative technologies related to cloud computing using AWS product and services.
. Deliver training programs in startups to transform their workforce by embedding confidence to use AWS technologies
. Strategically engage with various customers business functions and IT organizations to create customer-tailored training plans jointly with AWS Training Business Development Managers and Sales Managers
. Partner with AWS internal AWS Support Engineers, Technical Account Managers and Solutions Architects to understand customer challenges, identify customers pain points & deliver impactful training sessions
. Dive deep and build a domain expertise in Startups that focus on - Fintech, Healthcare, Media, Aviation, Gaming and others
. Create a global impact through development of curriculum for cutting-edge and innovative technologies released by AWS product and service teams
. Get hands-on with training & certification internal projects that improve processes that contributes to productivity gains and business performance improvements
. Be the AWS advocate at customer facing events such as AWS re:Invent, AWSome Days, AWS Summits and AWS Customer Appreciation Nights
. Excel in an Area of Depth and build Subject Matter Expertise in Architecture, DevOps, Security, Data Analytics.

If this position excites you, please submit your resume using the link below and include a cover letter outlining your motivation, experience and why you want to join our team!

BASIC QUALIFICATIONS

. 8+ years of experience in training delivery in programming, systems architecture or systems administration.
. Excellent oral presentation skills, interpersonal communication, and writing skills.
. A strong stage presence and ability to manage a classroom of adult learners.
. Experience architecting infrastructure solutions using both Linux/Unix and Windows with specific recommendations on server, load balancing, HA/DR, network and storage architectures.
. Recent coding experience in one or more of the following languages, Java, .Net, Perl, PHP, Ruby or Python.
. Experience working within the Startups or Enterprise software market or Internet industries is highly desired.
. Ability to travel as required.
PREFERRED QUALIFICATIONS

. AWS Certified Solution Architect - Associate Level
. Experience creating and maintaining training materials.
. Experience in the field of Public Sector (Defence, Healthcare) and related technologies
. Knowledge and/or hands-on experience with AWS Security, Identity & Compliance services highly desired.
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",Internet/E-commerce,"Product Management/Product Development/UX , Customer Service/Call Centre/BPO",Technical Trainer,,14 days ago
