job_title,company,url
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5500406&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Solutions Architect - Azure / AWS,Randstad Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5608610&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Cloud Architect,Amazon,https://www.monster.com.sg/seeker/job-details?id=3479389&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Engineer,Innovative Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5045227&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Application Infrastructure Engineer, National Digital Identity",Government Technology Agency of Singapore,https://www.monster.com.sg/seeker/cjt/job-vacancy-application-infrastructure-engineer-national-digital-identity-government-technology-agency-of-singapore-singapore-4-8-years-33453219
"Solution Architect, National Digital Identity",Government Technology Agency of Singapore,https://www.monster.com.sg/seeker/cjt/job-vacancy-solution-architect-national-digital-identity-government-technology-agency-of-singapore-singapore-5-8-years-33452683
Cloud Engineer,Itconnectus Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5606906&searchId=b59972d9-6969-4f2f-b503-16a051718644
Immediately hiring Fresh Graduates & Mid-careerists - Cloud Engineers (Infrastructure),Hays Specialist Recruitment Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5010051&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Cloud & DevOps Consultant,Sourced (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600105&searchId=b59972d9-6969-4f2f-b503-16a051718644
Application Support Engineer - Ref: YC,A-it Software Services Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5612374&searchId=b59972d9-6969-4f2f-b503-16a051718644
Agile Delivery Consultant (Project Manager),Sourced (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600102&searchId=b59972d9-6969-4f2f-b503-16a051718644
Full-stack Tech Lead,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844105&searchId=b59972d9-6969-4f2f-b503-16a051718644
telco cloud specialist,Vmware,https://www.monster.com.sg/seeker/job-details?id=5583681&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Engineer,Ibm Singapore Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5602142&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Engineer,Amaris Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5363292&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Engineer,Doo Capital Market Sg Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5597273&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Cybersecurity Program Manager,Microsoft,https://www.monster.com.sg/seeker/job-details?id=5591727&searchId=b59972d9-6969-4f2f-b503-16a051718644
IT Support Specialist (O365 / Firewall) – 1 year,GMP Technologies,https://www.monster.com.sg/seeker/cjt/job-vacancy-it-support-specialist-o365-firewall-1-year-gmp-technologies-singapore-3-12-years-31857141
Lead Cloud & DevOps Consultant,Sourced (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600104&searchId=b59972d9-6969-4f2f-b503-16a051718644
Full Stack Developer,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844104&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Security Specialist,Capgemini Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600751&searchId=b59972d9-6969-4f2f-b503-16a051718644
