job_title,company,salary,job_type,years_experience,tech_stack,job_description,industry,function,roles,last_updated,posted_on
Software Engineer - Mobile Application Developer,Tata Consultancy Services Asia Pacific Pte. Ltd.,60000-103200 SGD Per Annum,Permanent Job,2-5 Years,Uat  Ios  Web Services  Soap  Angularjs  Agile  Automation Tools  Application Development  Scripting  Javascript  Html5  Mobile Applications  Java  C#  Api  Software Development ,"Job Purpose
We are seeking a Software Developer, who will be part of a mobile application development team. The successful candidate is one who has deep understanding of the mobile application architecture & design, micro-services architecture and API principles. He/she is passionate about software development and can develop mobile applications in accordance with best practice design principles.
The Job
Plan & collaborate across different domain application teams to manage technical and security related dependencies of the solution.
Plan, monitor and manage risks/issues related to technical application delivery and to provide L3 support as needed.
Partner with Test Manager/Testers to ensure completion of SIT, UAT, Non-Functional Testing and Application Security Testing with quality outcomes.
Problem solver with ability to see things in multiple angles, and constantly push boundaries to improve status quo. You are expected to interact with specialist teams like security, compliance and facilitate workshops/meetings to resolve issues.
Escalate issues that impacts project schedule on timely basis and propose workarounds/resolutions.
Takes accountability in considering business and regulatory compliance risks and takes appropriate steps to mitigate the risks.
Maintains awareness of industry trends on regulatory compliance, emerging threats and technologies in order to understand the risk and better safeguard the company.
Highlights any potential concerns /risks and proactively shares best risk management practices.
Our Requirements
In order to perform the role effectively, the candidate should have the below knowledge/experiences:
Bachelor's Degree in Computer Science, Engineering or similar domain. Related professional/technical qualification will be advantageous although not mandatory.
Minimum 3 years of relevant experience in mobile application development using agile or DevOps methodology.
Minimum 1 years of experience with web/application server development.
Possess technical competencies and hands-on experience in the following areas - front end and back end programming languages (such as AngularJS, VueJS, Javascript, HTML5, CSS, Java, Shell scripting, C#, etc.) and platform/framework (such as Cordova, Adobe AEM, Kafka, Tanzu Kubernetes, etc.).
Firm understanding of web / mobile security E.g. web vulnerability, native apps security, authentication mechanism, session management, application-level encryption, PKI, application signing, cross-site scripting, OWASP, etc.
Familiar with enterprise architecture concepts like SOA, API integration, micro-services architecture, micro-FE / micro-app, service-centric design.
Hands-on development experience using REST, SOAP, web services and/or other web protocols for application integration.
Hands-on development experience for batch monitoring and execution frameworks and/or encryption software.
Experience with iOS mobile apps management/ development, Apple HIG, ApplePay and other related services in the apple ecosystem will be advantageous.
Worked in a Continuous Integration/Continuous Delivery environment with strong appreciation of change/version control process and methodologies.
Worked with automation tools (such as Selenium, SOAPUI, Bamboo, Jenkins, Ansible, Marvin, Github, Bitbucket, etc.)
Working knowledge of application design frameworks, UML or equivalent design artifacts is required.
Knowledge of emerging technologies/platforms in Mobility, Analytics, Cloud and Social with a strong self-initiative to keep up with Digital trends.
Application performance monitoring and tuning experience is desired.
Working experience in a financial services industry and/or operating under strict regulatory constraints is an advantage.
Worked on / have certification in Cloud technologies is an advantage.
Good teamwork, good interpersonal and negotiation skill, working independently is essential.
High level of integrity, takes accountability of work and good attitude over teamwork.
Takes initiative to improve current state of things and adaptable to embrace new changes.",Other,IT,Other Software/Hardware/EDP,16-03-2022,8 days ago
"AVP, Site Reliability Operations Engineer, Group Consumer Banking and Big Data Analytics Technology, Technology %26 Operations",DBS Bank Ltd,,,,,,,,,,
Site Reliability Engineer (IT/Good Bonus/Digital Learning/Up to $3.5k),Align Recruitment Pte. Ltd.,30000-42000 SGD Per Annum,Permanent Job,2-5 Years,Puppet  Ubuntu  Scripting  Networking  Python  Ansible  Debugging  Linux  Troubleshooting  Budget Management  Pipelines  Administration  Reliability  Architecture Design ,"Site Reliability Engineer (IT/Good Bonus/Digital Learning/Up to $3.5k)
Responsibilities
To provide Support to Digitization Implementation and expansion or application processes and coverage across Company
Design a scalable, and secured solution in AWS Cloud platform.
Support daily site reliability operations such as deployment and debugging.
Work with developers to continuously improve platform automation, monitoring, alerting and stability to meet business requirements.
Requirements
Degree in any relevant field
Must possess at least 3 years of working experience
Experience in creating, maintaining, and optimizing automated continuous delivery pipelines.
Experience working with cloud tools such as terraform, packer and aws eb cli.
Experience in server administration and troubleshooting (Linux and Windows OS).
Experience in securing Linux using Iptables, Firewalld, Selinux, or Apparmor.
Knowledge of scripting like bash, python and PowerShell etc.
Knowledge in RDBMS and NoSQL administration.
Knowledge in configuration tools such as Ansible, Puppet.
Knowledge with Linux Distros such as Ubuntu and RHEL
Knowledge on system patching in Linux distros.
Knowledge in networking protocols such TCP, UDP and subnetting
You may WhatsApp your resume to to wa.me/6583890377 or send your resume to [HIDDEN TEXT] for more information.
Regret to inform you that only shortlisted candidates will be contacted by our consultants.
Align Recruitment Pte Ltd (20C0253)
Ethel Tan Seok Khoon (Reg No. R2096281)",Other,IT,Other Software/Hardware/EDP,,9 days ago
Full Stack Developer (Cloud),Itcan Pte. Limited,60000-120000 SGD Per Annum,Permanent Job,2-5 Years,Git  MongoDB  Website Development  Kubernetes  Design Patterns  Test Driven Development  MySQL  Agile  Javascript  Mariadb  Python  Mobile Applications  Angular  Docker  Web Applications  Software Development ,"Design and Develop Restful API/Webservices on cloud platform for service and consumption
Gather and refine specification and requirements based on technical needs.
Analyse and optimise performance and reliability for the front end of the applications.
Build responsive Web applications using React JS
Building Microservices with the 12 Factor App Pattern on Pivotal Cloud Foundry(PCF)
Create and maintain software automation using CI-CD
Deliver and integrate Microservices with web and mobile applications.
Follow Agile Software methodologies for development.
Write automated unit, feature and regression test suites.
Hands-on experience with Java/Web frameworks and tools including Java/JEE, Python, Spring Boot Framework, Redis/Aerospike, ReactJS, Kafka, MongoDB, Cloud Foundry or similar cloud technology(AWS)
DevOps and CICD knowledge e.g. Git, Jenkins, Sonar Qube, Docker, unit test and Test driven development
Familiarity with the database technologies, preferably MariaDB, MySQL, NoSQL
You are able to develop services that constitute front to back applications
Object Oriented analysis and design using common design patterns
Knowledge in different domains, programming languages and client environments
Knowledge of containerization and Kubernetes will be added advantage",Other,IT,Other Software/Hardware/EDP,16-03-2022,20 days ago
Salesforce Marketing Cloud Specialist,Eclerx Private Limited,120000-204000 SGD Per Annum,Permanent Job,5-7 Years,CSS  Azure  HTML  Soap  Scripting  Javascript  automation studio  User Management  Visual Force  Web Applications  Api  Excellent Communication Skills  Translating  Authorization  Consulting  silicon ,"Role Summary
As an SFMC Technical Specialist, you will be responsible for understanding and defining the data flows into and outside SFMC, build integrations across platforms with SFMC for smooth campaign flows, troubleshoot any SFMC related queries and act as point of contact for new functionality configuration. Knowledge of single sourcing and advanced Amp Scripting is going to be essential.
In addition, this role will be accountable for providing consulting services to the Marketing team and assisting them in the design of campaigns to help achieve business outcomes. You will own the delivery of multi-channel data-driven campaigns, provide proactive consulting & advice on best practice campaign design, based on your deep understanding of the available marketing technology capabilities and business outcomes the campaign needs to achieve. You will be the main liaison point between the Client and both internal & external technical teams to ensure there are no gaps in the end-to-end build process of data through to communications to the customer. In the eyes of the Client, you are their trusted stakeholder whom they can rely on to ensure campaigns are delivered on time, on target continuously helping driving incremental value to the Client's business.
Key Responsibilities
Act as a SME for SFMC/ET related projects
Build emails using content builder in SFMC/ET
Custom coding (when required)
Usage of AMP scripting for dynamic coding
Development knowledge of API scripting using REST and SOAP for integrations
Responsive build
Eligibility Requirements
Minimum 5+ years of experience on SFMC/ET
Minimum 2+ years of experience on Lifecycle Marketing Campaigns
Good knowledge of HTML, CSS, JavaScript
3-4 years of experience using AMP scripting
2-3 years of Responsive HTML coding experience
Should have the knowledge of building advanced journeys [multichannel and multiwave, with data ingestion happening throughout the campaign journey]
Ability to analyze the campaign requirements and suggest the type of DEs that needs to be used
Needs to understand the database structure in order to come up with exception handling while AmpScripting
Advanced knowledge of API based integration using REST or SOAP
Extensive knowledge of Automation Studio
Knowledge of API based complex flows using Journey Builder
Should be aware of either Einstein or Interaction Studio
Knowledge of Ad / Social Studio is an added advantage
Ability to work in a high-energy, quickly changing, and demanding environment
Should have excellent communication skills and be able to interface directly with clients and higher management.
Should have excellent presentation skills and should be able to clearly communicate ideas, thoughts, and strategies.
Valid work authorization in Singapore",Other,Marketing & Communications,Other Marketing,16-03-2022,20 days ago
Software Engineer,Recruitflash Pte. Ltd.,60000-96000 SGD Per Annum,Permanent Job,0-2 Years,Version Control  Mvc  Aspnet  CSS  .NET  Soap  Wcf Services  Javascript  Html5  UI  Sql  Linq  C#  Software Development  Ms Word  Product Development ,"Job Description
Job Description
Involved in software programming for POS, Cloud and retail system
Designing and developing SQL queries and store procedures
Customizing and optimizing existing code base of web and window form application
Resolve system bugs identified during all phases of product development life cycle
Deliver fully tested source code complying with good quality
Manage system release and version control
Requirements
Experience in the software development (Microsoft Technology stack)
Strong programming skills developing solutions with C#, ASP.NET, .NET CORE, MVC is required.
Write clean, scalable code using .NET programming languages
UI Design (HTML5, CSS, Bootstrap, JavaScript, AJAX, jQuery, DevExpress)
Entity Framework and LINQ
Knowledge of database development, ideally SQL
Experience in RESTful services, WCF services, SOAP services
Strong understanding of Object-Oriented Programming concepts and SOLID principles
Good Pay + Good allowance + Good Bonus
Interested candidates please send an updated Resume / CV in Ms Word format to [HIDDEN TEXT] or WhatsApp's your resume to 98332779 ( no Calls)",Other,IT,Other Software/Hardware/EDP,16-03-2022,10 days ago
Data Science Intern - Master's,Vmware,Not Specified,Permanent Job,Not Specified,,"Job Description :

Data Science Intern - Master's
Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models. What's more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.

Join us as a GraduateIntern on our Data Science team in Singaporeto do the best work of your career and make a profound social impact.

What you'll achieve
As a Data Science Intern, you will be responsible for contributing to business strategy and influence decision making based on information gained from deep dive analysis. You will produce actionable and compelling recommendations by interpreting insights from complex data sets. You will design processes to consolidate and examine unstructured data to generate actionable insights. You will also partner with business leaders, engineers and industry experts to construct predictive models, algorithms and probability engines.

You will:
. Collaborate with internal and external teams to understand customer requirements
. Develop and apply a broad range of techniques and theories from statistics, machine learning, and business intelligence to deliver actionable business insights
. Develop and drive testing of algorithms efficacy for differing analytical use-cases
. Performs end-to-end steps involved in model development while establishing subject-matter expertise
. Work with the academic and business community to develop new techniques and to contribute to research in the area of large databases

Take the first step towards your dream career
Every Dell Technologies team member brings something unique to the table. Here's what we are looking for with this role:

Essential Requirements
. Solid statistical skills
. Solid Advanced Excel, Python, SQL, Power BI Skills
. Good understanding of business environment and industry trends
. Good communication and problem-solving skills and being customer focused

Desirable Requirements
. Master's degree
Here's our story now tell us yours
Dell Technologies helps organizations and individuals build a brighter digital tomorrow. Our company is made up of more than 150,000 people, located in over 180 locations around the world. We're proud to be a diverse and inclusive team and have an endless passion for our mission to drive human progress.

What's most important to us is that you are respected, feel like you can be yourself and have the opportunity to do the best work of your life -- while still having a life. We offer excellent benefits, bonus programs, flexible work arrangements, a variety of career development opportunities, employee resource groups, and much more.

We started with computers, but we didn't stop there. We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the data era. Join us and become a part of what's next in technology, starting today.

You can also learn more about us by reading our latest Diversity and Inclusion Report and our plan to make the world a better place by 2030 .

Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Read the full Equal Employment Opportunity Policy .",Other,IT,Software Engineer/Programmer,10-03-2022,7 days ago
"Senior Engineer Lead, IT Operations",Singapore Institute Of Management Group Limited,46800-90000 SGD Per Annum,Permanent Job,5-7 Years,Cloud solutions  Oracle  Citrix  AWS  System Administration  Cloud  Databases  Leadership  Troubleshooting  Process Improvement  Architectural  Peoplesoft  Stakeholder Management  People Management ,"The incumbent will be planning, implementing and managing Cloud infra architectural operation across SIM Group, as well as maintaining business function and operational procedure. He/she will also be optimising SIM cloud infra and bridging onprem Infra and cloud infra, enabling cloud migration especially integration with AWS and to collaborate with peer department to problem resolution. He/she will automate operational IT system services covering Student/end user computing, IT services, cybersecurity and legacy applications such as SIM Connect, CIMS, etc.
Manage the student IT Platform Services at SIM to meet the SLAs and expectations of all SIM Stakeholders.
Provide administration and maintenance support over access control to cloud infrastructure and day to day platform system operation. Example: user access login, database monitoring, fault troubleshooting, gateway/API setting.
Understand, plan, design and execute enhancements and maintenance of IT Infrastructure and end user computing to ensure reliability, security and service levels are met.
Develop new skills within IT Services by working with the people to ensure new technology/approaches are implemented to force the pivoting of skills.
Maintain and Operate SIM student system related such as SIM Connect (Peoplesoft, Oracle, Out System), Payment Gateway (Enovax), Shared file (Citrix)
Requirements
Degree in Information Systems or equivalent
Possess at least 5 years of AWS Cloud Operations Management role or equivalent
Good to have intermediate knowledge on Oracle, Peoplesoft administration
Good to have experience in managing on-prem system migration to cloud
AWS certified SysOps Administrator Associate or equivalent
Good to be Oracle Database Certified or equivalent
Good to have experience managing Control AWS Landing zone
Good to have awareness of cybersecurity integration in cloud environment
Good to have DevSecOps Framework practice experience
Strong experience in vendor, project, service, people, stakeholder management and process improvement.
Excellent interpersonal, strong people management and communication skills both written and oral with proven ability to communicate at all levels.
Able to have holistic view, able to bridge people, process and information in order to produce appropriate results; ability to see beyond the dot.
A self-starter to learn and broaden knowledge to continuously add values to the organization.",Other,IT,Other Software/Hardware/EDP,16-03-2022,20 days ago
Full Stack Developer #52022,Anradus Pte. Ltd.,48000-66000 SGD Per Annum,Permanent Job,0-1 Years,Website Development  .NET  Javascript  Information Technology  Python  Web Security  Angular  Api  Accessibility  Software Development  Hardware  Pipelines  Screening  Arduino ,"Job Description
Industry/ Organization Type: Information Technology
Position Title: Full Stack Developer / Software Developer
Working Location: Ubi
Working Hours: Monday Friday, 9 AM 5.30 PM
Salary Package: Up to $5,500 + Performance Bonus (AT LEAST 1 month)
Duration: Permanent Role
Key Responsibilities
Development of front and backend web application components with Angular, React and .NET
Design and develop user interaction pages, in charge of Web Security and Accessibility
Development of hardware and IoT components (E.g. Arduino, Raspberry Pie)
Integration of Visual Analytic and AI tools provided
Implement testing pipelines from GIT to deployment
Implementing security and data protection features
Working alongside engineers for product deployment
APPLY NOW!!
Experience in cloud-based services (Amazon AWS)
Experience in Mobile App Development
Good understanding of Micro-Services, API based architectures
Proficient in copying codes from Stack Overflow
Kindly apply through ANY of the following methods:
Submit your application by clicking the APPLY button;
Email your resume to Job(at)anradus.com.sg. Please indicate #52022 on the email subject.
Anradus Policy: This clarifies Anradus working procedures, from receiving the applicant's resume, screening to shortlisting. We assure you our consultants will go through every resume we receive but we regret that only shortlisted candidates will be notified.
Anradus Pte Ltd | EA License No. 20C0161 | Adelin Chong | EA Reg No: R1875641",Other,IT,Other Software/Hardware/EDP,16-03-2022,8 days ago
"IoT Engineer (Sensors / Software) – Perm, West",Gmp Technologies (s) Pte Ltd,42000-54000 SGD Per Annum,Permanent Job,2-5 Years,Machine Learning  Big Data  Embedded C  Javascript  Test Automation  Python  Firmware  Software Testing  Selenium  Internet Of Things  Linux  Software Development  C++  Sensors  Manufacturing ,"Responsibilities:
Creating and developing devices, sensors and software
Researching, creating, testing and documenting IoT solutions
Designing, coding and testing features of IoT devices
Providing solutions to issues related to the connection of networks and platforms
Analyzing user needs and working as service designers
Developing software that monitors and executes processes
Designing platform solutions that are cloud-compatible and work with IoT applications
Developing software that allows IoT devices to function and connect to other devices
Requirements:
Degree in Information Technology, Computer Engineering or equivalent
Proficient knowledge of sensors
Expert knowledge of Linux OS
Well-versed with multiple programming languages such as Embedded-C, Embedded C++, JavaScript and Python
Experience working with front-end and back-end systems
Experience with custom-build firmware and hardware
Firm understanding of IoT architecture and principles
Familiarity with Big Data and machine learning algorithms
In-depth understanding of computer programming and network security
Knowledge of software like Netbeast, Neura, OpenSensors and Node
Knowledge of device and data security
Strong analytical and problem-solving skills
To apply, please visit www.gmprecruit.com and search for Job Reference: 20077
To learn more about this opportunity, please contact Yingying at [HIDDEN TEXT]
We regret that only shortlisted candidates will be notified.
GMP Technologies (S) Pte Ltd | EA Licence: 11C3793 | EA Personnel: Lai Yingying | Registration No: R1110239",Other,IT,Other Software/Hardware/EDP,16-03-2022,8 days ago
