UI/UX Designer,Seventh Sense Artificial Intelligence Private Limited,42000-66000 SGD Per Annum,Permanent Job,2-5 Years,Wireframes  CSS  HTML  User Experience  Javascript  UI  Web Technologies  Vc  Web Applications  Ux  Data Visualization  Designer  Pipelines  Defense  Embedded Systems  Corporate Identity ,"About Us
Seventh Sense is an Edge-AI startup, democratizing AI. At Seventh Sense, we are solving the problem of running computationally intensive deep learning (AI) without the need for costly GPUs or Cloud. We make it possible to get GPU-class machine vision performance on commoditized hardware such as ubiquitous CPUs, mCPUs, embedded systems, and compute-constrained devices. This technology enables us to build our products which help in making our world a safer place.
Our Face Recognition engine accuracy is ranked amongst the top in NIST, LFW, IJB-C, and other benchmarks.
Co-founders have 2-decades of experience, each, and have a track record which includes successful exits one was acquired by McAfee/Intel, and second was registered on a Stock Exchange.
We are backed by well-known US based VC investors and recognized local investors, such as CapVista (the strategic investment arm of Singapore's Defense, Science and Technology Agency within Ministry of Defense).
Job Description
The UX/UI Designer will work on optimising the user experience and interface of all Seventh Sense products, and will focus on making user interactions effective, efficient and satisfying, from all our web applications, mobile and desktop applications. This is a collaborative work that would require communication your design to our engineers and some 3rd-party developers, as well as explaining design decisions to our clients.
Background
At least 5 years of hands-on experience in design projects
Collaborate with the product and engineering team to plan optimal solutions to design problems that balance customer needs, business constraints and technological realities
Should have knowledge of design and prototyping software like InVision (required), Sketch, AdobeXD, Figma
Provide creative design works for branding, corporate identity, for marketing purposes
Online design portfolio for review
Experience with data science, machine learning, and AI product sets, especially training and deployment platforms and pipelines (preferred)
Data visualization skills (preferred)
Ability to define product requirements based on user and stakeholder research (preferred)
Strong understanding of web technologies such HTML, CSS and JavaScript (preferred)
Benefits
Health Care Plan
Paid Time Off (Vacation, Sick & Public Holidays)
Family Leave (Maternity, Paternity)
Short Term & Long-Term Disability
Training & Development
Work From Home
Stock Option Plan",Other,Advertising/Entertainment/Media,Graphic Designer/Animator,17-03-2022,9 days ago
Lead Software Developer (.NET) 12moscontract&renewable,Persolkelly Singapore Pte. Ltd.,72000-108000 SGD Per Annum,Permanent Job,5-7 Years,Aspnet  Web Services  CSS  Agile  Javascript  Html5  Sdlc  UI  Sql  System Design  C#  Api  Software Development  Business Requirements  Hardware ,"Our reputable client in Singapore is looking for Lead Software Engineer (.Net Core) to join their team in Singapore.
Job Purpose Analyze, design, develop and maintain of IT applications, including documentation and post-implementation customer support.
Job Responsibilities & Duties Analyze, design, program, test, document and maintain IT systems / applications
Understand business requirements, develop a proposed solution and work with the technical team to develop and deploy the solution.
Design and build integration between multiple on premises and/or cloud hosted systems.
Provide maintenance support to customers (internal and/or external) by investigating and rectifying reported systems shortcomings.
Analyse requests for enhancements/changes and write amendment/program specifications.
Perform and manage stages of the SDLC and participate in the systems review with Project Lead/Manager.
Understand the interdependencies of the services (application, system and database) and able to pin-point problem areas accurately to improve overall efficiency.
Design and document system design, architecture and propose appropriate technologies and tools required to implement systems; and ensure users sign-off on design specifications.
Use development tools to develop applications for better productivity.
Develop test cases, conduct unit test and SIT.
Keep abreast of technological advancement, emerging standards and new software or hardware solutions that may affect decisions about system builds or enhancements.
Any other project duties as and when assigned.
Minimum Qualification: Bachelor's degree in Computer Science, IT or related fields
Experience required: 5+ years of software development experience.
Experience with API Management technologies and standards
Experienced in both Agile and waterfall methodologies
3-5 years of experience in systems analysis, design, programming with knowledge of one or more of the following technologies:
ASP.NET/ ASP.NET CORE
C#, HTML5, CSS, JQuery, JavaScript, Bootstrap, Kendo UI, Web Services and Web APIs.
IIS Web Server
SQL Database Server
Certifications in ASP.Net, ASP.Net Core etc preferred
Some project leading experience in IT will be an added advantage
Interested applicants may submit your detailed resume to [HIDDEN TEXT] in MS Word format.
We regret to inform that only shortlisted candidates will be contacted.
EA License No. 01C4394 RCB No. 200007268E EA Registration No. R1329705 (Lopez Geraldine Pascual)",Other,IT,Other Software/Hardware/EDP,17-03-2022,9 days ago
Full Stack Developer (Junior),Cxc Singapore Pte. Ltd.,57600-66000 SGD Per Annum,Permanent Job,2-5 Years,Azure  REST  Javascript  Web Architecture  Html5  Information Technology  Python  Continuous Integration  Angular  Api  J2EE  Software Development  Hibernate  Business Requirements  Electronics ,"Be part of a team for a big project and advance your career with our client, a Fortune 500 global IT services leader!
You will be working for a company that is the leader in their Market. Over the many years, the business has been established, they have provided the very best service for their customers as well as providing an excellent environment for the people that work for them.
Job Roles:
Codes, tests, debugs, documents, implements, and maintains software applications to meet the needs of the client or end-user.
Collaborates with the development team, the broader IT team, product team, and other business stakeholders to build compelling software products
Maintains working knowledge of the latest changes in software development, data, and automation and applies those learnings to solve business problems
Develops applications within a containerized, cloud environment
Traces root cause and troubleshoots until fixed when outages occur
Helps translate business requirements into technical features and functionality which support customers expectations and business needs
Ensures compelling user experiences are backed by well developed, standards-compliant front and back end code
Drive improvement by designing and implementing new features and products.
Pairs with other programmers to implement features, resolve bugs, and describe acceptance criteria
Arranges project requirements in programming sequence by analyzing requirements, preparing a workflow chart and diagram using knowledge of computer capabilities, subject matter, programming language, and logic.
Completes project assignments and special projects commensurate with job expectations
Job Requirements:
Degree or Diploma in Computer Science, Computer or Electronics Engineering, Information Technology, or related disciplines with at least 2 years experience working as a full-stack developer.
Work in a cross-functional service team consisting of software engineers, DevOps, and other specialists
Experience in developing REST APIs that will be used by several tools and users to interact with the applications.
Strong written and verbal communication skills
Strong track record and portfolio of previous work with Continuous Integration and Delivery, Pair programming, and Test-Driven Development.
Knowledge / Skills:
Frontend: HTML5 / Angular / React
Backend: Spring boot / NodeJS / Python/ J2EE/ Hibernate, or similar server-side programming languages
API M platforms: Azure / AWS API gateway / Apigee",Other,IT,Other Software/Hardware/EDP,17-03-2022,9 days ago
"IT Manager, Risk and Assurance",Eps Consultants Pte Ltd,84000-132000 SGD Per Annum,Permanent Job,5-7 Years,Tableau  Quality Assurance  Artificial Intelligence  Data Governance  Data Analytics  Security Architecture  Dynamics  Assurance  Risk Management  technology solutions  Economics  interpreting  Compliance  Audits  Facilitation  Credit Risk ,"Job Requirements:
Review IT initiatives from technology / cybersecurity risk perspectives and provide advisory and recommendation
Research and evaluate latest security threats and technology solutions, such as Cloud, Artificial Intelligence, Big Data (Data Governance), IoT, etc.
Review security architecture and relevant policies for the organisation infrastructure, applications and cyber resilience
Perform 2nd line assurance reviews
Deliver the implementation of the business-facing related elements of the R&A Plan
Conducts periodic checks to provide risk-based oversight and assurance regarding business compliance with policies, procedures, systems, controls and governance requirements affecting their business area
Builds strong and effective relationships across the business to promote a positive image of Risk & Assurance
Maintains awareness of organisational structures and activities, including activities and intercompany relationships, in order to understand business dynamics, pressures and needs
Monitor and follow-up on Management Action Plans arising from internal / external reviews and audits
Is a referral point for the business, providing technical input and expertise, interpreting compliance regulations/ requirements and relating this to business activities
Assist in ad-hoc risk and assurance projects and initiatives
Job Requirements:
Degree in technology, business, economics or equivalent
At least 5 - 7 years of working experience in risk management, preferably in technology and/or cybersecurity risk
Strong foundation in ERM and control concepts and conversant with technology and cybersecurity risk trends and industry development
Experience in developing and implementing digital/online GRC solutions
Has an open and enquiring mind, ability to deliver reasonable and proportionate approach in risk management
Excellent facilitation, collaboration, presentation and communication skills, both written and spoken, with the ability to interact with senior management and stakeholders as well as operational levels of staff
Experience leveraging technology to drive process improvements to optimise business outcomes and strengthen compliance
Commercial awareness and able to understand broader business issues
Strong analytical and problem-solving skills
Able to use data analytics such as Tableau to glean insights from disparate datasets
Interested applicants, please submit your updated resume in MS WORD format via Apply Now for immediate processing. Do include your availability, last drawn & expected salary.
**We regret that only shortlisted candidates will be notified. Thank you.
Ashlynn | R21100397",Other,"IT , Finance & Accounts","Other Software/Hardware/EDP , Other Finance & Accounts",17-03-2022,9 days ago
Data Engineer,Anchor Global Consulting Pte. Ltd.,84000-165600 SGD Per Annum,Permanent Job,5-7 Years,MongoDB  Oracle  Azure  Big Data  Hadoop  Informatica  Data Transformation  Data Management  Data Quality  Cassandra  Sql  Data Science  Data Analytics  Apache  Data Warehousing  Pipelines ,"Responsibilities
Design and implement relevant data models in the form of data marts stored in Operational Data Stores, Data Warehouses or Big Data platforms
Build data pipelines to bring information from source systems, harmonise and cleanse data to support analytics initiatives for core business metrics and performance trends.
Perform data profiling to understand data quality and advise practical measures to address such data issues through data transformation and data loading
Dive into company data to identify sources and features that will drive business objectives.
Work closely with project manager and technical leads to provide regular status reporting and support them to refine issues/problem statements and propose/evaluate relevant analytics solutions
Bring your experience and ideas to effective and innovative engineering, design and strategy
Work in interdisciplinary teams that combine technical, business and data science competencies that deliver work in waterfall or agile software development lifecycle methodologies
The range of accountability, responsibility and autonomy will depend on your experience and seniority, including:
o Contributing to our internal networks and special interest groups
o Mentoring to upskill peers and juniors
Requirements
Possess good communications skills to understand our customers core business objectives and build end-to-end data centric solutions to address them
Good critical thinking and problem-solving abilities
Prior experience building large scale enterprise data pipelines using commercial and/or open source data management tools from vendors such as Informatica, Talend, Microsoft, IBM or Oracle
Strong knowledge of data manipulation languages such as SQL necessary to build and maintain complex queries and data pipelines
Practical appreciation of data q/uality metrics and remediation strategies
Data modelling and architecting skills including strong foundation in data warehousing concepts, data normalisation, and dimensional data modelling such as OLAP
Undergraduate or graduate degree in Computer science or equivalent
Experience with other aspects of data management such as data governance, metadata management, archival, data lifecycle management
Processing of semi-structured and unstructured data sets such as NoSQL, graph and Hadoop based data storage technologies such as MongoDB, Cassandra, HBase, Hortonworks/Cloudera, Elastic Search and Neo4j using Spark, Splunk or Apache Nifi for batch or streaming data
Large scale data loading experience moving enterprise or operational data from source systems to new applications or data analytics solutions
Experience in leveraging on cloud-based data analytics platform such as:
o AWS serverless architecture in Lambda on AWS DynamoDB, EMR Redshift
o Azure Data Factory or SQL Data Warehouse
o GCP BigQuery/BigTable, Cloud Dataprep/Dataflow/Dataproc
Chin (Reg No. R21100141)
We regret that only shortlisted candidates will be notified.",Other,Manufacturing/Engineering/R&D,Other Production/Engineering/R&D,17-03-2022,10 days ago
CRM Team Lead,S & I Systems Pte Ltd,84000-120000 SGD Per Annum,Permanent Job,5-7 Years,Microsoft Technologies  Aspnet  Scalability  Windows Server  Data Migration  Solution Architecture  Agile Scrum  C#  Jscript  Power Bi  Ssrs  S  Presentation Skills  Team Player ,"S & I Systems, S & I Systems, established in 1998, is a leading service provider offering end-to-end IT services. We lead digital transformations for clients by modernising their mainstream IT and deploying digital solutions at scale to drive growth and performance.
Job Responsibilities
Lead small to medium Dynamics 365 implementation team inclusive of both technical and functional consultants.
Provide in-depth knowledge of the Microsoft Dynamics 365 (CRM) and PowerApps platform and evaluate customer's requirements against the standard COTS functionality.
Perform a fit-gap analysis to come up with a proposed solution architecture to address requirements.
Lead sessions with business users and client IT teams during project implementation.
Ability to orchestrate design and solutioning of components from a modularized design perspective. Implementation of MS CRM data migration jobs, plug-in development and custom reports using SSRS.
Good understanding of CRM entity & Object model, data and reporting using SSRS. Familiarity with Power BI is an added advantage.
Leverage Object-Oriented Programming and Design experience and work with functional and technical consultants during design and build phases to come up with scalable/reusable solution.
Job Requirements
Bachelor's degree in Engineering, Computer Science, Mathematics, or equivalent.
Certifications in Microsoft Technologies preferably in Dynamics 365 (CRM).
Proficient in Microsoft Dynamics 365(CRM) and Power Platform.
Minimum 5 years of working experience in CRM projects for enterprise customers.
Working knowledge of at least three of the following: C#, ASP.Net, JScript, XML, HTML, SharePoint, SQL, Windows Server 2003/SBS 2003 related technologies, data migration & application integration techniques.
Experienced with on-premise, private cloud and public cloud deployment models for Dynamics 365 and Power Platform components (Public SaaS).
Communication skills: Ability to effectively communicate technical & business concepts to clients on all levels, good presentation skills, objective to rationalize points of conflict and confidently put forward team's point of view.
Project management: Familiar with project management methodologies and ability to manage smaller projects where a dedicated project manager is not assigned. Sound understanding on other project management methodologies such as Agile (Scrum) and ability to utilize it effectively.
Leadership skills: Lead the team by example. Passionate about technology and takes ownership for action, seeks feedback and takes direction. Takes pride in delivering excellent results. Drives issues to resolution.
Team player: Ability and willingness to motivate and mentor team members and develop good working relationships with clients & team members.
Resourcefulness: Ability to perform issues analysis, develop creative/unique approaches to issue resolution, recognize problems and opportunities. Ability to analyze requirements and translate them into priorities and action plans. Solution with a scalability and Microsoft supported best practices in mind.",Other,Others,Other Roles,17-03-2022,10 days ago
Regional E-Merchandiser,Sisley Singapore Pte Ltd,48000-60000 SGD Per Annum,Permanent Job,2-5 Years,Ability To Multitask  Analytical Skills  Salesforce  Merchandising  self-motivated Team Player  beauty industry  Adaptable to Changes  Excellent Interpersonal Communication Skills  Versatile  motivated self-starter ,"SISLEY IN A FEW WORDS:
Established in 1976, Sisley is a French premium beauty brand with production, administration, and research laboratories in France. Today, Sisley's skincare, makeup, fragrances and haircare products are present in more than 90 countries worldwide. In APAC region, Sisley covers more than 10 countries with a fast-expanding digital and ecommerce footprint to serve the needs of our high-end cliental. The APAC regional office in Singapore is looking for a Regional E-Merchandiser to animate & ensurethe luxurious Sisley experience throughout our many brand sites and ecommerce channels.
ROLES & RESPONSIBILITIES
Coordinate the rollout of Salesforce Commerce Cloud brand sites and ecommerce channels in APAC.
Maintain the functional aspects of our brand sites and ecommerce sites in APAC countries to optimize and enrich the total brand presentation including:
o Web mastering: Managing content integration, page design and copywriting inside our brand site backend system.
o Publishing brand content & marketing pages for SEO
o Launch experiential omnichannel campaigns to drive interest and purchases.
o Coordinate the rollout of ecommerce sales campaigns by creating enticing promotion rules and campaign banners.
Create and implement online/offline marketing activities such as launch campaign pages, EDMs, sign-up forms to drive consideration, sampling and purchase.
Lead projects for designing online brand store experience for e-retailers and e-department stores throughout APAC countries.
Analyse site performance and apply learnings from A/B testing to drive customer experience and sell-through.
Collaborate and align closely with marketing, digital and creative teams in local markets and Headquarters to deliver the right content at the right time.
JOB EXPERIENCES & QUALIFICATIONS NEEDED:
2-4 years of working experience in ecommerce, digital media or digital marketing.
Cosmetic products and beauty industry experience (preferred)
Hands-on experience with Salesforce Commerce Cloud or similar (preferred)
Graphical skills for pack shots and banners (preferred)
Web layout and page builder tool experience (preferred)
Coding basic knowledge in HTML, CSS (preferred)
This is a position to support the e-commerce of our Asia Pacific region. The China market is our largest market segment in the Asia Pacific region, therefore, the person should preferably be fluent in Chinese language speaking and reading.
DESIRED CHARACTERISTICS:
Self-starter and highly driven individual
Ability to identify and go after opportunities
Strong analytical skills
Ability to work well in a team
Strong cross-cultural communication skills
Fast learner and ability to multi-task
Versatile and adaptable to changes
Passionate about cosmetics and skincare business",Other,IT,Other Software/Hardware/EDP,17-03-2022,10 days ago
Senior Software Engineer – Singapore,Farallon Capital Asia Pte. Ltd.,108000-156000 SGD Per Annum,Permanent Job,7-10 Years,Application Architecture  .NET  Azure  Data Modeling  Agile Methodologies  Javascript  Sql  SQL Server  Winforms  Power Bi  Data Visualization  Architectural  vision insurance  Capital  terminology  retirement ,"Farallon Capital Management, L.L.C. is a global institutional asset management firm. Founded in 1986 and headquartered in San Francisco, Farallon has offices in London, Singapore, Hong Kong, Tokyo, and So Paulo and employs approximately 210 employees. The firm's investments include public and private debt and equity securities, direct investments in private companies, and real estate.
Position Overview
We are expanding our team in Singapore and we are looking for software engineers to help us develop solutions across all teams in our organization. Our initial focus is on supporting our Asia offices (Singapore, Hong Kong, and Tokyo), and our team collaborates with the US team as well to solve problems for the firm.
What you'll do
Partner with our end users to develop applications that improve efficiency.
Build data visualization and analytic tools on web and mobile technologies.
Explore and implement alternative low code and no code platforms to deliver solutions quickly where appropriate.
Collaborate with the US based team[AI1] to ensure technical alignment and interoperation of applications.
Bring in industry standard practices and modern application architecture patterns to the overall solution.
What we look for
8+years of experience in building software using agile methodologies with .NET and C#.
A degree in computer science or an equivalent related field (bachelor's/master's).[AI3]
Software architecture experience working on small and medium size projects while keeping an overall architectural vision.
Experience with cloud services development, preferably Azure.
Experience with web and mobile technologies.
Experience with SQL Server (data modeling and query optimization).
Knowledge of Enterprise Reporting and Data Visualization tools (Qlik, Power BI, Tableau, etc) desired.
Knowledge of hedge funds/financial terminology desired.
Experience with WinForms development desired.
Compensation is competitive and commensurate with experience and expertise. The firm offers an attractive benefits package including medical, dental, and vision insurance plans and a retirement savings plan. We offer a training and growth plan.",Other,IT,Other Software/Hardware/EDP,17-03-2022,9 days ago
Front End Engineer,Seventh Sense Artificial Intelligence Private Limited,42000-102000 SGD Per Annum,Permanent Job,2-5 Years,Machine Learning  Dashboard  CSS  HTML  REST  MySQL  Javascript  Windows  Vc  Angular  Ux  Databases  Hardware  Defense  Embedded Systems  Writing ,"About Us
Seventh Sense is an Edge-AI startup, democratizing AI. At Seventh Sense, we are solving the problem of running computationally intensive deep learning (AI) without the need for costly GPUs or Cloud. We make it possible to get GPU-class machine vision performance on commoditized hardware such as ubiquitous CPUs, mCPUs, embedded systems, and compute-constrained devices. This technology enables us to build our products which help in making our world a safer place.
Our Face Recognition engine accuracy is ranked amongst the top in NIST, LFW,IJB-C, and other benchmarks.
Co-founders have 2-decades of experience, each, and have a track record which includes successful exits one was acquired by McAfee/Intel, and second was registered on a Stock Exchange.
We are backed by well-known US based VC investors and recognized local investors, such as CapVista (the strategic investment arm of Singapore's Defense, Science and Technology Agency within Ministry of Defense).
Job Description
We are looking for a frontend engineer to work closely with our product and machine learning teams to build front end for web-based/mobile dashboard. As a frontend engineer, you should be comfortable with front-end coding languages, development frameworks, and third-party libraries. If you are someone who wants to contribute to solving challenging technical problems with exposure to the forefront of deep learning, this is the role for you.
The role will also require collaborating with project and product teams to transfer ideas into product solutions and applications.
Background
Strong programming skills with proven experience implementing Angular and React-based frontend applications
Proficiency with fundamental front-end languages such as HTML, CSS and JavaScript.
Working experience in integrating with REST APIs and database concepts for backend integration
Familiarity with databases (e.g. MySQL, Elasticsearch), web servers, and UI/UX design
Familiarity with automated testing platforms and writing unit tests
Knowledge of Windows Server7 Presentation framework, PyQt is a plus
Creative, collaborative, and innovation-focused
Strong sense of project ownership and personal responsibility
Degree/Diploma in Computer Science or relevant field",Other,Manufacturing/Engineering/R&D,Other Production/Engineering/R&D,17-03-2022,9 days ago
Solution Architect,Capgemini Singapore Pte. Ltd.,120000-180000 SGD Per Annum,Permanent Job,10-15 Years,Design Patterns  User Stories  Informatica  Agile  Solution Architecture  Alfresco  Software Development  Agile Development  Customer Experience  Architect  Architectural  Translating  workflow management  Compliance  Stakeholder Management ,"The Data & Privacy Transformation Programme, within Group COO Trust, Data & Resilience aims to uplift existing data & privacy processes and controls to improve customer experience. This role will involve working with various Business & Functions team, with 2nd line compliance colleagues and technology to design, implement and operationalize capabilities for robust, streamlined and customer centric data & privacy management.
Job Purpose
The specialist solution design will be a key member of DPTP technology team and responsible for translating user stories that meet functional & non-functional requirements. The role holder will form a key part of a fast-paced, ambitious, delivery programme.
The Role Responsibilities
Software Delivery
Come up with a solution architecture using Bank standards and design patterns
Ensure scalable real-time low-latency processing solutions in an agile delivery method
Ensure all software components are secure and as per bank security standards
Adhere to governance and standards and ensure alignment with framework patterns
Ensure automated testing is implemented
Manage work on tools/modules deliverables from installation to completion as per project timelines
Brainstorm and suggest design solutions based on user/product requirements
Contribute towards an inspiring team environment with an open communication culture
Stakeholder Management
Partner with stakeholders to capture requirements and deliver solutions deep understanding of the problem and context along with ownership are key to be successful in this role
Collaborate with stakeholders to make strategic design, new features, and functionality
Key Stakeholders
Product Owners
Business Analysts
Agile Development Teams
Production Support Team
Our Ideal Candidate
Must Have Technical Skills:
Must have working experience in two of the below streams / products
Data Discovery: BigID, Informatica, Securiti AI
Data Subject Rights: BigID, OneTrust, SecuritiAI
Records Management: FileNet, OpenText Records Management, RecFind, Alfresco
Data Sovereignty: SecuPi, Immuta
Cookies & Consent Management: OneTrust, Securiti AI
Tag Manager / Marketing Platform: Adobe Tag Manager, Google Tag Manager, Salesforce, Adobe Experience Cloud, Optimize
Workflow Management: Pega, ServiceNow
Agile development experience
Minimum 10+years of hands-on working experience in software development",Other,IT,Other Software/Hardware/EDP,17-03-2022,9 days ago
