job_title,company,salary,job_type,years_experience,tech_stack,job_description,industry,function,roles,last_updated,posted_on
Presales Solution Architect,Wiz Technologies (s) Pte. Ltd.,48000-96000 SGD Per Annum,Permanent Job,2-5 Years,Cloud Computing  Vmware  Networking  Windows  Ansible  Virtualization  Linux  Customerfacing  Architect  Windows Operating Systems ,"This position reports to Operation Director of Wiz Technologies (S) Pte. Ltd.. Wiz Technologies (S) Pte. Ltd. is committed to a HIGH-PERFORMANCE culture that emphasizes on empowerment, quality, continuous improvement and learning.
Role and Responsibility
Presales and Solution Architect is to support our sales team in engaging potential customers and understand their requirements in the Infrastructure area. Provide the overall estimate of efforts needed to support customers needs and assist Sales Team in coming up with the quotation. Involve in the handover and initial support to the operation team to setup the customer support agreement.
Contribute to the technical evaluation process with our Private and Public Cloud's customers for VMware-aaS technical sales cycles, managing product/solution briefings, proof-of-concept work, and the coordination of technical resources.
Assist the Sales teams in technical qualification of new opportunities for VMware-aaS on our Private Cloud and Public Cloud Platform, identifying key customer technical objections and developing technical solution strategies. Support Sales teams when deploying VMware applications in the selected cloud.
Recommend, demonstrate, and prototype VMware-aaS on our Private Cloud and Public solutions in customer environments, using best practices for VMware-aaS on Google Cloud.
Assist the Infrastructure Modernization Solutions management team, contributing to solution and use case specific assets. Travel to customer sites, conferences, marketing events, and other VMware ecosystem related events up to 50% of the time.
Minimum qualifications:
Experience with the VMware technology stack or Microsoft technology stack.
Experience as a direct technical sales engineer within enterprise cloud computing environments or in a customer-facing role.
Experience architecting solutions with VMware technologies, sizing and costing for VMware in cloud solutions.
Preferred qualifications:
Degree in Computer Science or other relevant technical field.
Experience as an IT infrastructure consultant or enterprise architect working in datacenter investment strategies and proposals.
Experience in networking (i.e., Linux, software-defined networking, network virtualization, open protocols, application acceleration and load balancing, DNS, virtual private networks) and their application to PaaS and IaaS technologies.
Experience with deployment methodologies and technologies (CI/CD, Chef, Puppet, Ansible, etc.).
Experience with Windows, Linux system administration, and/or Enterprise applications and achieved VMware Whiteboard Design Certification.",Other,IT,Other Software/Hardware/EDP,15/3/2022,4 days ago
Cloud Engineer,Itconnectus Pte. Ltd.,60000-96000 SGD Per Annum,Permanent Job,2-5 Years,Kubernetes  Azure  Cloud Computing  Scripting  Sdlc  Python  Docker  Ansible  Java  Linux  Software Development  Troubleshooting  Architect  Job Descriptions  Writing  Cost Control ,"Job Descriptions:
Experienced AWS Cloud Administrator to work alongside web and the application team to support transition and operation of it client web sites / applications in Amazon Cloud.
Deploying, managing, and operating scalable, highly available, and fault tolerant systems on AWS Migrating an existing on-premises application to AWS
Implementing and controlling the flow of data to and from AWS
Selecting the appropriate AWS service based on compute, data, or security requirements
Identifying appropriate use of AWS operational best practices
Estimating AWS usage costs and identifying operational cost control mechanisms
Communicates orally and in writing to high level public officials, as well as a variety of audiences.
Produce weekly activity reports, oral presentations, briefings, standard operating procedures (SOPs), software development life-cycle (SDLC) documents and checklists, risk and issues logs and required artifacts.",Other,IT,Other Software/Hardware/EDP,15/3/2022,3 days ago
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,48000-60000 SGD Per Annum,Permanent Job,2-5 Years,Puppet  Cloud Applications  Cloud Security  Cloud Computing  cloud management  Cloud Storage  OpenStack  Sdn  Cloud  Zabbix  Ansible  Troubleshooting  Cloud robotics  Cloud-based  Infrastructure  ETSI Standard  Hybrid Cloud ,"In-charge of the design, deployment, installation, provisioning, troubleshooting, and reporting for the Openstack based cloud infrastructure and related Cloud services.
Develop maintenance plans and activities for Cloud infrastructure including application of fixes, security patches and upgrades, capacity increases and other Cloud related maintenance.
Requirements:
Degree in IT/Computer Science or equivalent
At least 3 years of experience in automation with configuration managements tools like Ansible, chef, puppet etc.
Good knowledge of cloud, Hybrid configuration, diversity across platforms
If you are keen to apply for the position, kindly email your detailed resume in MS Word to [HIDDEN TEXT] Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website at www.recruit-expert.com
EA Licence: 19C9701
Registration: R1326740",Other,IT,Other Software/Hardware/EDP,14/3/2022,a day ago
AWS Cloud Operations Engineer,Oliver James Associates (singapore) Pte. Ltd.,12-12 SGD Per Annum,Permanent Job,5-7 Years,Cloud Computing  AWS  Software Engineering  Scripting  Amazon Web Services  It Operations  Windows  System Administration  Linux  Administration  Reliability ,"Oliver James is looking to hire an AWS Cloud Operations Engineer. This is an exciting opportunity to join a successful and expanding business where you will gain new technologies exposure.
As a progressive organization, they are seeking someone who can build and maintain reliable cloud infrastructure and services within AWS. You will be responsible to perform installation, configuration, and maintenance of solutions using AWS, ownership in diagnosis and issue resolution process and perform system administration, reliability monitoring and automation tasks.
Candidate Requirements:
Experience in technical system administration and implementation or similar duties
Experience in implementing cloud deployments or similar duties
Experience in AWS, Linux or Windows",Other,IT,Other Software/Hardware/EDP,15/3/2022,4 days ago
JAVA Developer,Unisoft Infotech Pte Ltd,81600-108000 SGD Per Annum,Permanent Job,2-5 Years,Git  Web Services  Cloud Computing  REST  Angularjs  Shell Scripting  Spring Framework  Javascript  UI  Sql  Angular  Java  Linux  J2EE  Software Development  Hibernate  Banking ,"With the shift towards Digital, the value partner of our client is rapidly moving into transforming digitally. They are building a team of digital experts to help them with the transition.
Expected Skill Set:
4+ years of experience in Java
4+Experience in UI frameworks such as AngularJS and/or Angular
4+ years of experience in Spring Framework
4+ years of experience in REST web services
Nice to have skillset and experience:
Experience in the :
Banking domain
Cloud computing technologies
Linux shell scripting
Git commands",Other,IT,Other Software/Hardware/EDP,15/3/2022,3 days ago
DevOps Engineer,Amazon Web Services Singapore Private Limited,108000-204000 SGD Per Annum,Permanent Job,10-15 Years,It Projects  Agile Project Management  Cloud Computing  Devops  AWS  Workshop Delivery  Financial Services industry  Digital Project Management  technical consultation  IT Program  Proof of Concept ,"At Amazon Web Services (AWS), we're hiring highly technical cloud computing architects to help our partners develop technical expertise and capacity, while also collaborating with our customers and partners on key engagements. Our consultants will deliver proof-of-concept projects, topical workshops, and lead implementation projects. These professional services engagements will focus on key customer solutions such as, web applications, enterprise applications, HPC, batch processing and big data, archiving and disaster recovery, education and government.

Professional Services engage in a wide variety of projects for customers and partners, providing collective experience from across the AWS customer base and are obsessed about strong success for the Customer. Our team collaborates across the entire AWS organization to bring access to product and service teams, to get the right solution delivered and drive feature innovation based upon customer needs
The DevOps operating model is the combination of cultural philosophies, practices, and tools that helps organizations deliver end-to-end applications and infrastructure solutions safely and at high velocity. The Senior DevOps Consultant is a leader with significant automation and programming experience throughout the SDLC. The Consultant will lead our enterprise customers through large organizational and SDLC transformations. A successful DevOps practitioner has technical depth across the Full DevOps Spectrum along with leading and evangelizing transformations, and driving innovations. Our Consultants work with enterprise customers locally, regionally and potentially domestically. As such, Consultants may be required to travel to client locations to sell and deliver professional services as needed.
About the team
Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon's culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn't about how many hours you spend at home or at work; it's about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we're building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.
Basic qualifications
8+ years of experience as a technical specialist.
Familiarity with administrative tasks within popular operating systems.
Hands-on experience with architecting and automated provisioning (IaC), configuration management for infrastructure and applications.
Hands-on experience with envisioning, designing, building and managing release systems, code merging and promotion, and CI/CD workflows and tools.
Strong hands-on experience with mainline programming and scripting languages such as Shell, Python, Ruby, Perl, Java, .Net, or C++.
Experience establishing, implementing, and delivering using Agile practices.
Bachelor Degree or equivalent experience.
Ability to travel to client locations to deliver professional services as needed.
Preferred qualifications
Experience with CloudFormation, Chef, Puppet, Salt, or Ansible in production environments.
Knowledge of IP networking, VPN's, DNS, load balancing and firewall.
Experience with monitoring and log aggregating frameworks like CloudWatch, Datadog, Splunk, Opentracing, AWS X-Ray, and APM tools.
Experience with development and automated testing.
Understanding of microservices and distributed application architecture.
Experience building enterprise security strategy for cloud adoption or driving the program's evolution to meet new requirements.
Experience leading the certification or accreditation of cloud workload(s) to meet industry standards such as PCI DSS, ISO 27001, HIPAA, and NIST/DoD frameworks.
Strong verbal and written communications skills and ability to lead effectively across organizations and engagements.",Other,IT,Other Software/Hardware/EDP,15/3/2022,3 days ago
Technical Sales Specialist [ 5 Days | Up to $3500 | Mattar MRT | Life Science Products Industry ] - 5685,The Supreme Hr Advisory Pte. Ltd.,30000-42000 SGD Per Annum,Permanent Job,0-2 Years,Cloud Computing  Erp  Customer Success  Technical Sales  Technical Support  CRM  Forecasting  Administration  Selling  Marketing  Strategy  Biotechnology  Presentation Skills  Life Sciences ,"5 Days
Genting Lane (Mattar MRT)
$2500 - $3500
Interested applicants can send your resume to ? [HIDDEN TEXT] and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.
Job Scopes:
Responsible for the sales and marketing and support of a range of fluid transfer products and single use assemblies.
Answer customer inquiries, documents these interactions in company's ERP and CRM.
Coordinates project intake, quoting and order administration for assigned accounts, and core business.
Managing a curated profile of existing customers and generating additional revenues to ensure business growth.
Identify new customers and other business opportunities through strategic sales & marketing plans.
Handling sales administrative duties (Customer Service/Purchasing)
Handling other duties assigned.
Requirements:
Diploma in Biotechnology / Life Sciences or any related discipline.
Experience in sales, preferably 1-2 years in Life Science Products Industry will be an advantage..
Product training will be provided.",Other,"Sales/Business Development , Marketing & Communications","Brand Manager , Other Sales",15/3/2022,4 days ago
Full Stack Developer,Sygnum Pte. Ltd.,60000-120000 SGD Per Annum,Permanent Job,2-5 Years,Git  It Operations Management  Cloud Computing  AWS  Html5  Solution Architecture  agile application development  Web Development  Software Development  Database Development  Continuous Improvement  Hybrid Cloud  Agile application ,"Sygnum Singapore is a digital asset-focused fund manager, operating under a Capital Markets Services licence from the Monetary Authority of Singapore. With our suite of asset management offerings, we enable accredited and institutional investors to build exposure to digital assets within their portfolios with complete trust. Together with Sygnum Bank AG, the world's first digital asset bank, our interdisciplinary team of banking, asset management and Distributed Ledger Technology experts in Switzerland and Singapore are shaping the future of a globally trusted digital asset ecosystem.
We are looking for a passionate FULL STACK DEVELOPER to join our growing, high impact team in our office in Singapore.
Tasks
Produce highly scalable and performant components that are unit tested, code reviewed, and checked in regularly for continuous integration.
Code using primarily JavaScript.
Develop multi-tier highly scalable, high-volume performing, and reliable user-centric applications.
Use web3.js to implement applications that interact with Ethereum nodes.
Work with engineers, product managers, designers, other stakeholders.
Requirements
You are a clear communicator and can express your thoughts in a technical debate.
You care deeply about building scalable applications, and don't settle for mediocre.
You are results orientated and passionate about writing high-quality code.
You learn quickly and enjoy working in a product team with the objective to bring value to stakeholders.
You are passionate about what you do and have a high interest in keeping up with current best practices in your areas of expertise.
You enjoy and have experience in designing and building front-end applications at large scale.
Ideally you worked with:
Front-end and back-end JavaScript (Node.js, Vue.js, AngularJS, React.js)
HTML 5, CSS, etc.
RESTful API design, build, and use
Database design, manipulation, deployment, and management (MySQL, SQLite, NoSQL, MongoDB)
Build and deployment tools (npm, Vagrant, docker)
Version control using Git
If this reads like your profile, please send us your application with a CV and motivational letter. Even if you're not there yet but still think you could be a good fit for our team, please contact us and we'll figure something out. Thank you.",Other,IT,Other Software/Hardware/EDP,15/3/2022,3 days ago
Java Developer,K2 Partnering Solutions Pte. Ltd.,81600-102000 SGD Per Annum,Permanent Job,2-5 Years,Git  Web Services  Oracle  Cloud Computing  REST  Angularjs  Shell Scripting  Javascript  UI  Sql  Angular  Java  Linux  J2EE  Software Development  Hibernate ,"With the shift towards Digital, the value partner of our client is rapidly moving into transforming digitally. They are building a team of digital experts to help them with the transition.
Expected Skill Set:
4+ years of experience in Java
4+Experience in UI frameworks such as AngularJS and/or Angular
4+ years of experience in Spring Framework
4+ years of experience in REST web services
Nice to have skillset and experience:
Experience in the BFSI domain
Experience in cloud computing technologies
Experience in Linux shell scripting
Experience in Git commands",Other,Others,Other Roles,15/3/2022,4 days ago
22422783 SOC Advanced Cyber Defense Analyst (AVP),Citibank N.a.,96000-156000 SGD Per Annum,Permanent Job,5-7 Years,Cloud Computing  Cyber Security  Threat Analysis  Debugging  Security Operations  Analytical Skills  Ability To Work Independently  Critical Thinking  AV  Team Player ,"Principle Responsibilities:
Proactively hunt for potential malicious activities in the bank's environment
Research and identify emerging cyber security threats
Enhance current deployment of commercial tools used by Security Operations Center.
Participate in major security events as subject matter expert.
Development of new tools, processes and procedures to enhance SOC monitoring and analysis capabilities
Evaluate new technologies against SOC requirements in proof of concepts
Provide guidance to SOC Tier 1 and SOC Tier 2 analysts
Requirements:
The candidate should have Security Operations Center / Technical Cyber Intelligence analyst background. He/she should be able to perform the SOC analyst Tier 2 duties in addition to following experience and advanced threat analysis skills:
5+ years working in the security & operations fields
Bachelor's Degree or higher preferred
Possess strong fundamental knowledge of network (TCP/IP) and operating system (Windows/Linux)
Hands-on experience with cyber security solutions; SIEM, AV, NIDS, EDR etc
Ability to investigate network traffic, read and interpret logs and packet captures
Experience in web/shell programming and debugging codes
Experience in cloud computing and security controls
Familiar with malware and memory analysis techniques
Reverse-engineering of malware in support of incident response/threat hunting
Critical thinking and analytical skills
Good written and oral communications skills
Team player with the ability to work independently",Other,IT,Other Software/Hardware/EDP,15/3/2022,4 days ago
