Id,Skills,
1,Micron,1
2,Malaysia,2
3,Spark,3
4,religion,4
5,Singapore,5
6,skillsStrong,6
7,U,7
8,sex,8
9,Artificial Intelligence,9
10,on,10
11,Hadoop,11
12,color,12
13,Experience5,13
14,Solution Architects,14
15,Smart Manufacturing,15
16,national origin,16
17,Big Data,17
18,ResponsibilitiesCoach Solution,18
19,data model,19
20,delivering,20
21,Data Engineers,21
22,IoT,22
23,CONT,23
24,AI,24
25,COVID-19,25
26,India,26
27,ML,27
28,train,28
29,SnowflakePresentation,29
30,sustainability,30
31,Data Scientists,31
32,Things,32
33,Lead,33
34,Machine Learning,34
35,Data Warehouse,35
36,Vertica,36
37,Azure,37
38,Meet-,38
39,gender,39
40,Technology,40
41,Concepts,41
42,usAmazon Web,42
43,BigQuery,43
44,petabyte,44
45,the DW,45
46,Analytics Solutions Architect - Acceleration Lab ,46
47,management,47
48,Amazon Redshift,48
49,DataWarehouse,49
50,disability,50
51,Database,51
52,IT Management,52
53,Redshift,53
54,Proof,54
55,age,55
56,Data Integration,56
57,Engineering,57
58,website,58
59,Amazon,59
60,batch processing,60
61,Pilots,61
62,labs,62
63,Business Development,63
64,ethnicity,64
65,Business Intelligence,65
66,jobs/,66
67,Math,67
68,sharding,68
69,Netezza,69
70,Data Warehousing,70
71,Greenplum,71
72,Computer Science,72
73,Customer Account,73
74,AWS,74
75,Analytics,75
76,Snowflake,76
77,whitepapers,77
78,SQL,78
79,POC,79
80,Teradata,80
81,AWS Summit,81
82,QUALIFICATIONS,82
83,gender identity,83
84,Computer Engineering,84
85,Cloud/,85
86,MES,86
87,ERP,87
88,Smart Warehouse,88
89,Python,89
90,IO,90
91,HTTP,91
92,programming,92
93,DDS,93
94,CAT,94
95,verbal &,95
96,Industry4,96
97,Ethernet-,97
98,JavaScript,98
99,RDBMS,99
100,MQTT,100
101,Electronics,101
102,Ether,102
103,Modbus,103
104,Device,104
105,UA,105
106,BI,106
107,OT,107
108,IT-,108
109,IoT Developer,109
110,Model,110
111,OPC,111
112,Cloud,112
113,Docker,113
114,Setup,114
115,Ansible,115
116,Node,116
117,Terraform,117
118,CI,118
119,CloudFormation,119
120,Maven,120
121,powershell,121
122,Git,122
123,Gradle,123
124,Computer,124
125,KubernetesPossess,125
126,Information Technology,126
127,Code,127
128,bash,128
129,Azure)Setup,129
130,policiesThe,130
131,BambooExcellent,131
132,perl,132
133,Infrastructure,133
134,Diploma,134
135,utilisation,135
136,DevSecOps,136
137,Software Engineer,137
138,SaaS,138
139,Bachelor,139
140,DevOps Engineer,140
141,Software Engineering ,141
142,GCP)Setup,142
143,KubernetesExperience,143
144,PaaS,144
145,Software Engineering,145
146,Shell,146
147,IaaS,147
148,DevOps,148
149,VPN,149
150,Assurance,150
151,GIAC,151
152,controls,152
153,IDS,153
154,managementThe,154
155,Technical Documentation,155
156,Networking,156
157,CISSP,157
158,SIEMs,158
159,Iam,159
160,Idm,160
161,CICD,161
162,server,162
163,the Information,163
164,IAMIDM,164
165,InfoSec,165
166,CCPA,166
167,IPS,167
168,DSS,168
169,Vulnerability Scanning,169
170,GDPR,170
171,container security,171
172,Information Systems,172
173,application,173
174,Alibaba/,174
175,the,175
176,Compliance,176
177,MS Azure,177
178,SANS,178
179,coordination,179
180,energy,180
181,Regulatory Requirements,181
182,drive,182
183,Firewalls,183
184,familiarity,184
185,GCP,185
186,Data Governance,186
187,stamina,187
188,Cloud Computing,188
189,Audits,189
190,time,190
191,templates,191
192,SOX,192
193,AVMalware,193
194,Privacy assuranceEvaluates,194
195,PCI,195
196,Consulting,196
197,Director,197
198,Cissp ,198
199,RESTful APIs,199
200,API,200
201,authentication,201
202,Secure Code,202
203,Apply Security,203
204,Tech,204
205,Digital BankOffice,205
206,Security Analyst,206
207,Security Operations,207
208,Mobile Applications,208
209,remediation,209
210,threat modeling ,210
211,Windows,211
212,Access Control,212
213,Web Application Security,213
214,Web Applications,214
215,Banking,215
216,Cryptography,216
217,ITIL,217
218,Google)Certifications,218
219,Ah-,219
220,Android,220
221,email,221
222,SingaporePermanent,222
223,South,223
224,Diploma ,224
225,etc)Carry,225
226,OfferUnique,226
227,multiple,227
228,presentation,228
229,Business Information,229
230,cross,230
231,storage,231
232,Mathematics,232
233,AWS)Technical,233
234,Business,234
235,Enterprise,235
236,Google,236
237,preferred6,237
238,evaluate,238
239,doCloud,239
240,Deloitte,240
241,analysis,241
242,written,242
243,Scripting,243
244,Mail,244
245,Technical Marketing,245
246,Routing,246
247,Vmware,247
248,Mesos,248
249,LAN,249
250,AWS CSA,250
251,Orchestration,251
252,Network Design,252
253,Openstack,253
254,Product Management,254
255,Web Application Firewall,255
256,R&D team,256
257,Network Firewall,257
258,Distributed Denied,258
259,Fortinet,259
260,Network Security,260
261,Application Delivery,261
262,Software Define,262
263,Anti-,263
264,CIO,264
265,Network Architecture,265
266,Fortinet Regional,266
267,VMWARE NSX,267
268,Intrusion Detection,268
269,Architect,269
270,Services,270
271,Web Application,271
272,FCNSP NSE,272
273,CCNP,273
274,Google Cloud,274
275,L2-,275
276,Switching,276
277,Chef,277
278,Virtualization,278
279,Advance Threat,279
280,Kubernetes,280
281,Puppet,281
282,Architecture Design ,282
283,Cisco ACI,283
284,Swarm,284
285,Google Cloud Platform,285
286,Solutioning,286
287,WAN,287
288,Apache AirflowQuery,288
289,convenience,289
290,MaxwellWorkflow,290
291,Apache Kafka,291
292,AngularJS,292
293,Data Engineering Manager ,293
