Id,Skills,
1,Scripting,1
2,Pipelines,2
3,Reliability Engineering,3
4,VPN,4
5,Tunnelling ,5
6,Docker,6
7,ExpectParticipate,7
8,Ansible,8
9,Reliability,9
10,Networking,10
11,Azure,11
12,IAC,12
13,Terraform,13
14,Node,14
15,Python,15
16,MDM,16
17,Dns,17
18,CICD,18
19,Requirements5,19
20,Gitlab,20
21,Government Commercial,21
22,Shagufta,22
23,R2090865,23
24,Automation,24
25,Cloudflare Access,25
26,MacOS,26
27,Site Reliability,27
28,Availability,28
29,Mobile Device,29
30,Scalability,30
31,AWS,31
32,License Number,32
33,Kubernetes,33
34,Windows,34
35,Intune,35
36,Atlassian,36
37,DevOps,37
38,Ict,38
39,Orchestration,39
40,ResponsibilitiesDevelop,40
41,certification-------------------------------------------------------------------------------EA License Number,41
42,R1548426,42
43,Distributed Systems,43
44,proceduresDevelop,44
45,Information Technology,45
46,Management Skills,46
47,Virtualization,47
48,systemsDemonstrate,48
49,Linux,49
50,Pipelines ,50
51,Cloud Computing,51
52,Incident Management,52
53,Continuous Integration,53
54,AWSStrong interpersonal,54
55,Communications,55
56,Agile/,56
57,RubyHands,57
58,Vmware,58
59,Public cloud)Future,59
60,PrometheusStrong,60
61,ELK,61
62,R1984879,62
63,Ansible)--------------------------------------------------------------------------------------------EA License,63
64,Grafana,64
65,Infrastructure Cloud,65
66,SCRUM,66
67,Engineering,67
68,Javascript,68
69,KANBAN,69
70,Bash Scripting,70
71,Defined Network,71
72,Ruby,72
73,Bash/Shell/PowerShell ,73
74,Code,74
75,Isha Kohli,75
76,KubernetesStrong,76
77,Gcp,77
78,Computer Science,78
79,Bash,79
80,Infrastructure,80
81,Agile,81
82,Diploma,82
83,Selenium Webdriver,83
84,Software Engineer33,84
85,Bitbucket Pipeline,85
86,Bamboo,86
87,API,87
88,digital,88
89,13C6298,89
90,Jenkins,90
91,APAC,91
92,CI,92
93,Mocha,93
94,Jacoco,94
95,Prerna Agarwal,95
96,Google Cloud)Experience,96
97,TestNG,97
98,TeamCity,98
99,Software Development ,99
100,RestAssured,100
101,RequirementsStrong,101
102,JUnit,102
103,Selenium,103
104,Github Actions,104
105,UI,105
106,Pytest,106
107,Istanbul,107
108,Nexus,108
109,Sdlc,109
110,application servers,110
111,WebdriverIO,111
112,Chai,112
113,Automation Testing,113
114,Api Testing,114
115,Test Automation,115
116,Webdriver,116
117,Java,117
118,QA,118
119,Coverage,119
120,Artifactory,120
121,Rachel Lee R1873481EA License Number,121
122,Manual Testing,122
123,Containers,123
124,J2EE,124
125,Server,125
126,Performance Tuning,126
127,govern,127
128,Architect,128
129,Software Development,129
130,Service,130
131,Technical Project Delivery ,131
132,Sql,132
133,ICT assetsImplement,133
134,Mentoring,134
135,Business Requirements,135
136,Web Services,136
137,Architectural,137
138,Technical Support,138
139,React,139
140,smells,140
141,MQ,141
142,Owner,142
143,Bachelor,143
144,Banking,144
145,Gemfire,145
146,Data Analysis,146
147,Good Communication Skills,147
148,management,148
149,Leadership,149
150,retrospective,150
151,DESCRIPTION,151
152,Root Cause Analysis,152
153,Maven,153
154,self-,154
155,Payment Platforms,155
156,Morgan,156
157,RFP,157
158,Team Work,158
159,Audit ,159
160,Engaging with stakeholders,160
161,Communication Skills,161
162,sprint,162
163,Kafka,163
164,vulnerabilities,164
165,Agile Methodology,165
166,Approval Process,166
167,bank,167
168,cultural diversity,168
169,ApplicationsExperience,169
170,cross border,170
171,Detail,171
172,URL,172
173,Vue,173
174,Application Development,174
175,SRE,175
176,Achieving Results,176
177,Web Applications,177
178,Github,178
179,DLT,179
180,Lim Hong,180
181,Contour,181
182,XP,182
183,IMDA,183
184,Data EngineersLearn,184
185,Design Patterns,185
186,ThoughtworksRequirements,186
187,Machine,187
188,Data Guild,188
189,Extreme Programming,189
190,Software Developer,190
191,Big Data,191
192,Scala,192
193,Agile Methodologies,193
194,Test-,194
195,Thoughtworks Data,195
196,NoSQL,196
197,Object Oriented Design,197
198,CLT,198
199,SOLID,199
200,Databases ,200
201,Data Engineering,201
202,Software Infrastructure,202
203,Machine Learning,203
204,Procurement,204
205,Finance Operations,205
206,USA,206
207,Inc,207
208,the United States,208
209,Singapore,209
210,The Straits,210
211,MSD,211
212,Facilities,212
213,Business,213
214,Security,214
215,grow,215
216,Service Delivery,216
217,AP,217
218,HR,218
219,Statista,219
220,FinOps,220
221,Merck &,221
222,today,222
223,Amazon,223
224,Information Systems,224
225,Platform,225
226,Finance,226
227,Legal,227
228,PaaS,228
229,Canada,229
230,Best Employers,230
231,scripts,231
232,Administration,232
233,Asia Pacific,233
234,Technical DocumentationStrong,234
235,Vaccines ,235
236,The Cloud,236
237,2020,237
238,New Jersey,238
239,2021,239
240,Amazon Web Services,240
241,Cloud Service,241
242,Kenilworth,242
243,Problem Solving,243
244,PayPal,244
245,We're,245
246,Android,246
247,bootstrap,247
248,AngularJS,248
249,HTML,249
250,ReactJS,250
251,MS SQL,251
252,Web Development,252
253,HTML5,253
254,IOS,254
255,Pressure,255
256,Specifications,256
257,NodeJS,257
258,CSS,258
259,Web Developer,259
260,Twitter,260
261,AJAX,261
262,facebook ,262
263,Photoshop,263
264,Azure Cloud,264
265,RESTFUL,265
266,3rd party,266
267,MySQL,267
268,UX,268
269,Switches,269
270,Ccnp,270
271,Computer Engineering,271
272,Network Design,272
273,The Lead/,273
274,Firmware,274
275,Work Well Under Pressure,275
276,DHCP,276
277,CISCO ACI,277
278,CCNA,278
279,Scheduling ,279
280,networksInstalling,280
281,Wan,281
282,Firewalls,282
283,proxy servers,283
284,Troubleshooting,284
285,Routers,285
286,Teamwork,286
287,Multitasking Skills,287
288,facilitate cross,288
289,ExactTarget,289
290,Salesforce Marketing,290
291,Team Player ,291
292,deliverability,292
293,ESPsHTML,293
294,Consumer Analytics,294
295,Email Service,295
296,Hubspot,296
297,Architecture Design,297
298,Project Management,298
299,SFMC,299
300,CheetahMail,300
301,Selligent,301
302,Loyalty Program,302
303,lifecycle management,303
304,Compliance,304
305,Braze,305
306,Virtualisation,306
307,Producing,307
308,Saas,308
309,Segmentation,309
310,CAN,310
311,Adobe,311
312,Erp,312
313,Dotdigital,313
314,Marketo,314
315,dynamic content,315
316,ROIRequirementsBachelor,316
317,ROIDevelop,317
318,CRM,318
319,Strategy,319
320,KPI,320
321,Chinese,321
322,Routing,322
323,Penetration Testing,323
324,switching,324
325,firewall,325
326,AWS Cloud,326
327,IT policies ,327
328,Network Security,328
329,Cybersecurity Framework Application,329
330,Hardware,330
331,Network Architecture,331
332,Vulnerability Assessment,332
333,Risk Management,333
334,MAS,334
335,It Governance,335
336,Stakeholder Management,336
337,Transmission ,337
338,presentation,338
339,Openstack,339
340,Project Managers,340
341,Delivery,341
342,creating &,342
343,Time Management,343
344,architects,344
345,Sales,345
346,Technical Managers,346
347,Wi-,347
348,&RFP,348
349,DWDM,349
350,RHEL,350
351,Excel,351
352,planning,352
353,ASON,353
354,RFI,354
355,IP White,355
356,Audit and Compliance,356
357,frameworks,357
358,Outsourcing,358
359,Anti-,359
360,Laptops,360
361,Active Directory,361
362,Centres,362
363,Cyber Security,363
364,Desktop &,364
365,Degree,365
366,Statistics ,366
367,Etl,367
368,Customer Acquisition,368
369,Business Intelligence,369
370,Data Science,370
371,Data Architecture,371
372,Apache Airflow,372
373,Apache,373
374,AI,374
375,ML,375
376,Modeling,376
377,Keras,377
378,Artificial Intelligence,378
379,Hadoop,379
380,Design Thinking,380
381,Data Mining,381
382,pub,382
383,Resync DB,383
384,IoT,384
385,Tensorflow,385
386,Data Analytics,386
387,Cloud,387
388,Junit tests,388
389,Mavericks,389
390,ResponsibilitiesChampioning,390
391,Tdd,391
392,personal development ,392
393,Oop Concepts,393
394,Lean,394
395,Test Driven,395
396,Training,396
397,Career Progression,397
398,Maverick1,398
399,Continuous,399
400,Application Architecture,400
401,Requirement Gathering,401
402,Automation Tools,402
403,bonuses)Medical,403
404,Smart,404
405,OOP,405
