Source,Target,Type,Weight
15725,1,undirected,1
15725,2,undirected,1
15725,3,undirected,1
15725,4,undirected,1
15725,5,undirected,1
15725,6,undirected,1
15725,7,undirected,1
15725,8,undirected,1
15725,9,undirected,1
15725,10,undirected,1
15725,11,undirected,1
15725,12,undirected,1
15725,13,undirected,1
15725,14,undirected,1
15725,15,undirected,1
15725,16,undirected,1
15725,17,undirected,1
15725,18,undirected,1
15725,19,undirected,1
15725,20,undirected,1
15725,21,undirected,1
15725,22,undirected,1
15725,23,undirected,1
15725,24,undirected,1
15725,25,undirected,1
15725,26,undirected,1
15725,27,undirected,1
15725,28,undirected,1
15725,29,undirected,1
15725,30,undirected,1
15725,31,undirected,1
15725,32,undirected,1
15725,33,undirected,1
15725,34,undirected,1
15725,35,undirected,1
15725,33,undirected,1
15725,36,undirected,1
15725,37,undirected,1
15725,38,undirected,1
15725,39,undirected,1
15725,40,undirected,1
15725,41,undirected,1
15725,42,undirected,1
15725,43,undirected,1
15725,44,undirected,1
15725,45,undirected,1
15725,46,undirected,1
15725,47,undirected,1
15725,48,undirected,1
15725,49,undirected,1
15725,50,undirected,1
15725,51,undirected,1
15725,52,undirected,1
15725,53,undirected,1
15725,54,undirected,1
15725,55,undirected,1
15725,56,undirected,1
15725,57,undirected,1
15725,58,undirected,1
15725,59,undirected,1
15725,60,undirected,1
15725,61,undirected,1
15725,62,undirected,1
15725,63,undirected,1
15725,64,undirected,1
15725,65,undirected,1
15725,66,undirected,1
15725,67,undirected,1
15725,68,undirected,1
15726,69,undirected,1
15726,70,undirected,1
15726,71,undirected,1
15726,72,undirected,1
15726,73,undirected,1
15726,74,undirected,1
15726,26,undirected,1
15726,75,undirected,1
15726,76,undirected,1
15726,77,undirected,1
15726,78,undirected,1
15726,79,undirected,1
15726,80,undirected,1
15726,81,undirected,1
15726,82,undirected,1
15726,83,undirected,1
15726,84,undirected,1
15726,85,undirected,1
15726,86,undirected,1
15726,87,undirected,1
15726,88,undirected,1
15726,89,undirected,1
15726,90,undirected,1
15726,91,undirected,1
15726,92,undirected,1
15726,56,undirected,1
15726,93,undirected,1
15726,94,undirected,1
15726,95,undirected,1
15726,96,undirected,1
15727,97,undirected,1
15727,98,undirected,1
15727,3,undirected,1
15727,99,undirected,1
15727,100,undirected,1
15727,101,undirected,1
15727,102,undirected,1
15727,103,undirected,1
15727,104,undirected,1
15727,11,undirected,1
15727,105,undirected,1
15727,106,undirected,1
15727,107,undirected,1
15727,19,undirected,1
15727,108,undirected,1
15727,20,undirected,1
15727,109,undirected,1
15727,21,undirected,1
15727,110,undirected,1
15727,111,undirected,1
15727,112,undirected,1
15727,113,undirected,1
15727,114,undirected,1
15727,115,undirected,1
15727,116,undirected,1
15727,117,undirected,1
15727,118,undirected,1
15727,119,undirected,1
15727,120,undirected,1
15727,121,undirected,1
15727,122,undirected,1
15727,123,undirected,1
15727,124,undirected,1
15727,125,undirected,1
15727,126,undirected,1
15727,127,undirected,1
15727,128,undirected,1
15727,40,undirected,1
15727,129,undirected,1
15727,130,undirected,1
15727,41,undirected,1
15727,131,undirected,1
15727,132,undirected,1
15727,133,undirected,1
15727,134,undirected,1
15727,41,undirected,1
15727,135,undirected,1
15727,90,undirected,1
15727,136,undirected,1
15727,137,undirected,1
15727,138,undirected,1
15727,139,undirected,1
15727,56,undirected,1
15727,57,undirected,1
15727,140,undirected,1
15727,141,undirected,1
15727,60,undirected,1
15727,142,undirected,1
15727,143,undirected,1
15727,144,undirected,1
15727,145,undirected,1
15727,146,undirected,1
15727,147,undirected,1
15727,148,undirected,1
15727,64,undirected,1
15727,149,undirected,1
15727,150,undirected,1
15727,148,undirected,1
15727,151,undirected,1
15727,152,undirected,1
15727,153,undirected,1
15727,154,undirected,1
15728,5,undirected,1
15728,155,undirected,1
15728,156,undirected,1
15728,104,undirected,1
15728,157,undirected,1
15728,158,undirected,1
15728,159,undirected,1
15728,160,undirected,1
15728,161,undirected,1
15728,19,undirected,1
15728,64,undirected,1
15728,162,undirected,1
15728,163,undirected,1
15728,164,undirected,1
15728,33,undirected,1
15728,165,undirected,1
15728,52,undirected,1
15728,166,undirected,1
15728,167,undirected,1
15728,168,undirected,1
15728,169,undirected,1
15728,49,undirected,1
15728,170,undirected,1
15728,171,undirected,1
15728,172,undirected,1
15728,173,undirected,1
15728,174,undirected,1
15728,175,undirected,1
15728,176,undirected,1
15728,177,undirected,1
15728,178,undirected,1
15728,179,undirected,1
15728,56,undirected,1
15728,180,undirected,1
15728,57,undirected,1
15728,181,undirected,1
15728,60,undirected,1
15728,182,undirected,1
15728,183,undirected,1
15728,184,undirected,1
15728,185,undirected,1
15728,186,undirected,1
15728,153,undirected,1
15728,187,undirected,1
15729,188,undirected,1
15729,189,undirected,1
15729,190,undirected,1
15729,191,undirected,1
15729,192,undirected,1
15729,193,undirected,1
15729,194,undirected,1
15729,187,undirected,1
15729,195,undirected,1
15729,196,undirected,1
15729,197,undirected,1
15729,198,undirected,1
15729,199,undirected,1
15729,200,undirected,1
15729,201,undirected,1
15729,202,undirected,1
15729,203,undirected,1
15729,193,undirected,1
15729,204,undirected,1
15729,205,undirected,1
15729,206,undirected,1
15729,207,undirected,1
15729,208,undirected,1
15729,201,undirected,1
15729,209,undirected,1
15729,210,undirected,1
15729,211,undirected,1
15729,212,undirected,1
15729,137,undirected,1
15729,213,undirected,1
15729,56,undirected,1
15729,57,undirected,1
15729,214,undirected,1
15729,215,undirected,1
15729,64,undirected,1
15729,216,undirected,1
15729,217,undirected,1
15730,218,undirected,1
15730,71,undirected,1
15730,219,undirected,1
15730,21,undirected,1
15730,220,undirected,1
15730,113,undirected,1
15730,221,undirected,1
15730,222,undirected,1
15730,31,undirected,1
15730,223,undirected,1
15730,35,undirected,1
15730,36,undirected,1
15730,52,undirected,1
15730,224,undirected,1
15730,225,undirected,1
15730,220,undirected,1
15730,226,undirected,1
15730,227,undirected,1
15730,228,undirected,1
15730,229,undirected,1
15730,50,undirected,1
15730,52,undirected,1
15730,230,undirected,1
15730,20,undirected,1
15730,178,undirected,1
15730,231,undirected,1
15730,56,undirected,1
15730,57,undirected,1
15730,232,undirected,1
15730,233,undirected,1
15730,234,undirected,1
15730,235,undirected,1
15730,236,undirected,1
15730,237,undirected,1
15730,238,undirected,1
15730,239,undirected,1
15730,240,undirected,1
15730,241,undirected,1
15731,242,undirected,1
15731,243,undirected,1
15731,244,undirected,1
15731,245,undirected,1
15731,71,undirected,1
15731,246,undirected,1
15731,247,undirected,1
15731,248,undirected,1
15731,27,undirected,1
15731,249,undirected,1
15731,250,undirected,1
15731,251,undirected,1
15731,252,undirected,1
15731,253,undirected,1
15731,254,undirected,1
15731,33,undirected,1
15731,127,undirected,1
15731,255,undirected,1
15731,256,undirected,1
15731,257,undirected,1
15731,258,undirected,1
15731,259,undirected,1
15731,260,undirected,1
15731,49,undirected,1
15731,63,undirected,1
15731,261,undirected,1
15731,262,undirected,1
15731,257,undirected,1
15731,213,undirected,1
15731,56,undirected,1
15731,57,undirected,1
15731,251,undirected,1
15731,263,undirected,1
15731,264,undirected,1
15731,265,undirected,1
15731,266,undirected,1
15731,267,undirected,1
15731,180,undirected,1
15731,268,undirected,1
15732,269,undirected,1
15732,270,undirected,1
15732,10,undirected,1
15732,104,undirected,1
15732,271,undirected,1
15732,272,undirected,1
15732,273,undirected,1
15732,71,undirected,1
15732,274,undirected,1
15732,275,undirected,1
15732,276,undirected,1
15732,277,undirected,1
15732,19,undirected,1
15732,278,undirected,1
15732,279,undirected,1
15732,280,undirected,1
15732,281,undirected,1
15732,282,undirected,1
15732,283,undirected,1
15732,284,undirected,1
15732,285,undirected,1
15732,286,undirected,1
15732,287,undirected,1
15732,127,undirected,1
15732,288,undirected,1
15732,289,undirected,1
15732,275,undirected,1
15732,290,undirected,1
15732,291,undirected,1
15732,178,undirected,1
15732,292,undirected,1
15732,293,undirected,1
15732,294,undirected,1
15732,295,undirected,1
15732,57,undirected,1
15732,296,undirected,1
15732,56,undirected,1
15732,297,undirected,1
15732,60,undirected,1
15732,298,undirected,1
15732,235,undirected,1
15732,299,undirected,1
15732,300,undirected,1
15732,301,undirected,1
15732,302,undirected,1
15733,97,undirected,1
15733,303,undirected,1
15733,304,undirected,1
15733,305,undirected,1
15733,306,undirected,1
15733,307,undirected,1
15733,308,undirected,1
15733,309,undirected,1
15733,280,undirected,1
15733,310,undirected,1
15733,311,undirected,1
15733,81,undirected,1
15733,312,undirected,1
15733,313,undirected,1
15733,314,undirected,1
15733,315,undirected,1
15733,316,undirected,1
15733,317,undirected,1
15733,318,undirected,1
15733,319,undirected,1
15733,320,undirected,1
15733,321,undirected,1
15733,322,undirected,1
15733,86,undirected,1
15733,323,undirected,1
15733,324,undirected,1
15733,325,undirected,1
15733,326,undirected,1
15733,326,undirected,1
15733,327,undirected,1
15733,328,undirected,1
15733,329,undirected,1
15733,56,undirected,1
15733,330,undirected,1
15733,57,undirected,1
15733,331,undirected,1
15733,332,undirected,1
15733,333,undirected,1
15733,334,undirected,1
15733,335,undirected,1
15733,336,undirected,1
15733,337,undirected,1
15733,338,undirected,1
15733,339,undirected,1
15733,185,undirected,1
15733,340,undirected,1
2800,270,undirected,1
2800,341,undirected,1
2800,342,undirected,1
2800,343,undirected,1
2800,344,undirected,1
2800,345,undirected,1
2800,273,undirected,1
2800,71,undirected,1
2800,346,undirected,1
2800,274,undirected,1
2800,275,undirected,1
2800,195,undirected,1
2800,19,undirected,1
2800,347,undirected,1
2800,348,undirected,1
2800,21,undirected,1
2800,113,undirected,1
2800,349,undirected,1
2800,171,undirected,1
2800,350,undirected,1
2800,351,undirected,1
2800,352,undirected,1
2800,353,undirected,1
2800,354,undirected,1
2800,355,undirected,1
2800,356,undirected,1
2800,357,undirected,1
2800,343,undirected,1
2800,358,undirected,1
2800,359,undirected,1
2800,360,undirected,1
2800,326,undirected,1
2800,136,undirected,1
2800,92,undirected,1
2800,92,undirected,1
2800,293,undirected,1
2800,56,undirected,1
2800,296,undirected,1
2800,57,undirected,1
2800,361,undirected,1
2800,237,undirected,1
2800,145,undirected,1
2800,362,undirected,1
2800,363,undirected,1
2800,364,undirected,1
2800,365,undirected,1
2800,366,undirected,1
2800,367,undirected,1
15734,368,undirected,1
15734,369,undirected,1
15734,370,undirected,1
15734,371,undirected,1
15734,372,undirected,1
15734,373,undirected,1
15734,374,undirected,1
15734,375,undirected,1
15734,376,undirected,1
15734,377,undirected,1
15734,378,undirected,1
15734,379,undirected,1
15734,371,undirected,1
15734,279,undirected,1
15734,380,undirected,1
15734,381,undirected,1
15734,382,undirected,1
15734,26,undirected,1
15734,27,undirected,1
15734,383,undirected,1
15734,81,undirected,1
15734,384,undirected,1
15734,385,undirected,1
15734,75,undirected,1
15734,311,undirected,1
15734,386,undirected,1
15734,387,undirected,1
15734,388,undirected,1
15734,389,undirected,1
15734,356,undirected,1
15734,83,undirected,1
15734,320,undirected,1
15734,390,undirected,1
15734,391,undirected,1
15734,392,undirected,1
15734,393,undirected,1
15734,394,undirected,1
15734,395,undirected,1
15734,356,undirected,1
15734,262,undirected,1
15734,56,undirected,1
15734,396,undirected,1
15734,397,undirected,1
15734,398,undirected,1
15734,399,undirected,1
15734,400,undirected,1
15734,401,undirected,1
15734,402,undirected,1
15734,403,undirected,1
15735,404,undirected,1
15735,405,undirected,1
15735,400,undirected,1
15735,406,undirected,1
15735,407,undirected,1
15735,408,undirected,1
15735,409,undirected,1
