Id,Name,Type
1,Queue,Skills
2,Containers,Skills
3,Azure,Skills
4,RFPs,Skills
5,Microsoft ELA,Skills
6,Load Balencers,Skills
7,on,Skills
8,privacy,Skills
9,SSL,Skills
10,NET,Skills
11,AlwaysOn,Skills
12,API's,Skills
13,Queuing,Skills
14,security,Skills
15,Identity,Skills
16,Amazon Web,Skills
17,Clustering,Skills
18,Microsoft Technology,Skills
19,Active Directory,Skills
20,authentication,Skills
21,Micro-,Skills
22,Web,Skills
23,Data Center,Skills
24,Microsoft Platform,Skills
25,GCP,Skills
26,AWS,Skills
27,Stack,Skills
28,Caching,Skills
29,Microsoft,Skills
30,HA,Skills
31,membersRequirements,Skills
32,JSONExperience,Skills
33,Jenkins,Skills
34,HTML5,Skills
35,CI,Skills
36,debug,Skills
37,Performance Tuning,Skills
38,Sonar,Skills
39,Continuous,Skills
40,Angular,Skills
41,CSS,Skills
42,Javascript,Skills
43,Written Communication,Skills
44,Team City,Skills
45,Web Application,Skills
46,React JS,Skills
47,Agile FrameworkLINUX,Skills
48,Verbal,Skills
49,UI,Skills
50,Angular JS,Skills
51,Json,Skills
52,Linux,Skills
53,Windows Operating Systems,Skills
54,Cloud Computing,Skills
55,Elaborate Projection,Skills
56,Software Engineering,Skills
57,AzureKnowledge,Skills
58,Continuous Integration,Skills
59,Release notes)Troubleshoot,Skills
60,Windows,Skills
61,Architecture Design ,Skills
62,Agile,Skills
63,Diploma,Skills
64,Interpersonal Skills,Skills
65,capabilities,Skills
66,Amazon Aws,Skills
67,Enterprise Architecture,Skills
68,Sql Azure,Skills
69,Architecture,Skills
70,views,Skills
71,MS SQL,Skills
72,Oracle,Skills
73,governance,Skills
74,Documentum,Skills
75,Etl,Skills
76,ResponsibilitiesLead,Skills
77,stakeholders,Skills
78,platforms,Skills
79,Big Data,Skills
80,Architect,Skills
81,SQL Server,Skills
82,07C3676,Skills
83,data governance,Skills
84,resource intensive,Skills
85,metadata ,Skills
86,guidelinesFollow,Skills
87,Google Cloud,Skills
88,Sql,Skills
89,Data Modeling,Skills
90,SAP,Skills
91,Scalability,Skills
92,auditability,Skills
93,MS Word,Skills
94,MySQL,Skills
95,metadata,Skills
96,AVEVA,Skills
97,Google Cloud Platform,Skills
98,Personnel,Skills
99,IaC,Skills
100,Scripting,Skills
101,Docker,Skills
102,Ansible,Skills
103,Computer Engineering,Skills
104,Network Design,Skills
105,Networking,Skills
106,Terraform,Skills
107,Singapore,Skills
108,S10,Skills
109,Fortune Magazine,Skills
110,Python,Skills
111,Azure Certified,Skills
112,race,Skills
113,APAC,Skills
114,Amazon Cloud,Skills
115,IBM Cloud or Watson,Skills
116,Analytical Skills,Skills
117,NTT Group,Skills
118,Business Process ,Skills
119,CloudFormation,Skills
120,cloud management,Skills
121,NTT,Skills
122,Information Systems,Skills
123,Degree/,Skills
124,Chef,Skills
125,Computer Science,Skills
126,Bash,Skills
127,Administration,Skills
128,Cloud solutions,Skills
129,Troubleshooting,Skills
130,NTT DATA,Skills
131,Kubernetes,Skills
132,Team Player,Skills
133,Puppet,Skills
134,Azure Virtual,Skills
135,Azure Administrator,Skills
136,gender identity,Skills
137,Pipelines,Skills
138,TCP,Skills
139,Vmware,Skills
140,Google Computing,Skills
141,preferredManagement,Skills
142,phone,Skills
143,Public Cloud,Skills
144,Windows &,Skills
145,Redhat,Skills
146,GitHub,Skills
147,Gitlab,Skills
148,Managed Services,Skills
149,Squared Capital,Skills
150,Hardware,Skills
151,ISQ,Skills
152,Unix,Skills
153,Qualifications,Skills
154,Amazon,Skills
155,switches,Skills
156,NFS,Skills
157,PowerShell,Skills
158,Ubuntu,Skills
159,Firewalls,Skills
160,Virtualization,Skills
161,Xen,Skills
162,IP,Skills
163,DNS)Familiarity,Skills
164,Administration ,Skills
165,CK,Skills
166,Windows Server,Skills
167,Amazon Web Services,Skills
168,Storage Systems,Skills
169,DevSecOps,Skills
170,Cloud Native,Skills
171,IaaS Architecture,Skills
172,AZ103,Skills
173,Node,Skills
174,Cloud Computing Integration,Skills
175,adobe creative cloud,Skills
176,Blog Posts,Skills
177,CD,Skills
178,Application Architecture,Skills
179,solutionsUnderstand enterprise,Skills
180,Agile Scrum,Skills
181,JS,Skills
182,service bus,Skills
183,Cloud Computing Iaas,Skills
