job_title,company,salary,job_type,years_experience,tech_stack,job_description,industry,function,roles,date_posted,url
Senior Python Developer,Citi,,permanent,,,"Job Description :

Job Purpose:
We are looking for a Skilled Python Developer who can design and build best-in-class data driven applications for front office teams across the global markets business. You will work closely with product owners, project managers, developers, data scientists and other team members to deliver solutions through new and existing channels. You will need to be confident to work with senior business stakeholders to understand their requirements and to ideate and drive the development of innovative technology solutions in a timely manner.

Job Background/context:
We believe the future is here with us! Home to where we define, ideate, develop and distribute production-ready financial solutions of far-reaching impact. And right now, the door is open to help develop the future of our technology for a truly global client base. This means collaborating with the keenest minds in data science, big data, software engineering, web development, UX design and more. Doers looking to bring the next bold ideas to life for a fascinating array of clients - investing, trading and transacting at the forefront of change in markets and economies the world over.
If you have this kind of vision, are capable of seeing ahead, of developing a clear path forward in a quest to try the as yet untried, here is the opportunity. In return we offer a supported, resource-rich, vibrant co-working environment, part of an ecosystem of globally interconnected labs, realizing a broader mission of enabling growth and economic progress on a scale you won't find anywhere else. Welcome to APAC Cross Markets Analytics & Digitization (CMAD)!

Required Skills and Experience:
This role is for an Experienced Python Developer requiring a variety of strengths and capabilities, including:
Needed: Deep and broad experience in application development (Python) and technical architecture. You should proactively look to develop and implement data driven and business centric products based on best practice. You should be continually looking for process improvement.
Needed: Strong Python coding skills with some experience in data science projects. An interest in data science and machine learning.
Needed: At least four years experience working in a team environment where there is a need to deliver impactful, high quality and robust business solutions in short periods of time. You should be able to confidently work alone to find your own solutions to problems but be able to support team members on short notice when needed.
Needed: Excellent communication skills. You should be confident to work with traders and salespeople to understand their business needs and to turn those needs into data driven solutions. You should be willing to provide support for the solutions that you have developed.
Needed: A passion to work in a global markets business. You may have no finance experience, but you should have an interest in finance and a passion to be part of a high paced environment of global markets.
Great to Have: Some experiences with Big Data technologies and Cloud Computing including AWS or Google Cloud Platform. An interest in driving the CMAD cloud strategy going forward.
Great to Have: Experience of optimizing data infrastructure with hands on experience of SQL and Oracle and ideally other database technologies including MongoDB and PostgreSQL. Experience with cloud native tools.
Great to Have: Experiences with BI tools like Tableau and how to achieve data optimization for Tableau Dashboards.
Good to Have: Experience with Dev ops/ CI/ CD tools & process (some of GIT/Bitbucket, Maven, Ant, Jenkins, Sonar), Testing tools & frameworks (some of Jasmin/Karma, JUnit, Selenium, Cucumber, Mockito).
Good to Have: Agile Methodology and Tools (JIRA) Experience with MicroServices & Event Architecture is big plus Experience with Integration patterns and messaging technologies (JMS, Mule, Kafka, RabbitMQ) Experience with Caching solutions such as Hazlecast, Gemfire, EHCache. Experience with Cloud Platforms, Container/Orchestration (Docker, Kubernetes, Cloud Foundry)
Good to Have: Experience with Java eco-system and associated tooling (Core & EE, Spring Boot, Spring MVC, Spring Cloud), UI/UX (React JS, Angular or equivalent), Web Technologies (JavaScript, HTML 5, CSS, JSON, REST, SOAP).

-------------------------------------------------
Job Family Group: Technology
-------------------------------------------------
Job Family:Applications Development
------------------------------------------------------
Time Type:Full time
------------------------------------------------------
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .
View the poster. View the .
View the .
View the",['Banking/Accounting/Financial Services'],['IT'],['Software Engineer/Programmer'],2022-02-18,https://www.monster.com.sg/seeker/job-details?id=5405048&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Partner Solutions Architect (Microsoft),Amazon,,permanent,,,"Job Description :
Job summary
DESCRIPTION
Do you like helping customers implement innovative cloud computing solutions and solve technical problems based on Microsoft Technology Stack Would you like to do this using the latest cloud computing technologies Do you have a knack for helping groups understand application architectures and integration approaches Do you have the consultative and leadership skills to help customers succeed with their cloud efforts
Amazon Web Services is looking for a Solutions Architect to help customers accelerate their adoption of the Microsoft workloads on AWS. This is an excellent opportunity to help customers understand best practices for Microsoft technologies on AWS, migrate their existing workloads, and advise them on building resilient cloud architectures. You'll also work with the AWS Service Teams to help continuously improve the Microsoft Platform on AWS. Your broad responsibilities will include: owning the technical engagement and ultimate success around specific implementation projects defining implementation architectures, responding to RFPs, developing a deep expertise in the AWS technologies as well as broad know-how around how applications and services are constructed using the AWS platform and being a subject matter expert on Microsoft technology Stack as it relates to customer end-to-end solutions and services. In addition, you will engage with other solutions architects, partner and professional services organizations do drive large and highly complex sales opportunities to closure.

Amazon Web Services (AWS) is looking for a Solutions Architect to help our customers build solutions using Microsoft development tools and technologies. This is a highly technical position for someone who can dive deep, build cloud-optimized architectures and help to develop a strategy with AWS business development teams. In this role this person will help customers with best practices for developing .NET and/or C# applications on AWS. You will get the opportunity to work directly with senior engineers and AWS service teams, help influencing their roadmaps and driving innovation.

Candidates should have a broad and deep set of skills that can be leveraged. A background in software development and previous Cloud experience on either AWS, GCP or Azure is required. Strong public speaking and writing skills are required. In this role, candidates will also have the opportunity to write white papers, deliver technical webinars, and speak at events.
Basic Qualifications :
BASIC QUALIFICATIONS
An ideal candidate will have deep expertise in the required areas and at least one other areas.
. Enterprise Architecture or complex solution architecture - Required
. Public Cloud Experience (Azure/GCP/AWS) - Required
. Windows Server & Virtualization
. Lead role in Data Center transformation / modernization and migration with Microsoft workloads - Required
. MS SQL Server Architecture ( HA/Clustering, such as AlwaysOn)
. Identity, authentication, security, privacy, and compliance including Active Directory.
. Modern Application Architecture (Queue's, Micro-Services, Containers etc)
. High level English and local language skill

Preferred Qualifications :
PREFERRED QUALIFICATIONS
A preferred candidate will have deep expertise in at least one area
. .Net Development Skills
. Customer facing experience
. Public speaking at events
. Distributed Application Architecture (Load Balencers, SSL, Containers, Queuing technology, Caching, Web Service API's)
. Cloud and hybrid infrastructures with hybrid architecture designs
. Experience in Microsoft ELA and licensing structure
. TCO and workload optimisation
. Creating and developing unique content
. Working in a fast moving sales environment",['Internet/E-commerce'],['IT'],['Software Engineer/Programmer'],2022-02-18,https://www.monster.com.sg/seeker/job-details?id=5404375&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
IT Technician,Ascend Com Pte. Ltd.,"['24000', '36000']",permanent,"['2', '5']","['Switches', 'Mac', 'Windows 10', 'Cloud Computing', 'Windows 7', 'Computer Hardware', 'Wireless', 'Networking', 'Operating Systems', 'Routers', 'Software Installation', 'Wan', 'Technical Support', 'Troubleshooting', 'Predictive Maintenance', 'rollout ']","Responsibilities:
Provide helpdesk support for internal office users.
IT Troubleshooting & Problem Solving
Onsite & Remote Technical Support
Up-to-date knowledge of computer operating systems
LAN & WAN Connectivity & Maintenance
Computer Hardware Systems & Components, IOT equipment (Digital Signage system)
Network, Office PC & Server Admin.
Rollout IT and Network equipment for conference and exhibition.
Requirements:
Candidate must possess at least a Diploma in an IT or related discipline
At least 1 to 2 Year(s) of relevant working experience.
Able to communicate with all levels.
Good knowledge in User Computers Adminstration on Windows 7, Windows 10, Mac Operation System, Microsoft Server 2012 Operating (1st & 2nd Level) and software installation.
Knowledge of LAN, WAN & Cloud Computing.
Basic Networking knowledge for enterprise Routers, Switches, Firewall & Wireless Equipment.
TCPIP knowledge is a must.",['Other'],['IT'],['Other Software/Hardware/EDP'],2022-02-19,https://www.monster.com.sg/seeker/job-details?id=4952654&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineer,Applied Materials South East Asia Pte. Ltd.,"['42000', '84000']",permanent,"['2', '5']","['Scalability', 'Cloud Computing', 'Google Cloud Platform', 'Technical Sales', 'test equipment', 'Leadership', 'Hardware', 'Interpersonal Skills', 'Knowledge Management', 'Problem Solving', 'Reliability', 'Strategy', 'Compliance', 'Ip', 'Customer Management', 'Customer Satisfaction ']","Key Responsibilities
Performs all standard service activities through Tier I unassisted. Performs standard Tier II with assistance. Able to perform routine preventative maintenance within established timeframes. Completes quality repairs.
Responds to fab issues by communicating with other engineers and participating in escalation conference calls. May participate in projects to reduce costs and increase uptime.
Verifies operational quality of system equipment. Assists senior engineers as needed.
Applies diagnostic techniques and use of documentation and test equipment with assistance from senior engineers. Ability to diagnose and resolve technical problems. Uses training and experience to identify some process, software or hardware related system problems.
Strives to perform BKM's. Uses knowledge management systems. Follows all IP guidelines.
Assumes responsibility for complete customer satisfaction within work area. Assists in planning, communicating, and coordinating support plans with customer management.
Complies with all safety procedures and consistently demonstrates safety as a value.
Complies with all safety procedures and consistently demonstrates safety as a value.
Functional Knowledge
Has established skills to perform a range of day-to-day activities
Business Expertise
Understands how the assigned duties relate to others in the team and how the team integrates with others in the discipline
Assumes responsibility for full customer satisfaction assuring excellent relations within assigned area
Leadership
Has no supervisory responsibilities; manages own workload
Problem Solving
Recognizes and solves typical problems that can occur in own work area without supervisory approval; evaluates and selects solutions from established options
Impact
Impacts own team through the quality of the services or information provided; follows standardized procedures and practices and receives regular but moderate supervision and guidance
Interpersonal Skills
Uses communication skills to exchange information",['Other'],['Manufacturing/Engineering/R&D'],['Other Production/Engineering/R&D'],2022-02-19,https://www.monster.com.sg/seeker/job-details?id=5542560&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineer,Applied Materials South East Asia Pte. Ltd.,"['46800', '93600']",permanent,"['2', '5']","['Scalability', 'Cloud Computing', 'Google Cloud Platform', 'Technical Sales', 'test equipment', 'Leadership', 'Hardware', 'Interpersonal Skills', 'Knowledge Management', 'Problem Solving', 'Reliability', 'Strategy', 'Compliance', 'Ip', 'Pressure', 'Customer Satisfaction ']","Has developed specialized skills or is multi-skilled developed through job-related training and considerable on-the-job experience. Completes work with a limited degree of supervision. Likely to act as an informal resource for colleagues with less experience.
Key Responsibilities
Is proficient on primary toolset and demonstrates ability to acquire additional systems and applications. Performs startup activities through Tier II with limited support. Able to complete qualifications with minimal assistance.
Completes quality repairs. Actively responds to fab issues by communicating with engineers in other locations and participating in escalation conference calls. May initiate or participate in projects to drive down costs or increase uptime. Ability to carry out action plans and report findings. Verifies operational quality of system equipment.
Follows all checklists and procedures and ensures correct Revs of procedures and schematics are available prior to performing work. May identify procedural issues.
Can perform most retrofits on equipment. Assists in process issues.
Applies diagnostic techniques and the use of documentation and test equipment with assistance from senior engineers.
Assumes responsibility for full customer satisfaction assuring excellent relations within assigned area. Demonstrates strong interest and knowledge of the customer's business. Builds and maintains customer satisfaction through clear, consistent communication and the sharing of collective knowledge. Is consistently able to operate in high pressure or ambiguous situations. Solicits customer feedback. Understands the impact of various actions/decisions on the account. Is aware of potential dissatisfies and escalates as appropriate. Develops and executes corrective action plans.
Performs BKM's. Actively engages in the use of knowledge management systems. Complies with all IP guidelines.
Complies with all safety procedures and consistently demonstrates safety as a value.
Functional Knowledge
Is skilled in a range of processes, procedures, systems and tool sets to carry out assigned tasks or has developed deep skills and knowledge of tools in a single area
Business Expertise
Uses knowledge of how the team integrates with others to accomplish the team objectives
Builds and maintains customer satisfaction through clear, consistent communication and the sharing of collective knowledge
Leadership
Provides informal guidance and support to more junior team members
Problem Solving
Provides solutions to problems in situations that are atypical or infrequently occurring based on practice and existing precedents or procedures
Impact
Impacts the quality, timeliness and effectiveness of the team; uses discretion to modify work practices and processes to achieve results or improve efficiency
Interpersonal Skills
Explains technical information within the team",['Other'],['Manufacturing/Engineering/R&D'],['Other Production/Engineering/R&D'],2022-02-19,https://www.monster.com.sg/seeker/job-details?id=5542560&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineer,Applied Materials South East Asia Pte. Ltd.,"['46800', '93600']",permanent,"['2', '5']","['Scalability', 'Cloud Computing', 'Google Cloud Platform', 'Technical Sales', 'test equipment', 'Leadership', 'Hardware', 'Interpersonal Skills', 'Knowledge Management', 'Problem Solving', 'Reliability', 'Strategy', 'Compliance', 'Ip', 'Pressure', 'Customer Satisfaction ']","Key Responsibilities
Is proficient on primary toolset and demonstrates ability to acquire additional systems and applications. Performs startup activities through Tier II with limited support. Able to complete qualifications with minimal assistance.
Completes quality repairs. Actively responds to fab issues by communicating with engineers in other locations and participating in escalation conference calls. May initiate or participate in projects to drive down costs or increase uptime. Ability to carry out action plans and report findings. Verifies operational quality of system equipment.
Follows all checklists and procedures and ensures correct Revs of procedures and schematics are available prior to performing work. May identify procedural issues.
Can perform most retrofits on equipment. Assists in process issues.
Applies diagnostic techniques and the use of documentation and test equipment with assistance from senior engineers.
Assumes responsibility for full customer satisfaction assuring excellent relations within assigned area. Demonstrates strong interest and knowledge of the customer's business. Builds and maintains customer satisfaction through clear, consistent communication and the sharing of collective knowledge. Is consistently able to operate in high pressure or ambiguous situations. Solicits customer feedback. Understands the impact of various actions/decisions on the account. Is aware of potential dissatisfies and escalates as appropriate. Develops and executes corrective action plans.
Performs BKM's. Actively engages in the use of knowledge management systems. Complies with all IP guidelines.
Complies with all safety procedures and consistently demonstrates safety as a value.
Functional Knowledge
Is skilled in a range of processes, procedures, systems and tool sets to carry out assigned tasks or has developed deep skills and knowledge of tools in a single area
Business Expertise
Uses knowledge of how the team integrates with others to accomplish the team objectives
Builds and maintains customer satisfaction through clear, consistent communication and the sharing of collective knowledge
Leadership
Provides informal guidance and support to more junior team members
Problem Solving
Provides solutions to problems in situations that are atypical or infrequently occurring based on practice and existing precedents or procedures
Impact
Impacts the quality, timeliness and effectiveness of the team; uses discretion to modify work practices and processes to achieve results or improve efficiency
Interpersonal Skills
Explains technical information within the team",['Other'],['Manufacturing/Engineering/R&D'],['Other Production/Engineering/R&D'],2022-02-19,https://www.monster.com.sg/seeker/job-details?id=5542560&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineering Manager,Applied Materials South East Asia Pte. Ltd.,"['78000', '156000']",permanent,"['2', '5']","['Cloud Computing', 'Google Cloud Platform', 'Software Engineering', 'Agile', 'Technical Sales', 'Account Planning', 'Customer Relationship', 'Leadership', 'announcements', 'Appraisals', 'Interpersonal Skills', 'Problem Solving', 'Reliability', 'Compliance', 'Project Management', 'Commissioning ']","Key Responsibilities
Develops and maintains customer relationship with all relevant individuals in his/her district at all times, at all levels. Performs regular customer visits.
Manages, coaches and directs all customer engineers in his/her district. Responsible for salary planning, career planning, corrective actions where necessary, establishes objectives and performance appraisals. Gives formal updates to all employees. Business, new hires, new products. Can invite any guest speaker.
Initiates reports necessary for the business. Be the prime interface with the Product Divisions: tech support, training, spares, reliability.
Monitors the CSD Award Program with quarterly results (election, announcements). Monitors the mentor program so that all new engineers have a defined mentor.
Executes escalation procedure.
Responsible for account planning with District Sales Engineer. Provides support plan for system sales to CSD Management, Sales, Field Engineering. Responsible for financial forecast for his/her district. Responsible for cost efficiency with the district. Measured by the financial result.
Responsible for system installation; planning, reporting and execution, pre-facility meeting, start-up meeting, process support identification.
Manages RMA procedure. Measurement of the engineers on their effectiveness. Manages accuracy, understanding and update of Customer Engineer hours tracking. Personal cross check and signature, measures customer engineers, takes corrective action with customer engineers.
Functional Knowledge
Works on issues where analysis of situation or data requires review of relevant factors
Business Expertise
Receives assignments in the form of objectives with goals and the process by which to meet goals. Recommends changes to unit or sub-unit policies. Management reviews work to measure meeting of objectives
Leadership
Provides direction to employees according to established policies and management guidance. Administers company policies that directly affect subordinate employees
Problem Solving
Exercises judgment within defined procedures and policies to determine appropriate action.
Impact
Erroneous decisions or failure to achieve results will cause delays in schedules.
Interpersonal Skills
Interaction normally requires the ability to gain cooperation of others, conducting presentations of technical information concerning specific projects or schedules.
Position requires understanding of Applied Materials global Standards of Business Conduct and compliance with these standards at all times. This includes demonstrating the highest level of ethical conduct reflecting Applied Materials core values.",['Other'],['Manufacturing/Engineering/R&D'],['Other Production/Engineering/R&D'],2022-02-19,https://www.monster.com.sg/seeker/job-details?id=5418775&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,"['48000', '66000']",permanent,"['2', '5']","['Puppet', 'Cloud Applications', 'Cloud Security', 'Cloud Computing', 'cloud management', 'Cloud Storage', 'OpenStack', 'Sdn', 'Cloud', 'Zabbix', 'Ansible', 'Troubleshooting', 'Cloud robotics', 'Cloud-based', 'Infrastructure', 'ETSI Standard', 'Hybrid Cloud ']","In-charge of the design, deployment, installation, provisioning, troubleshooting, and reporting for the Openstack based cloud infrastructure and related Cloud services.
Develop maintenance plans and activities for Cloud infrastructure including application of fixes, security patches and upgrades, capacity increases and other Cloud related maintenance.
Requirements:
Degree in IT/Computer Science or equivalent
At least 3 years of experience in automation with configuration managements tools like Ansible, chef, puppet etc.
Good knowledge of cloud, Hybrid configuration, diversity across platforms.
If you are keen to apply for the position, kindly email your detailed resume in MS Word to [HIDDEN TEXT] Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website atwww.recruit-expert.com
EA Licence: 19C9701
Registration: R1326740",['Other'],['IT'],['Other Software/Hardware/EDP'],2022-02-19,https://www.monster.com.sg/seeker/job-details?id=5500406&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,"['48000', '60000']",permanent,"['2', '5']","['Puppet', 'Cloud Applications', 'Cloud Security', 'Cloud Computing', 'cloud management', 'Cloud Storage', 'OpenStack', 'Sdn', 'Cloud', 'Zabbix', 'Ansible', 'Troubleshooting', 'Cloud robotics', 'Cloud-based', 'Infrastructure', 'ETSI Standard', 'Hybrid Cloud ']","In-charge of the design, deployment, installation, provisioning, troubleshooting, and reporting for the Openstack based cloud infrastructure and related Cloud services.
Develop maintenance plans and activities for Cloud infrastructure including application of fixes, security patches and upgrades, capacity increases and other Cloud related maintenance.
Requirements:
Degree in IT/Computer Science or equivalent
At least 3 years of experience in automation with configuration managements tools like Ansible, chef, puppet etc.
Good knowledge of cloud, Hybrid configuration, diversity across platforms
If you are keen to apply for the position, kindly email your detailed resume in MS Word to [HIDDEN TEXT] Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website at www.recruit-expert.com
EA Licence: 19C9701
Registration: R1326740",['Other'],['IT'],['Other Software/Hardware/EDP'],2022-03-14,https://www.monster.com.sg/seeker/job-details?id=5500406&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Software and Automation Architect,Cisco International Limited Singapore Branch,"['108000', '180000']",permanent,"['10', '15']","['Kubernetes', 'Cloud Computing', 'JIRA', 'Python', 'Ansible', 'Java', 'Technical Leadership', 'Orchestration', 'Virtualization', 'Software Development', 'Modeling', 'Customer Experience', 'Architect', 'architects', 'Decision Making ']","What You'll Do
Cisco Customer Experience (CX) team seeks a Senior Software & Automation Architect to join the industry's best problem solvers in developing and deploying today's most sophisticated Orchestration, Automation, Observability and Analytics solutions, that enable our customers to benefit from their Software Defined Infrastructure investments.
Our Senior Software Architects are the bridge between our customer's challenges, and a working solution. As a leader, they are accountable for the successful translation of requirements into working delivered software. As an individual they are responsible for ensuing we deliver high quality software, documentation, and training to our customers. As a senior member of the team, they provide support at all stages of our lifecycle, including supporting proof-of-concepts through to sophisticated production issues.
Provide program and project level technical leadership, as a trusted partner to the Program Manager and Customer Delivery Manager
Architect, design and own the delivery of sophisticated software solutions to satisfy customer requirements
Coordinating and running customer workshops, identifying and resolving differences and uncertainty
Work independently to lead & mentor a multifunctional team including developers, architects, testing leads, and specialist engineers.
Support new customer opportunities by understanding their needs, developing a proposal and realistic plans, with clearly defined short-term and long-term success criteria
Collaborate with multiple partners from customers and within Cisco
Work with customers to capture detailed use cases and requirements spanning both business and technical domains
Be the project design authority for software responsible for scope control, technical decision making, and supporting with the identification and mitigation of technical risks, demonstrating your software development skills
Assist and guide the team in writing detailed functional specifications, and collaborate to design detailed data models with the development team
Who You'll Work With
You'll be joining our Software and Automation team, part of the larger CX Architecture Group, reporting to the ASEAN Delivery Manager.
As part of the CX Delivery team you will have the opportunity to with some of our largest enterprise and service provider customers, to craft and deliver software and automation projects such low touch provisioning of complex multi-technology sites, orchestration of SDN networks, automating critical aspects of security systems, or observability of distributed multi-tenant infrastructure.
Who You Are
The Senior Software Architect will have a software development background. You will have technical knowledge/experience with at least one of: large IP networks design, infrastructure fulfilment processes, observability and performance management, operations management, or automation (OSS). You should be an independent worker within the team to tackle complex tasks, ranging from design and implementation, to troubleshooting Cisco's best in class software offerings. The ideal candidate can lead a project team of designers, developers and testers, and interlock with collaborators to drive the business outcome for the customer. You will enjoy the challenges of the customer facing aspects of software delivery, and have excellent communications skills - able translate complex problem statements & solutions into high level messaging for CxO level. You have used innovative approaches to solving problems, with a large base knowledge of systems and approaches. You will value diversity of perspective, and welcome questions and insights understanding that we all have to start somewhere.
Minimum Qualifications
A minimum of 10 - 15 years of experience with IT Infrastructure management and operations and technologies, heavily preferred in a SP, financial services, or industrial networking environment
A minimum of 10 years of experience developing software applications using Python, Java and/or network automations using orchestration software
Experience in leading project teams of 5 or more engineers
Knowledge/experience in working with multiple industry standard CI/CD tools Git, Bitbucket, Jenkins, CircleCI, Artifactory, Jira, etc.
Proficiency in Information Security concepts, and experience with implementing security related automation.
Proven knowledge of at least one of: MPLS, Segment Routing, EVPN.
A practical understanding of standard and open framework models, such as ONAP, ETSI, and TM Forum models & APIs.
Experience deploying and integrating Network Modeling tools such as Cisco Crosswork Optimization Engine, Cisco WAE, Batfish, Forward Networks, etc.
Knowledge of Cisco and Industry Cloud computing (i. e. Openstack, Kubernetes, AWS), Data Center, Virtualization, Storage and Networking solutions is very desirable
Ability to solve complex problems creatively
Excellent verbal and written communication skills
Good understanding of business processes and operations
Highly Desirable
Knowledge of IETF standards and protocols such as NETCONF, YANG, BGP-LS, PCEP.
Experience as a Senior or Lead Developer, leading small teams.
Exposure to, or experience in, delivering pure advisory (non-hands on) engagements
Good exposure to Scripting technologies (Python, Salt, Ansible)
Exposure to products and technologies such as Cisco NSO, ESC, CVIM, BPA, NETConf, YANG, JSON, XML and REST
Demonstrable experince in leading pre-sales activities, including simplifying and clarifying problem statements, creating a compelling long term plan, authoring and contributing to proposal and scoping documents, including customer contracts.
We Are Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here's how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we're old (30 years strong!) and only about hardware, but we're also a software company. And a security company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do you can't put us in a box!",['Other'],['IT'],['Other Software/Hardware/EDP'],2022-02-19,https://www.monster.com.sg/seeker/job-details?id=5412628&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
