job_title,applicantsCount,date_posted,job_desc,remoteAllowed,company_name,companyUrl,job_functions,industry,job_type,url
Cloud Consumption Analyst,19.0,2021-10-07,"Job Description

The Cloud Consumption Analyst works closely with Field Sales, Business Unit, Market sizing and Forecasting and various Business Management Group (BMG) teams to achieve business objectives for the South East Asia region, Australia and New Zealand. The individual contributor develops and leverages a deep understanding of Cloud business dynamics including customers, business segments, technology trends, analytics, acumen.

Job Description
Performs Cloud market sizing, deals analysis and evaluates requests including deals, workload and customers to fit company objectivesManages and monitor Cloud sales operation process such as cloud opportunity entry, cloud tagging in salesforce. Identifies potential issues and provides workable solutions to mitigate such risks Develops templates and dashboard for consistency and effectiveness in accordance with sales guidelines and best practicesDelivers and communicates timely reports and recommendations to sales account executives and business stakeholders Works with Cloud sales account executives in developing and refining correlation approach that streamline the cloud sales motion Acts as the communication conduit and be the Go-to person in Cloud related operations – understand the opportunities, identify the risks, or process gap and bring the voice that need management to drive the results and support the business growth in the region
Minimum Qualifications

Qualifications
Minimum of 6+ years of relevant experience in Sales strategy, Sales operations, and Program managementExperience in PowerBI and Salesforce pipeline managementNatural curiosity and desire to always learn and possess initiative to drive improvement and streamline processesHigh attention to detail with good analytical skills and foresightAble to work under ambiguityAbility to work with cross functional teams and manage multiple business prioritiesExcellent communication and collaboration skillsFamiliar with Cloud platform and its operation (AWS, Microsoft Azure, GCP, Oracle, etc)
Inside this Business Group

Intel's Sales and Marketing (SMG) organization works with global customers and partners to solve critical business problems with Intel based technology solutions. SMG works across business units to amplify the customer voice and deliver solutions that accelerate their business. We work across numerous industries, including retail, enterprise and government, cloud services and healthcare as examples. The operations team focuses on forecasting, driving alignment with factory production and delivering efficiency tools and our marketing capability drives demand and localized marketing in locations around the globe. Our sales force navigates a complex partner and customer ecosystem while shaping product roadmaps, driving value for our customers, and collaborating to harness emerging technology trends to deliver comprehensive solutions.

Other Locations

Malaysia, Penang",False,Intel Corporation,https://www.linkedin.com/company/intel-corporation,Information Technology,Semiconductors,permanent,https://www.linkedin.com/jobs/view/2773797384/
Senior Cloud Software Engineer,45.0,2021-11-16,"We are seeking talented Senior Cloud Software Engineer to join us in building the next generation Mapping Software to create large, accurate, and safe HD Maps, fast. We are building a mapping system that supports mapping at a scale of billions of data points from different sensors and data sources used by hundreds of users and operators spread out across different cities and time zones in Asia and the United States of America. HD Maps enable our autonomous cars to navigate from point A to point B. It is a critical set of information to make the smartest safe decisions on the road. With an ever expanding footprint of mapped areas, we enable teams of researchers, engineers, testers, and operators across the entire company to explore uncharted territory by enabling our self-driving cars to learn from new environments and go where no other self-driving car has gone before.
We are seeking talented Software Engineers to help develop and roll out the next generation of our advanced tools to support autonomous driving.
Things you'll get to work on:Design, plan, and implement future improvements of the mapping backend system for scalability and performanceWork with large-scale point cloud, image, and other sensor data to build maps for our growing fleet of self-driving carsSupport full software development life cycleProvide guidance and mentorship to team to build cloud competenciesWrite high quality, idiomatic, and maintainable code
Education and Experience we hope you'll come with:BS or MS in Computer Science or related field3+ years of experience in architecting, designing, and implementing cloud solutions on AWSFamiliarity with Docker, containerization technology, and KubernetesFamiliarity with Serverless ArchitecturesExperience in Test Driven Development and writing testable codeExperience in troubleshooting and tuning systemsGood knowledge of Python or C++ and OOP principlesGood knowledge of a particular development ecosystem, such as developing modules, publishing packages and using various dev tools (linting, code analysis)Ability to articulate ideas to non-technical audience
Bonus points for:Knowledge of geospatial data, libraries, and toolsPrior experience with HD Maps and/or mapping for self-driving cars",False,Motional,https://www.linkedin.com/company/motionaldrive,Engineering,Automotive,permanent,https://www.linkedin.com/jobs/view/2707798083/
"Pooling: Schneider Graduate Program Associate - Supply Chain (PH, SG, ID, TH, VN)",135.0,2021-11-20,"Great People make Schneider Electric a great company.

Do you dream of working in a company that is driven by a meaningful purpose and that continuously creates an inclusive environment where you are empowered to do your best and be innovative?

The Role: Schneider Graduate Program Associate – Supply Chain

Schneider Electric has launched rebranded Graduate Program that focuses on building and developing future digital leaders.

We are looking for top STEM talents that has the passion to drive innovation and has the dare to disrupt attitude by applying their know-hows and expertise in the fields of Cloud Computing, Software Engineering, Big Data and AI, IOT, Blockchain and AR/VR.

The program consists of three rotations over the course of two years. Throughout these rotations we will train you in different areas of the company’s Global Supply Chain Business so that you can become a well-rounded employee that makes an impact at Schneider Electric.

We have crafted a tailored onboarding process to train you in each function and ensure your success. There will be a mixture of in-person and online training, some as a group and others individually. You will also be paired with our digital transformation leaders to mentor and provide career guidance

Career Pathways: 

The program is designed to breed the next generation of digital leaders that will fuel the Dare to Disrupt and innovation culture here in Schneider Electric. As a young talent you have the opportunity to showcase your capabilities worldwide as a digital transformation agent for a certain business domain or be one of our top ""EDISON"" tech experts in our global supply chain technology teams

Who would be successful? 
You must be a fresh graduate or less than 1 year of working experience.Candidate must be a Bachelor or master’s degree in engineering or related fields. Preferably also holding a degree in information technology, computer science, data analytics, data science, RPA, machine learning, software engineering and mathematics.Aligned with the Schneider Electric’s core values Dare to DisruptExcellent academic credentials and leadership qualitiesMust be dynamic, flexible and can work in a fast-paced environment. Excellent communication skills in English (written/spoken)Work locations: Indonesia, Singapore, Thailand, Philippines, Vietnam
More details about Early career at Schneider Electric , please visit https://www.se.com/th/en/about-us/careers/your-experience-level.jsp

SELECTION PROCESS:

Round 1 – Online Application

Complete your application with a detailed resume and other supporting documents (transcripts of record, ID Card, certificates…) and a 10 min video on your perspective on digital transformation and innovation.

Round 2 – Online Assessment

If you’re eligible, you will be contacted for an initial interview. Be ready to be challenged further with digital assessment and gamified psychometrics.

Round 3– Assessment Centers

Shortlisted candidates will be invited to join the Assessment Center, simulating a real business challenge and pitch business case solution live to panelist who will challenge you with Q&A.

Intake: Year 2021, the exact date may differ for students with different graduation dates

What’s in it for me? (add additional benefits specific to job here)
Competitive salaryGlobal family leaveFlexible work arrangement: Flexi-hours, office hoteling, work from homeComprehensive medical coverage for employee
…and more!

Why us? 

Schneider Electric is leading the digital transformation of energy management and automation. Our technologies enable the world to use energy in a safe, efficient and sustainable manner. We strive to promote a global economy that is both ecologically viable and highly productive.

€25.7bn global revenue

137 000+ employees in 100+ countries

45% of revenue from IoT

5% of revenue devoted for R&D

Video Link: https://youtu.be/J0cFSdFpI24

Let us learn about you! Apply today.

You must submit an online application to be considered for any position with us. This position will be posted until filled.

It is the policy of Schneider Electric to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct.

Schedule: Full-time

Req: 0079VP",False,Schneider Electric,https://www.linkedin.com/company/schneider-electric,Administrative,,permanent,https://www.linkedin.com/jobs/view/2837955500/
Infrastructure Analyst,3.0,2021-11-20,"Who are we?

Cloud and Edge is a projects and IT consulting arm of the larger CIS (Cloud Infra Svcs) BU in Capgemini.

Platform Engineering (PE) is a niche team of a perfect blend of technocrats including seasoned solution architects bringing in their best of abilities. The team is responsible for creating innovative multi-cloud solutions on hyperscalars namely – AWS, Azure, GCP from ground zero. We have expertise in building DevOps, containerization, Kubernetes, Serverless, PaaS, Monitoring and Observability solutions by leveraging CI/CD best practices.

We focus on solving complex business problems in infrastructure domain ranging from foundation to next generation, bleeding edge technologies for Capgemini customers. We are cloud-agnostic, tool-agnostic, technology-agnostic and are game for any idea that challenges the status-quo.

Our vast hands-on real time experience on various technologies and capability to solve unique challenges for our clients set us apart from the league.

Job Description
Infra Analyst needs Strong understanding across infrastructure components (server, storage, network, data, and applications) to deliver end to end Cloud Infrastructure engagements that includes assessment and migrations.Strong Knowledge in Discovery, Assessment, MigrationInterviewing, facilitating working sessions, and having follow up sessions with both business and IT stakeholders within a client’s organization. The BA will work with Cloud Architects and rest of Cloud team to define and design an appropriate cloud strategy and solution.Advanced knowledge of and ability to perform analyses such as, GAP analysis, process mapping, Dependencies, risk analysis and requirements gathering.",False,Capgemini,https://www.linkedin.com/company/capgemini,Information Technology,Computer & Network Security,permanent,https://www.linkedin.com/jobs/view/2841040035/
Junior Software Solutions Engineer,10.0,2021-12-07,"What It's About

T he Business Applications Group is closely aligned with the business teams and responsible for the key applications to administrate, monitor and analyze Partners Group’s investment programs. The team is responsible for development, customization and on-going enhancement of these applications and related interfaces to best support the global business operations of Partners Group.

This is a global role where the candidate will provide administration, development and support for the document and content management infrastructure as well as act as the last level of escalation for many production support activities. The person will have control over the scope of technical activities, helping to develop best practices, manage knowledge and ensure necessary training of the team

Responsibilities
 Take responsibility of new developments and maintenance of the PG's in-house developed and commercial applications, ensuring their availability and reliability  Experience with application integration  Gather requirements and interact with end-users to understand their needs  Design solutions, prepare specifications and manage projects together with external developers  Documentation of systems and processes and handover to the Services Team 
What We Expect
 2+ years of experience in software engineering  Experienced in programming languages like Java and Python  Experienced with markup languages, especially XML/XSLT and JSON.  Good level of competency in relational databases (SQL scripting and modeling)  Accurate, effective and independent working style  High level of flexibility, the ability to work under pressure as well as good language skills in English (written/oral)  Excellent communicator with a team-oriented approach  Good project management and personal organization skills  Agile or similar development methodology experience  Solid academic record and a Bachelor/Masters degree with emphasis in technology (e.g. Information Technology, Management Information Systems, Computer Science, etc.) 
Not Required But a Plus
 Financial industry experience  Experience with content management services (Alfresco, SharePoint)  Experience with cloud services (i.e. AWS or Azure)  Knowledge of ETL tools like Pentaho and scheduling tools like Control-M 
What We Offer
 A highly collaborative and entrepreneurial environment in a team that works closely with both the technology and business sides the firm  Opportunity to learn the business from some of the world's leading private market experts  Challenging career path with a long-term career potential  Competitive salary with performance-related compensation model 
www.partnersgroup.com",False,Partners Group,https://www.linkedin.com/company/partners-group,"Engineering, Information Technology","Investment Management, Financial Services",permanent,https://www.linkedin.com/jobs/view/2821971962/
Data Engineer (APAC),13.0,2021-12-15,"We are looking for high-calibre Data Engineers to be a part of a growing tech firm!

This is a Permanent opportunity.

The Position
Experience in designing and building robust and highly scalable data pipelines Strong programming proficiency using 1 or 2 of the following languages: Python or Golang Strong understanding of building data models Clear understanding of distributed computing, especially in databases Hands-on in SQL with a deep understanding of query optimization Exposure to Machine Learning / Artificial intelligence is a plus Good to have: Experience working on any of the Cloud platforms (GCP, AWS, Azure) Strong communications skills 
What’s in it for you?
Exposure to the latest cutting-edge technologies Rewarding work: Opportunity to make real and immediate impact on the business and the industry You'll work with a great team. They're exceptional at their jobs, and winning market share from their competitors every day. Fun, friendly, open, start-up company culture 
We regret to inform that only shortlisted candidates will be notified / contacted.

For more information you can email Nicole Sichon in our Singapore office on Nicole.Sichon@teksystems.com quoting Job Reference NicoleSichon529420 or alternatively, apply here to register your interest.

http://jobs.en-sg.teksystems.com/fTYDTw/data-engineer-apac-itcommunications-singapore-singapore-15058685

Job Reference: Nicole Sichon 529420

EA Registration No.: R1873628, Sichon Andreana Nicole Ong

Allegis Group Singapore Pte Ltd, Company Reg No. 200909448N, EA License No. 10C4544",False,TEKsystems,https://www.linkedin.com/company/teksystems,Information Technology,Information Technology & Services,permanent,https://www.linkedin.com/jobs/view/2869837530/
Data Scientist,21.0,2021-12-15,"The Position

We are looking for high-calibre Data Scientists to join an agile and multidisciplinary team of data/AI experts for a growing technology firm! If you’re keen on solving complex problems through the use of machine learning, read on!

This is a Permanent opportunity.

The Position
Design end-to-end data science workflows and develop machine learning models to solve a variety of business problems Build efficient data pipelines and collaborate with engineers to productionize the models as in the cloud Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modelling, clustering, decision trees, neural networks, etc. Strong coding skills (Python, Spark, SQL), and comfortable analyzing large complex datasets Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. 
The Candidate
This firm is growing rapidly and hiring across mid to senior levels Ability to adapt to a dynamic, value driven, and self-motivated team culture 
What’s in it for you?
Exposure to the latest cutting-edge technologies Rewarding work: Opportunity to have real, actual and immediate impact on the business and the industry You'll work with a great team. They're exceptional at their jobs, and winning market share from their competitors every day. Fun, friendly, open, start-up company culture 
We regret to inform that only shortlisted candidates will be notified / contacted.

For more information you can email Nicole Sichon in our Singapore office on Nicole.Sichon@teksystems.com quoting Job Reference NicoleSichon515471 or alternatively, apply here to register your interest.

http://jobs.en-sg.teksystems.com/g6E7Lj/data-scientist-itcommunications-singapore-singapore-15058655

Job Reference: Nicole Sihon 515471

EA Registration No.: R1873628, Sichon Andreana Nicole Ong

Allegis Group Singapore Pte Ltd, Company Reg No. 200909448N, EA License No. 10C4544",False,TEKsystems,https://www.linkedin.com/company/teksystems,"Engineering, Information Technology",Information Technology & Services,permanent,https://www.linkedin.com/jobs/view/2869843014/
Data Engineer,72.0,2021-12-18,"Line of Service

Assurance

Industry/Sector

FS X-Sector

Specialism

Risk

Management Level

Senior Associate

Job Description & Summary

We believe that challenges are better solved together. That's why you'll join a diverse, global community of solvers - an unexpected mix of people that come together to build trust in society and solve important problems. With us, you are encouraged to lead with your heart and values, and where your unique skills are developed and put to work in unexpected and exciting ways, superpowered by technology.

Our Risk Assurance Practice provides an invaluable safeguard in today’s complex operating environment with insights and independent assurance. We work with clients to deliver business control to help them to protect and strengthen every aspect of their business from people to performance, systems to strategy, business plans to business resilience. We help clients manage, mitigate and control risks from potential cybersecurity breaches to possible breaks in the supply chain. We assess and prepare businesses by looking into their technology, finance, data analytics, regulatory requirements, data security and privacy, internal audit, and the third parties our clients rely on, to help clients deliver quality results and meet their strategic objectives.

How Will You Value-add

The Data Trust Services (DTS) team is integrated across different PwC Lines of Services, and works collaboratively with our clients to manage engagements and lead teams of data and analytics resources in all aspects of design and delivery of data and analytics solutions - including Analytics, Data Visualisation, and Data Management.

Responsibilities

PwC Professional skills and responsibilities for this management level include but are not limited to

As a Senior Associate, you'll work as part of a team of problem solvers, and assists clients to leverage data as an asset throughout its business processes. You'll enjoy working in multi-disciplinary teams and gaining valuable experience in various sectors and play a key role in ensuring high quality outputs and service to our clients.
Contribute technically to Data and Analytics projectsPerform data integration and exploration to assess relevance of dataApply data practices in the aspect of data quality, data securityCommunicate effectively with the project manager and team regarding the progress of the project
About You
Bachelor’s degree and above in Analytics, Information Systems Management, Computer Science or related fields3+ years of experience in data integration strategy, data modeling, designing, building ETLs, data ingestions, and/or transformationsExperience in working with RDBMS such as DB2, Oracle, Microsoft SQL Server, PostgresSQL, Teradata, etc.Experience in data management and integration tool such as Informatica PowerCentre, Oracle Data Integrator, SAP Data Services, Ab Initio, IBM DataStage or Microsoft SSISProcess good knowledge and experience in data quality definition, data cleansing and data treatment/profiling process using industry standard tools like Informatica Data Quality, Trillium Software, SAS Data Quality, SAP Data Quality Management, etc. is an advantageGood knowledge of data warehouse and data management implementation methodologyGood knowledge of the Data Management framework, including operating model, data governance, data management, data security, data quality and data architectureExperience in Hadoop environment like Cloudera and HortonWorksExperience in Cloud technologies including AWS, Azure, Google CloudExperience in API Management software design and buildProcess good knowledge and experience in data visualisation concepts using tools such as Tableau, Microsoft PowerBI, Qlik, etc.Experience with Agile Methodology implementationCertification in any of database, data integration, data management, visualisation tools and cloud is an added advantageKnowledge about the infrastructure paradigms such as OS, network, etc. is an added advantageAbility to pick up new tools and able to be independent with minimal guidance from the project leads/managersStrong analytical and creative problem-solving capabilitiesAbility to establish personal credibility quickly and demonstrate expertiseOnly shortlisted candidates will be notified due to the high number of applicants for this role.
There have been reports of scammers impersonating PwC HR professionals contacting individuals about fraudulent job opportunities using non-PwC domain email addresses and an overseas number. Please note that genuine communications from our HR team will only come from ""@pwc.com"" email address.

Education (if blank, degree and/or field of study not specified)

Degrees/Field Of Study Required

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Optional Skills

Required Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements

Not Specified

Available for Work Visa Sponsorship?

Yes

Government Clearance Required?

Yes

Job Posting End Date

",False,PwC Singapore,https://www.linkedin.com/company/pwc-singapore,Information Technology,"Information Technology & Services, Management Consulting, Accounting",permanent,https://www.linkedin.com/jobs/view/2874012077/
Optimization Engineer -PhD (remote),6.0,2021-12-20,"About Us:

Gurobi Optimization produces the most advanced and respected commercial solver software in the world. Gurobi Optimizer is the engine used by over 2,500 clients in over 40 industries to turn data into smarter decisions. It allows our users to state their toughest business problems as mathematical models and then automatically considers billions or even trillions of possible solutions to find the best one. One of our clients, the NFL, maximizes league revenue by solving one of the world’s most complex scheduling problems – one with 800 trillion possible solutions. Other clients include, Apple, Google, Microsoft, Siemens, SAP to name a few. The size of the organization has tripled in 3 years to keep up with our growth ambitions. While growth does require the business to evolve and change over time, we stay centered on our 5 core values: Customer Focus, Integrity, Dedication, Innovation and The Power of the Team.

Why Join?

Our team is made up of sharp minds who are singularly focused on building, marketing and supporting the most powerful optimization tool worldwide. We’re privately held and founded by three renowned experts in mathematical programming with an intriguing history. Gurobi’s vision is to spread the power of mathematical optimization across the globe, making it a tool for every complex decision. Our cutting edge, proven artificial intelligence technology is consistently rated as the innovation leader in the marketplace. We are on an upward trajectory with steady and profitable double-digit growth, proudly expanding our team across more than 10 different countries, all working remotely.

About You:

Are you passionate about optimization? 

Do you love solving puzzles and learning new things?

Do you enjoy helping others resolve their computer issues?

As members of the Gurobi team, we are proud to be an integral part of the leading provider of software and support for mathematical optimization. As a Gurobian, you will join an international team supporting a global customer base comprised of mathematical programming practitioners from a wide variety of industries including supply chain, transportation, electric power, mining, manufacturing, defense, communications, and many more. You will be a vital contributor in enabling Gurobi customers to be successful in implementing and solving their optimization problems. Our ability to efficiently communicate about complex issues makes our support team the best in the industry. We often encounter situations where creativity and teamwork are as essential as a deep understanding of mathematical programming.

What you’ll be doing: 

Respond to technical support questions from all over the world via an online ticketing system or via phone

Answer customer questions about topics such as API usage, product installation, and solver behavior

Conduct performance tuning for customer models

Write technical articles for the Gurobi website Present new product features and capabilities at technical conferences, and interact with product users at such events

Work with a highly skilled team on projects in many different areas

What you should have: 

Ph.D. in Operations Research, Computer Science, or similar discipline/experience

Computational experience in linear programming and mixed-integer programming

Outstanding written and oral communication

Fluency in Mandarin Chinese

Software development experience in a high-level programming language such as Python or C++

Basic system administration skills

Familiarity with cloud computing platforms such as Amazon AWS and Microsoft Azure

A willingness to learn new things on an on-going basis

Our Values

Innovation

We strive for continual improvement in our product and in our business. We develop cutting-edge technology, take measured risks, and use critical thinking to evaluate new ideas.

Customer Focus

We are dedicated to helping our customers, partners, and academic community succeed with mathematical optimization.

Integrity

We endeavor to be honest, trustworthy, and transparent in everything we do. We are fair, respectful, and inclusive of everyone.

Dedication

We love the work we do and are proud of the impact we have.

The Power of the Team

We celebrate the fact that we are an international, multigenerational, and multicultural team that works together to create a whole that is greater than the sum of its parts.

Our Commitment to Diversity

We are committed to an inclusive and a diverse Gurobi. We believe that different perspectives lead to better ideas, and better ideas allow us to better understand the needs and interests of our diverse, global community. We welcome people of different backgrounds, experiences, abilities and perspectives and are an equal opportunity employer.",True,Gurobi Optimization,https://www.linkedin.com/company/gurobi-optimization,"Engineering, Information Technology",Computer Software,permanent,https://www.linkedin.com/jobs/view/2876641081/
2022 H1 Internship (Jan - Jul): Product Management Intern,66.0,2021-12-25,"About Workato

Workato is the only integration and automation platform that is as simple as it is powerful — and because it's built to power the largest enterprises, it is quite powerful.

Simultaneously, it's a low-code/no-code platform. This empowers any user (dev/non-dev) to painlessly automate workflows across any apps and databases.

We're proud to be named a leader by both Forrester and Gartner and trusted by 7,000+ of the world's top brands such as Box, Grab, Slack, and more. But what is most exciting is that this is only the beginning.

Why join us?

Ultimately, Workato believes in fostering a flexible, trust-oriented culture that empowers everyone to take full ownership of their roles. We are driven by innovation and looking for team players who want to actively build our company.

But, we also believe in balancing productivity with self-care. That's why we offer all of our employees a vibrant and dynamic work environment along with a multitude of benefits they can enjoy inside and outside of their work lives.

If this sounds right up your alley, please submit an application. We look forward to getting to know you!

Also, feel free to check out why:
Business Insider named us an ""enterprise startup to bet your career on"" Forbes' Cloud 100 recognized us as one of the top 100 private cloud companies in the world Deloitte Tech Fast 500 ranked us as the 17th fastest growing tech company in the Bay Area, and 96th in North America Quartz ranked us the #1 best company for remote workers 

Responsibilities

We are looking for an exceptional Product Management Intern to join our growing team.. In this role, you will research and propose potential product growth opportunities. You will also be responsible to:
Research and propose potential product growth opportunities Gather, develop and communicate ideas between customers, partners and team members Evangelize your product and work with multiple stakeholders to come up with a product roadmap and strategy Efficiently prioritize tasks serving different product features and artfully manage icebox, backlogs and epics/stories of designers and engineers Collaborate with Engineers to create feature specifications Engage with sales, marketing, customer success for product release Design, plan, launch, monitor, analyze and optimize a product serving various personas (IT, Ops, Sales, CS, HR) in various industries (higher ed, software, hardware, consumer, retail 

[This is a 6 month internship. The opportunity to transit into a permanent, full-time position may be offered to you depending on your work performance amongst other factors.]

Requirements

Qualifications / Experience / Technical Skills
Passionate and driven about delivering differentiated products A critical thinker who loves to examine and rationalise information presented to you Thoughtful team player, a quick learner, and have a ""can do"" attitude with a growth mindset Fast mover and comfortable navigating a fast-paced environment Excellent written and oral communication skills in English, with the ability to convey complex technical concepts effectively to a non-technical audience Comfortable articulating ideas and influencing others Strong organizational skills and attention to detail to juggle multiple projects simultaneously",True,Workato,https://www.linkedin.com/company/workato,"Education, Training",Computer Software,intern,https://www.linkedin.com/jobs/view/2883303443/
