Source,Target,Type,Weight
1,5070,undirected,1
1,5071,undirected,1
1,5072,undirected,1
1,5073,undirected,1
1,5074,undirected,1
1,5075,undirected,1
1,5076,undirected,1
1,5077,undirected,1
1,5078,undirected,1
1,5079,undirected,1
1,5080,undirected,1
1,5081,undirected,1
1,5082,undirected,1
1,5083,undirected,1
1,5084,undirected,1
1,5085,undirected,1
1,5086,undirected,1
2,5087,undirected,1
2,5088,undirected,1
2,5089,undirected,1
2,5090,undirected,1
2,5091,undirected,1
2,5092,undirected,1
2,5074,undirected,1
2,5093,undirected,1
2,5094,undirected,1
2,5095,undirected,1
2,5096,undirected,1
2,5097,undirected,1
2,5098,undirected,1
2,5099,undirected,1
2,5100,undirected,1
2,5101,undirected,1
2,5102,undirected,1
2,5087,undirected,1
2,5088,undirected,1
2,5089,undirected,1
2,5090,undirected,1
2,5091,undirected,1
2,5092,undirected,1
2,5074,undirected,1
2,5093,undirected,1
2,5094,undirected,1
2,5095,undirected,1
2,5098,undirected,1
2,5099,undirected,1
2,5103,undirected,1
2,5100,undirected,1
2,5101,undirected,1
2,5102,undirected,1
2,5087,undirected,1
2,5088,undirected,1
2,5089,undirected,1
2,5090,undirected,1
2,5091,undirected,1
2,5092,undirected,1
2,5074,undirected,1
2,5093,undirected,1
2,5094,undirected,1
2,5095,undirected,1
2,5098,undirected,1
2,5099,undirected,1
2,5103,undirected,1
2,5100,undirected,1
2,5101,undirected,1
2,5102,undirected,1
3,5104,undirected,1
3,5105,undirected,1
3,5106,undirected,1
3,5107,undirected,1
3,5108,undirected,1
3,5089,undirected,1
3,5095,undirected,1
3,5093,undirected,1
3,5099,undirected,1
3,5109,undirected,1
3,5110,undirected,1
3,5111,undirected,1
3,5098,undirected,1
3,5112,undirected,1
3,5113,undirected,1
3,5114,undirected,1
3,5115,undirected,1
3,5102,undirected,1
4,5116,undirected,1
4,5117,undirected,1
4,5118,undirected,1
4,5119,undirected,1
4,5120,undirected,1
4,5121,undirected,1
4,5074,undirected,1
4,5122,undirected,1
4,5123,undirected,1
4,5081,undirected,1
4,5124,undirected,1
4,5125,undirected,1
4,5126,undirected,1
4,5127,undirected,1
4,5128,undirected,1
4,5129,undirected,1
4,5130,undirected,1
4,5116,undirected,1
4,5117,undirected,1
4,5118,undirected,1
4,5119,undirected,1
4,5120,undirected,1
4,5121,undirected,1
4,5074,undirected,1
4,5122,undirected,1
4,5123,undirected,1
4,5081,undirected,1
4,5124,undirected,1
4,5125,undirected,1
4,5126,undirected,1
4,5127,undirected,1
4,5128,undirected,1
4,5129,undirected,1
4,5130,undirected,1
5,5131,undirected,1
5,5132,undirected,1
5,5133,undirected,1
5,5134,undirected,1
5,5135,undirected,1
5,5136,undirected,1
5,5137,undirected,1
5,5138,undirected,1
5,5139,undirected,1
5,5140,undirected,1
5,5141,undirected,1
5,5142,undirected,1
