Source,Target,Type,Weight
11791,1,undirected,1
11791,2,undirected,1
11791,3,undirected,1
11791,4,undirected,1
11791,5,undirected,1
11791,6,undirected,1
11791,7,undirected,1
11791,8,undirected,1
11791,9,undirected,1
11791,10,undirected,1
11791,11,undirected,1
11791,12,undirected,1
11791,13,undirected,1
11791,14,undirected,1
11791,15,undirected,1
11791,16,undirected,1
11791,17,undirected,1
11791,18,undirected,1
11791,19,undirected,1
11791,20,undirected,1
11791,21,undirected,1
11791,22,undirected,1
11791,23,undirected,1
11791,24,undirected,1
11791,25,undirected,1
11791,26,undirected,1
11791,27,undirected,1
11791,28,undirected,1
11791,29,undirected,1
11791,30,undirected,1
11792,31,undirected,1
11792,3,undirected,1
11792,32,undirected,1
11792,33,undirected,1
11792,34,undirected,1
11792,35,undirected,1
11792,36,undirected,1
11792,37,undirected,1
11792,38,undirected,1
11792,39,undirected,1
11792,40,undirected,1
11792,41,undirected,1
11792,42,undirected,1
11792,43,undirected,1
11792,44,undirected,1
11792,34,undirected,1
11792,45,undirected,1
11792,46,undirected,1
11792,47,undirected,1
11792,48,undirected,1
11792,49,undirected,1
11792,42,undirected,1
11792,50,undirected,1
11792,51,undirected,1
11792,52,undirected,1
11792,53,undirected,1
11792,26,undirected,1
11792,54,undirected,1
11792,55,undirected,1
11792,56,undirected,1
11792,57,undirected,1
11792,58,undirected,1
11792,59,undirected,1
11792,60,undirected,1
11792,61,undirected,1
11792,62,undirected,1
11792,63,undirected,1
11792,64,undirected,1
11793,65,undirected,1
11793,66,undirected,1
11793,67,undirected,1
11793,68,undirected,1
11793,3,undirected,1
11793,69,undirected,1
11793,70,undirected,1
11793,71,undirected,1
11793,72,undirected,1
11793,73,undirected,1
11793,74,undirected,1
11793,75,undirected,1
11793,76,undirected,1
11793,77,undirected,1
11793,78,undirected,1
11793,79,undirected,1
11793,80,undirected,1
11793,81,undirected,1
11793,82,undirected,1
11793,83,undirected,1
11793,84,undirected,1
11793,85,undirected,1
11793,86,undirected,1
11793,87,undirected,1
11793,88,undirected,1
11793,89,undirected,1
11793,90,undirected,1
11793,83,undirected,1
11793,91,undirected,1
11793,26,undirected,1
11793,54,undirected,1
11793,75,undirected,1
11793,92,undirected,1
11793,93,undirected,1
11793,94,undirected,1
11793,95,undirected,1
11793,96,undirected,1
11793,97,undirected,1
11793,98,undirected,1
11794,99,undirected,1
11794,100,undirected,1
11794,101,undirected,1
11794,102,undirected,1
11794,103,undirected,1
11794,104,undirected,1
11794,105,undirected,1
11794,3,undirected,1
11794,106,undirected,1
11794,107,undirected,1
11794,108,undirected,1
11794,109,undirected,1
11794,110,undirected,1
11794,111,undirected,1
11794,112,undirected,1
11794,113,undirected,1
11794,114,undirected,1
11794,115,undirected,1
11794,116,undirected,1
11794,117,undirected,1
11794,118,undirected,1
11794,119,undirected,1
11794,120,undirected,1
11794,80,undirected,1
11794,121,undirected,1
11794,122,undirected,1
11794,107,undirected,1
11794,123,undirected,1
11794,124,undirected,1
11794,52,undirected,1
11794,125,undirected,1
11794,126,undirected,1
11794,127,undirected,1
11794,128,undirected,1
11794,54,undirected,1
11794,129,undirected,1
11794,26,undirected,1
11794,130,undirected,1
11794,131,undirected,1
11794,132,undirected,1
11794,58,undirected,1
11794,133,undirected,1
11794,134,undirected,1
11794,135,undirected,1
11794,136,undirected,1
1880,100,undirected,1
1880,137,undirected,1
1880,138,undirected,1
1880,139,undirected,1
1880,140,undirected,1
1880,141,undirected,1
1880,105,undirected,1
1880,3,undirected,1
1880,142,undirected,1
1880,106,undirected,1
1880,107,undirected,1
1880,143,undirected,1
1880,110,undirected,1
1880,144,undirected,1
1880,145,undirected,1
1880,33,undirected,1
1880,35,undirected,1
1880,146,undirected,1
1880,147,undirected,1
1880,148,undirected,1
1880,149,undirected,1
1880,150,undirected,1
1880,151,undirected,1
1880,152,undirected,1
1880,153,undirected,1
1880,154,undirected,1
1880,155,undirected,1
1880,139,undirected,1
1880,156,undirected,1
1880,157,undirected,1
1880,158,undirected,1
1880,159,undirected,1
1880,160,undirected,1
1880,25,undirected,1
1880,25,undirected,1
1880,126,undirected,1
1880,26,undirected,1
1880,129,undirected,1
1880,54,undirected,1
1880,161,undirected,1
1880,60,undirected,1
1880,162,undirected,1
1880,163,undirected,1
1880,164,undirected,1
1880,165,undirected,1
1880,166,undirected,1
1880,167,undirected,1
1880,168,undirected,1
11795,139,undirected,1
11795,137,undirected,1
11795,169,undirected,1
11795,139,undirected,1
11795,170,undirected,1
11795,117,undirected,1
11795,171,undirected,1
11795,3,undirected,1
11795,172,undirected,1
11795,107,undirected,1
11795,173,undirected,1
11795,108,undirected,1
11795,109,undirected,1
11795,112,undirected,1
11795,33,undirected,1
11795,113,undirected,1
11795,174,undirected,1
11795,175,undirected,1
11795,35,undirected,1
11795,146,undirected,1
11795,176,undirected,1
