Source,Target,Type,Weight
6668,1,undirected,1
6668,2,undirected,1
6668,3,undirected,1
6668,4,undirected,1
6668,5,undirected,1
6668,6,undirected,1
6668,7,undirected,1
6668,8,undirected,1
6668,9,undirected,1
6668,10,undirected,1
6668,11,undirected,1
6668,12,undirected,1
6668,13,undirected,1
6668,14,undirected,1
6668,15,undirected,1
6668,16,undirected,1
6668,17,undirected,1
6668,18,undirected,1
6668,19,undirected,1
6668,20,undirected,1
6668,21,undirected,1
6668,22,undirected,1
6668,23,undirected,1
6668,24,undirected,1
6668,25,undirected,1
6668,26,undirected,1
6668,27,undirected,1
6668,28,undirected,1
6668,29,undirected,1
6668,30,undirected,1
6668,31,undirected,1
6668,32,undirected,1
6668,33,undirected,1
6668,34,undirected,1
6668,35,undirected,1
6668,33,undirected,1
6668,36,undirected,1
6668,37,undirected,1
6668,38,undirected,1
6668,39,undirected,1
6668,40,undirected,1
6668,41,undirected,1
6668,42,undirected,1
6668,43,undirected,1
6668,44,undirected,1
6668,45,undirected,1
6668,46,undirected,1
6668,47,undirected,1
6668,48,undirected,1
6668,49,undirected,1
6668,50,undirected,1
6668,51,undirected,1
6668,52,undirected,1
6668,53,undirected,1
6668,54,undirected,1
6668,55,undirected,1
6668,56,undirected,1
6668,57,undirected,1
6668,58,undirected,1
6668,59,undirected,1
6668,60,undirected,1
6668,61,undirected,1
6668,62,undirected,1
6668,63,undirected,1
6668,64,undirected,1
6668,65,undirected,1
6668,66,undirected,1
6668,67,undirected,1
6668,68,undirected,1
6669,69,undirected,1
6669,70,undirected,1
6669,71,undirected,1
6669,72,undirected,1
6669,73,undirected,1
6669,74,undirected,1
6669,26,undirected,1
6669,75,undirected,1
6669,76,undirected,1
6669,77,undirected,1
6669,78,undirected,1
6669,79,undirected,1
6669,80,undirected,1
6669,81,undirected,1
6669,82,undirected,1
6669,83,undirected,1
6669,84,undirected,1
6669,85,undirected,1
6669,86,undirected,1
6669,87,undirected,1
6669,88,undirected,1
6669,89,undirected,1
6669,90,undirected,1
6669,91,undirected,1
6669,92,undirected,1
6669,56,undirected,1
6669,93,undirected,1
6669,94,undirected,1
6669,95,undirected,1
6669,96,undirected,1
6670,5,undirected,1
6670,97,undirected,1
6670,98,undirected,1
6670,99,undirected,1
6670,100,undirected,1
6670,101,undirected,1
6670,102,undirected,1
6670,103,undirected,1
6670,104,undirected,1
6670,19,undirected,1
6670,64,undirected,1
6670,105,undirected,1
6670,106,undirected,1
6670,107,undirected,1
6670,33,undirected,1
6670,108,undirected,1
6670,52,undirected,1
6670,109,undirected,1
6670,110,undirected,1
6670,111,undirected,1
6670,112,undirected,1
6670,49,undirected,1
6670,113,undirected,1
6670,114,undirected,1
6670,115,undirected,1
6670,116,undirected,1
6670,117,undirected,1
6670,118,undirected,1
6670,119,undirected,1
6670,120,undirected,1
6670,121,undirected,1
6670,122,undirected,1
6670,56,undirected,1
6670,123,undirected,1
6670,57,undirected,1
6670,124,undirected,1
6670,60,undirected,1
6670,125,undirected,1
6670,126,undirected,1
6670,127,undirected,1
6670,128,undirected,1
6670,129,undirected,1
6670,130,undirected,1
6670,131,undirected,1
