Id,Name,Type
1, Cloud Computing,Skills
2,  Computer Hardware,Skills
3, Components,Skills
4,  Technical Support,Skills
5, Mac Operation,Skills
6,  Wan,Skills
7, 1st &,Skills
8,  Windows 10,Skills
9,  Windows 7,Skills
10,  rollout ,Skills
11,  Operating Systems,Skills
12,  Software Installation,Skills
13,  Troubleshooting,Skills
14, Network,Skills
15, Windows 10,Skills
16,  Routers,Skills
17, MaintenanceComputer Hardware,Skills
18, Digital Signage,Skills
19, WAN,Skills
20, Switches,Skills
21, Microsoft Server,Skills
22, Office,Skills
23, Firewall,Skills
24, LAN,Skills
25, Routers,Skills
26,  Mac,Skills
27, IOT,Skills
28,  Predictive Maintenance,Skills
29,  Networking,Skills
30, User Computers,Skills
31, TCPIP,Skills
32,  Wireless,Skills
33, Windows 7,Skills
34,  Leadership,Skills
35,  Ip,Skills
36,  Interpersonal Skills,Skills
37,  Strategy,Skills
38,  test equipment,Skills
39, Tier,Skills
40, guidanceInterpersonal SkillsUses,Skills
41, IP,Skills
42, SolvingRecognizes,Skills
43,  Knowledge Management,Skills
44,  Customer Satisfaction ,Skills
45,  Technical Sales,Skills
46,  Compliance,Skills
47, Scalability,Skills
48,  Reliability,Skills
49,  Problem Solving,Skills
50,  Google Cloud Platform,Skills
51,  Customer Management,Skills
52,  Hardware,Skills
53, BKM,Skills
54, Revs,Skills
55,  Pressure,Skills
56, Tier II,Skills
57, Leadership,Skills
58,  Customer Relationship,Skills
59,  announcements,Skills
60, new hires,Skills
61, announcements,Skills
62, Sales,Skills
63, Customer Engineer,Skills
64, spares,Skills
65,  Software Engineering,Skills
66,  Project Management,Skills
67,  Account Planning,Skills
68, District Sales,Skills
69, Field Engineering,Skills
70,  Appraisals,Skills
71, Applied Materials,Skills
72,  Commissioning ,Skills
73, CSD Management,Skills
74, ExpertiseReceives,Skills
75,  Agile,Skills
76, Business Conduct,Skills
77, SolvingExercises,Skills
78, quarterly,Skills
79,  Cloud-based,Skills
80,  Cloud Security,Skills
81,  Cloud,Skills
82, Openstack,Skills
83,  Cloud Storage,Skills
84,  Ansible,Skills
85,  ETSI Standard,Skills
86,  cloud management,Skills
87,  Sdn,Skills
88, troubleshooting,Skills
89, Puppet,Skills
90,  OpenStack,Skills
91,  Cloud Applications,Skills
92,  Infrastructure,Skills
93, R1326740,Skills
94, Ansible,Skills
95,  Zabbix,Skills
96, Computer Science,Skills
97,  Hybrid Cloud ,Skills
98, chef,Skills
99, IT,Skills
100, upgrades,Skills
101, fixes,Skills
102, MS Word,Skills
103,  Cloud robotics,Skills
104,Cisco,Skills
105, CircleCI,Skills
106, CI,Skills
107, Orchestration,Skills
108, Segment Routing,Skills
109,  Python,Skills
110, Automation,Skills
111, Lead Developer,Skills
112,  Virtualization,Skills
113, CVIM,Skills
114, Cisco WAE,Skills
115, SDN,Skills
116, XML,Skills
117, IETF,Skills
118, AI,Skills
119, NETConf,Skills
120, Industry Cloud,Skills
121, Customer Delivery,Skills
122, ASEAN Delivery,Skills
123, Senior Software,Skills
124, JSON,Skills
125, Cisco NSO,Skills
126,  Customer Experience,Skills
127,  Software Development,Skills
128,  JIRA,Skills
129, Bitbucket,Skills
130, today,Skills
131, Git,Skills
132, architects,Skills
133, AWS,Skills
134, DoCisco,Skills
135, Cisco Crosswork,Skills
136, Data Center,Skills
137, DesirableKnowledge,Skills
138, ONAP,Skills
139, Python,Skills
140,  Decision Making ,Skills
141, Jenkins,Skills
142,  Orchestration,Skills
143, Network Modeling,Skills
144, documentation,Skills
145, LS,Skills
146, Information Security,Skills
147, Machine Learning,Skills
148, Software,Skills
149,  Technical Leadership,Skills
150, Kubernetes,Skills
151, CX Architecture,Skills
152, MPLS,Skills
153, PCEP,Skills
154, ESC,Skills
155, OSS,Skills
156,  Java,Skills
157, Salt,Skills
158,  Architect,Skills
159,  Cloud Computing,Skills
160,  architects,Skills
161, Artifactory,Skills
162, YANG,Skills
163, BGP,Skills
164, TM Forum,Skills
165, Jira,Skills
166, Virtualization,Skills
167, Observability,Skills
168, Forward Networks,Skills
169, Java,Skills
170, ETSI,Skills
171, SP,Skills
172, Storage,Skills
173, BPA,Skills
174, Batfish,Skills
175, EVPN,Skills
176,  Modeling,Skills
177, CxO,Skills
178, Test Planning,Skills
179, VMS,Skills
180, CCTV,Skills
181,  test environment setup,Skills
182, Huawei APAC,Skills
183, etcFamiliar,Skills
184, Bachelor,Skills
185, COVID-19,Skills
186,  Linux,Skills
187, Tan,Skills
188,  System Testing,Skills
189, Linux,Skills
190,  Vms,Skills
191,  Video Surveillance ,Skills
192, Video,Skills
193,  Concerts,Skills
194, Virtual,Skills
195, Unix,Skills
196, Windows,Skills
197, Singapore,Skills
198,  Building Automation,Skills
199, WIFI,Skills
200, Access Control,Skills
201, PERSOLKELLY Singapore,Skills
202, CV,Skills
203,  tennis,Skills
204,  Electronics,Skills
205, Switch,Skills
206,  Windows,Skills
207, R1331238,Skills
208, Singapore Pte,Skills
209, APPLY NOWEA,Skills
210, POC,Skills
211, Server,Skills
212, Government,Skills
213, Minimum Qualifications,Skills
214,  Test Execution,Skills
215, Test Engineer,Skills
216,JavaScript,Skills
217, SQL,Skills
218, C++Knowledge,Skills
219, stacksMaintain,Skills
220,  C++,Skills
221, operationsDesign,Skills
222,  Financial Markets,Skills
223,  Docker,Skills
224, Master,Skills
225, AbilitiesGood,Skills
226,  trading systems,Skills
227, NoSQL,Skills
228, classSkills,Skills
229,  Javascript,Skills
230, Docker,Skills
231, TypeScript,Skills
232,  Good Communication Skills ,Skills
233,  Sql,Skills
234, monitor,Skills
235, Animation,Skills
236, IaaS,Skills
237, journey,Skills
238, Cloud Models,Skills
239,  Excellent Communication Skills,Skills
240, Javascript,Skills
241,  System Architecture,Skills
242,  Architecture Design,Skills
243, Drupal,Skills
244, EnglishOpen,Skills
245, DevSecOpsPassionate,Skills
246,  Work Autonomously,Skills
247,  Team Player ,Skills
248, ResponsibilitiesThis,Skills
249, PaaS,Skills
250, Big Data,Skills
251, System,Skills
252, GCP)Strong,Skills
253, Google Cloud,Skills
254, the Integrations,Skills
255, TerraformWorking,Skills
256,  Drupal,Skills
257, quoPassionate,Skills
258, Computing,Skills
259,  Project Delivery,Skills
260, gitlab,Skills
261, digital,Skills
262, ExperienceExperience,Skills
263, DevOps,Skills
264,  Saas,Skills
265, CloudEducation,Skills
266,  Scrum,Skills
267, unlearn,Skills
268, Container,Skills
269,  Test Design,Skills
270, OAuth2,Skills
271, Traditional,Skills
272,  Architect ,Skills
273, OIDC,Skills
274, Public Cloud,Skills
275,  Solution Architecture,Skills
276, rest/,Skills
277, Spring,Skills
278, grpc,Skills
279,  Test Management,Skills
280,  Data Architecture,Skills
281,  Test Strategy,Skills
282, Streaming,Skills
283,  Test Automation Framework,Skills
284, senior executives,Skills
285, mTLS,Skills
286, Mobile,Skills
287, voice,Skills
288,  Scalability,Skills
289,  Api,Skills
290, Application Architecture,Skills
291, Tokens,Skills
292,  Test Automation,Skills
293, gateway &,Skills
294, Cloud,Skills
295, API,Skills
296, Modern,Skills
297,  Professional Services,Skills
298,  Consulting,Skills
299,  Articulate,Skills
300, Kubernetics2,Skills
301, Skills:1,Skills
302,  Quality Driven ,Skills
303,  Pipelines,Skills
304,  Scripting,Skills
305, Shell,Skills
306,  Kubernetes,Skills
