job_title,company,salary,job_type,years_experience,tech_stack,job_description,industry,function,roles,last_updated,posted_on
"Solution Engineer, Vietnam Market",Salesforce.com Singapore Pte. Ltd.,141600-283188 SGD Per Annum,Permanent Job,2-5 Years,Cloud Computing  Solutioning  Software Engineering  Enterprise Architecture  Business Requirements  Hardware  Translating  thought leadership  Product Management  Communication Skills  Design Thinking  Articulate  Facilitation  Mis ,"The ASEAN Solution Engineering organisation is building out a solid and diverse team in region. We are seeking a Solution Engineer for our Asean SE team to cover Vietnam market.

Solution Engineering is the equivalent of sales consulting/pre-sales, who secure the functional and technical selection of Salesforce solution portfolio and assist with the Discovery, Solutioning, Demonstration and Value phases of the sales cycle.

The Solution Engineer is responsible for leading the solution throughout the sales cycle and delivering thought leadership to companies to transform their customer's experience with our strategic customers in the Vietnam market.

The Senior Solution Engineer / Lead Solution Engineer is responsible for leading the solution throughout the sales cycle and delivering thought leadership to companies to transform their customer's experience. The Solution Engineer is an experienced person who works alongside their colleagues, participates in building our team culture and supports their aligned sales team to create solutions for prospects and customers.

To accomplish this, the Solution Engineer must have a strong desire to set the vision translating business objectives into enticing and actionable recommendations. The Solution Engineer will act as a trusted advisor to our customers while aiding the customer's transformational journey.

Responsibilities:
Manage enterprise accounts primarily in Vietnam
Work closely with current customers and prospective customers as a trusted advisor to deeply understand their unique company challenges and goals
Build trusted relationship with senior executives and key decision makers across Business and Technology
To develop and deliver innovative custom solutions, including solution concepts to key decision makers to address their business issues and needs aligned to business value
Coordinate and lead the entire solution cycle through close collaboration with a broad range of supporting technical and business resources
Industry experience, incorporating and developing a point of view based on Salesforce's solutions
To fully understand and clearly articulate the unique benefits of Salesforce to a wide range of customer stakeholders from front line staff right up to C-level executives
Present compelling Salesforce & partner solutions while supporting relationships with customers and partners
Display initiative, self motivation and deliver high quality results along with meeting all expectations for both internal and external customers
Have a strong interest in growing your career and participating in our internal training programs and mentorship initiatives.
Must have a proven track record in the development and delivery of differentiated custom solutions and presentations, including technical concepts, to key decision makers to address their business issues and needs
Ability to orchestrate a sales cycle which requires involvement of multiple internal and external resources
Display initiative, self motivation and deliver high quality work while at the same time, meeting all deadlines for both internal and external customers
Willing and able to travel occasionally
Skills/Experience Required:
B.S. Computer Science, Software Engineering, MIS or equivalent work experience
Prior experience as a Solution Engineer in Cloud Presales is preferred
A broad understanding of and ability to articulate the benefits of Cloud Computing, SFA, Service & Support, Marketing and Mobile solution. Knowledge of related applications, relational database and web technology
Knowledge of Solution or enterprise architecture, Business case/value experience to drive compelling points of view
Solid oral, written, presentation, collaboration and interpersonal communication skills and relationship skills
Ability to work as part of a team to solve technical problems in a varied environment
Translate these needs into a compelling vision and roadmap for our customers
Translating/presenting/Understanding the unique business requirements of customers within multiple industries
Track record of solution engineering, consultancy, delivery or training success for a software solution organisation. We are open to a variety of backgrounds for the role
Proven time management skills in a dynamic team environment
Ability to work as part of a team to solve problems in varied, fast paced environments
Inquisitive, practical and passionate about technology and sharing knowledge
Good at searching out information and experimenting, likes to concentrate on a particular topic and to solve puzzles
Good at explaining ideas and finding ways to keep people's attention
Mandatory: Fluency in Vietnamese
Desirable: Design thinking and facilitation skills",Other,Sales/Business Development,Other Sales,17/3/2022,24 days ago
Full Stack Developer (Java/React) - 12m renewable,Robert Walters (singapore) Pte Ltd,84000-144000 SGD Per Annum,Permanent Job,2-5 Years,Css3  Scalability  Design Patterns  HTML  Test Driven Development  Agile  Javascript  Html5  Sql  Python  Angular  Oop  Java  Software Development  jQuery  Writing ,"Key Responsibilities:
Work closely with the existing team to learn the application platform and understand its functionalities and complexities
Actively develop features on and understand the software life cycle of the application platform
Design, develop and test microservices using Springboot framework
Lead designs of major software components and features to improve the availability, scalability, latency, and efficiency of the product
Be a part of agile team and be proactive in team discussions
Be interested in the business as well as technology aspects of the domain
Mentor and guide junior team members
Bring a positive, can-do attitude and be open to all ideas
To succeed in this Full Stack Developer (Java/React) - 12m renewable role, you must have a minimum of four years experience working in Java and frontend technologies.
Key Requirements:
Four to eight years of experience in Java and frontend technologies
Good knowledge of OOP (Object Oriented Programming) concepts and design patterns
Hands-on experience building applications using Spring, Spring Boot, Spring cloud, JPA
Hands-on exposure to Restful and Microservice architecture
Strong fundamentals on HTML, CSS3, JavaScript along with hands on experience on Angular/React JS Ecosystem. A good grasp of state-management patterns such as Redux, Flux, etc.
Working knowledge of test driven development using Junit/Mockito and other testing framework
Hands-on experience with database; skilled at understanding and writing SQL statements
The company is a leading global bank with a strong foothold in the Singapore market.
If you are a full stack developer with a strong background in Java, this Full Stack Developer (Java/React) - 12m renewable role is perfect for you.
Apply now or contact me to discuss this new opportunity. Due to the nature of the role, only Singapore-based candidates will be shortlisted.
Do note that we will only be in touch if your application is shortlisted.
Robert Walters (Singapore) Pte Ltd
ROC No.: 199706961E | EA Licence No.: 03C5451
EA Registration No.: R1768414 Stephanie Tan",Other,IT,Other Software/Hardware/EDP,,16 days ago
"Functional Lead, Digital Human Resources",United Overseas Bank Limited,144000-180000 SGD Per Annum,Permanent Job,7-10 Years,Scalability  Requirements Analysis  Technology Development  business process reengineering  transparency  Payroll  Project Planning  Compliance  Hr Policies  Analytical Problem Solving  Human Resource  Process Optimization  Human Resources  Stakeholder Management  Human Capital ,"Job Responsibilities
Partners with assigned HR functions to advise them on process optimization using technology
Participates in HR functions business requirements analysis and identifies HR technology solution providers to address the technology needs for specific function
Manages full life cycle HR technology projects and the associated project planning for the sub modules/streams
Lead a team of functional leads in cloud technology; and develop and build both system and functional capabilities
Review, analyse and recommends adoption of cloud half yearly releases to meet current and future strategic human capital management delivery
Develop, implement, and maintain user procedures, guidelines, and business processes documentation
Trains stakeholders and users on system utilization
Maintains systems to ensure continued operations and reporting efficiency and resolves software issues
Serves as liaison between HR users, IT and third parties
Report project risks and issues proactively with transparency for assigned HR workstreams.
Supports Head, Digital HR in ensuring compliance to governance standard, including performing annual audit on human resources systems
Job Requirements
Technical Skills & Experience
Minimum 7 years experience as a functional liaison and performing human resource systems implementation and support, including cloud-based solution (experience in Workday is preferred but not mandatory).
Understand project life cycle and Technology development models
Knowledge of business process reengineering will be desirable
Excellent stakeholder management and communication skills
Passionate, diligent individual with ability to thrive in ambiguity
Strong quantitative, analytical, problem solving and process design skills that can translate analysis into actions that meet business objectives
Experience in scoping and evaluation Defining overall considerations, including scalability, maintainability, cost, operations and technology principal risk to provide a recommendation
Education
Bachelor's degree in Information systems/engineering/ business/ finance or equivalent",Other,IT,Other Software/Hardware/EDP,,17 days ago
Security Partner Solution Architect,Vmware Singapore Pte. Ltd.,128400-255600 SGD Per Annum,Permanent Job,5-7 Years,Application Security  Web Application Firewall  Vmware  Customer Success  Networking  Security Architecture  developmental disabilities  Leadership  Security Operations  Regulatory Compliance  Architect  Cybersecurity Framework Application  Channel  wellbeing  Scheduling ,"Work Here. Transform Everywhere.
The most advanced companies in the world turn to VMware to manage, grow and transform their business. When you work here, you're connected to a global community of innovative, empowered employees working together to solve the most critical technology challenges. Here, your talents are amplifiedfor the good of your career and the good of each other. Here, you're surrounded by a culture of possibility, where ideas ripple out and have a positive impact on customers and communities everywhere.
VMware's market-leading portfolio enables the implementation of Zero Trust with fewer tools and silos, better context, and security that's built-in and distributed with the control points of users, devices, workloads and networks.
Underpinning the success of VMware's Security solutions is a rich and diverse channel ecosystem. VMware is looking for an experienced Technologist to support key partners in integrating VMware into joint solutions that protect our customers digital assets.
As Security Partner Solution Architect, you will act as a technical thought leader, helping scale customer success by strategically engaging with our partners to help them build and sustain practices focused on VMware Security technologies.
What we want from you:
Network/security architecture experience with significant depth around designing, implementing, and managing cross-functional projects
Experienced C-suite advisor with strong customer/partner relationship-building skills
Consultative approach, with strong solution-selling skills
Experience in evangelizing new product / solution technologies
Can uncover business challenges and recommend solutions to solve those challenges, with an ability to present complex concepts in terms of business value
Background in one or more of the following technology areas and disciplines would also be useful: VMware Carbon Black, sandbox security & micro-segmentation, endpoint security, anti-virus, Software-Defined Networking, container networking & security, Secure Web Gateway, Cloud Access Security Broker, Intrusion Detection/Protection, network firewall solutions, incident response/troubleshooting in a SOC environment.
Why will you enjoy this new opportunity
This role represents an exciting opportunity for an individual to play a leading role in growing VMware's Security business across the South East Asia and Korea region. The role will join an energetic and dynamic team focused on collaborating with our solution and technology partners to grow our Security capability and revenues.
What are the performance outcomes over the first 6-12 months you will work toward completing
The success of this role will be measured qualitatively in terms of the partner capability to sell and deliver VMware Security solutions across the South East Asia and Korea region. It will also include quantitative measures e.g. partner-generated pipeline and bookings.
What type of work will you be doing What assignments, requirements, or skills will you be performing on a regular basis
This role will be working with partners in South East Asia and Korea to develop market-differentiated service offerings based on VMware's rich portfolio of Security products. Typical activities will include:
Scaling customer success with partners through practice development and activation
Become a trusted advisor for partner technical stakeholders to positively influence capacity, capability & deployment aligned with their business needs
Engage closely with the partner to build and execute a practice development plan, accelerate accreditation & certifications, and track deployments.
Act as a product evangelist and be recognised as an IT Security technical thought leader, representing VMware at external events where required
Play an active role in educating and enabling VMware channel teams on the Security portfolio
What is the leadership like for this role What is the structure and culture of the team
This role will be part of a matrix organisation, connecting into both VMware's specialist Security and Partner Tech teams. It will also be a key member of the South East Asia and Korea organisation.
This matrixed structure fosters collaboration between different groups, providing excellent development opportunities for individuals to build skills in new areas and develop relationships across the business. Our culture is based on VMware's EPIC2 values (https://news.vmware.com/company/vmwares-culture-built-epic2-values).
Where is this role located
The role is considered flexible and will be a mix of working from a local VMware office (Suntec, Singapore) and remote depending on your preferences and the arrangements determined with your manager. You will be expected to live within a reasonable commute of the office.
What are the benefits and perks of working at VMware
You and your loved ones will be supported with a competitive and comprehensive benefits package. Below are some highlights, or you can view the complete benefits package by visiting https://benefits.vmware.com/.
Employee Stock Purchase Plan
Medical Coverage, Retirement, and Parental Leave Plans for All Family Types
Generous Time Off Programs
40 hours of paid time to volunteer in your community
Rethink's Neurodiversity program to support parents raising children with learning or behavior challenges, or developmental disabilities
Financial contributions to your ongoing development (conference participation, trainings, course work, etc.)
Wellness reimbursement and online fitness and wellbeing classes
What happens once you apply
End of Application: Open until Filled (Encouraged to apply immediately)
Recruitment process
Application review
Recruiter phone interview
Hiring team interviews
Background check
Offer
The recruitment process may be different depending on the job and maybe changed due to scheduling and circumstances. Interview schedules and the results will be informed to the applicant via the e-mail address submitted at the application stage.",Other,IT,Other Software/Hardware/EDP,,15 days ago
Senior Account Manager,Diebold Nixdorf Singapore Pte. Ltd.,72000-128400 SGD Per Annum,Permanent Job,5-7 Years,User Stories  Excel  Managed Services  Strong Attention To Detail  Working With Clients  Selling  Strategy  B2b  Written Communications  Project Management  Time Management  Customer Satisfaction  Consulting ,"Company Overview
Expect more. Connect more. Be more at Diebold Nixdorf. Our teams automate, digitize, and transform the way more than 75 million people around the globe bank and shop in this hyper-connected, consumer-centric world. Join us in connecting people to commerce in this vital, rewarding role.
Position Overview
This role maintains and grows relationships with the Retail customers and is responsible for correctly capturing their requirements, and based on that, proposing the appropriate approach to satisfying the clients using Diebold Nixdorf (DN) solutions. Face-to-face meetings with clients to educate and provide them with the best of DN's solutions as well as to promote DN's business through presentations and account analytics are essential for achieving assigned sales and profitability goals.
The role is expected not only to retain existing business, but also to pursue profitable growth opportunities in both existing and new customer accounts. Being responsible for selling and supporting DN's complete array of products and services, the ideal candidate has to fully understand customer needs on the one hand, and DN's solutions on the other.
In the APAC region, the clients in the retail industry will most likely be household names, to whom you will be proposing the use of DN's Vynamic Self Service software for Self-Checkout devices, for example. Your role will be critical to ensuring that the solution meets the bespoke needs of the particular client. You would leverage your hands-on knowledge of the Retail industry to achieve highest possible results across different markets. To excel at this position, you are expected to utilise business intelligence (BI) insights gathered from your clients first-hand as well as to make use of the BI data provided by DN's sales and marketing specialists, implementation resources, service resources, and other management resources to ensure an effective and high-quality response to ever-changing customer demands, for instance as innovations in payments value chain and digital wallets.
Comfortable in a client facing environment, you will also be a technically agile, naturally inquisitive individual able to understand our solutions architecture. You will be involved in delivering of DN's upcoming next-generation cloud-based Retail platform. Introduction of the functionally rich new solutions into the customer environment will require your comprehension of all aspects of the project lifecycle. With your previous exposure to all kinds of stakeholders, you will take pride in delivering quality in your day-to-day activities and ensuring customer satisfaction. We are a busy group that relies on teamwork, close collaboration and everyone supporting each other in order to get the job done.
At the forefront of working with clients and delivering comprehensive Retail solutions, this role provides a perfect opportunity for you to broaden your own experience and become multiskilled since customer requirements and environments are constantly changing in this fast-moving space all whilst being part of a longstanding global company that is a key player in both the hardware and software space, supplying solutions to many household names that we all interact with on a day-to-day basis.
Job Responsibilities
Managing a named accounts list:
Selling the firm's complete offering of products and services to existing accounts
Driving additional assigned and new market share growth into new accounts lead by Self Service and Managed Services solutions
Achieving assigned sales quota and meeting assigned expectations for profitability.
Gathering Customer Requirements:
Facilitating customer workshops and meetings
Understanding the business processes of a customer, identifying gaps in their requirements, and working with them to develop the user stories for scenarios they may not have considered
Estimating effort and severity of identified gaps in terms of needed customisations.
Running Knowledge Streams:
Creating requirements traceability matrices and functional specifications for identified requirement gaps
Building and maintaining up to date knowledge of DN solutions and corresponding architecture to support meaningful customer conversations
Supporting continuous improvement of artifacts such as solution blueprints, process frameworks and workshop templates to facilitate project management efforts.
Job Requirements
Minimum BA/BS required; MBA preferred.
Experience selling B2B solutions (Hardware, Software or Services); additional experience in the Retail (CPG/FMCG) industry as an account/sales manager is an advantage.
Experience managing the bid or proposal process including responding to RFI's.
Must have an understanding on the TCO (total cost of ownership) and ROI that we are selling to the customers.
Must have proven and successful sales experience at managing resources and complex, multidimensional sales efforts, both at the customer level and corporate environment.
Strong client-facing skills with experience of dealing with senior manager and director level contacts.
Ability to understand user requirements and customer business requirements.
Analytical, logical thinking, able to understand the bigger picture and identify potential issues not necessarily within the current scope of requirements.
Familiarity with Payments Value Chain, Platforms, Gateways and Digital Wallets.
International working experience in different cultural setups.
Some strategy consulting experience is an advantage.
Ability to understand a complex technical solution/system flows as well as business processes in detail.
Understanding of the overall software development life cycle and its phases.
Experience working in an agile, waterfall and hybrid environment.
Ability to comfortably communicate at all levels of the organisation and adjust style between business and technical audiences.
Effective oral and written communications skills in English.
A strong attention to detail and able to mentor other team members as needed.
Ability to successfully engage in multiple initiatives simultaneously.
Strong organisational skills / Time management ability to work accurately and to tight deadlines.",Other,Sales/Business Development,Other Sales,18/3/2022,15 days ago
Campaign Developer,Connect Energy Services Pte. Ltd.,42000-72000 SGD Per Annum,Permanent Job,2-5 Years,Oracle  Enterprise Software  Sql  Google Analytics  Business Requirements  experimentation  Relationship Management  Marketing  Strategy  B2b  Project Management  Digital Marketing  Team Player  facebook  Decision Making ,"Our client specialises in AI digital marcom services globally. Currently, they are looking for this role to join their Singapore office within CBD vicinity.
As a Campaign Developer, you are accountable for Client outcomes in terms of strategic agenda and delivery and execution of Campaign design, briefing, optimization and experimentation
You will plan, devise and help Client's understanding the best ways to utilize Company's software and services based on their needs and business requirements. In the eyes of the Client, you are educating them on the capabilities of the services, in doing so driving incremental value to the Client's businss.
Responsibilities:
Develop and maintain key relationships with a portfolio for Client(s) by delivering a range of innovative marketing solutions in a fast paced environment
Deliver and present strategies and recommendations on the implementation of digital campaign platforms with confidence
Serve as the trusted advisor in campaign measurement and analytics for optimal decision making
Operate with consultative and strategic approach to deliver strategic solutions from campaign designing, briefing, optimization and experimentation
Prorities multiple tasks and document business requirement specifications on campaign management tools
Collaborate with internal and external stakeholders to gain holistic understanding of clients and therefore be able to effectively present dynamic solutions
Analyze client data, current campaigns and insights to identify opportunities and areas for additional projectgs to add value
Keep up to date on new technologies, industry trends and innovations to provide informed and relevant recommendations
Requirements
Degree in IT, computer science and related degree
Min. 2 years experience working with end to end marketing campaigns and campaign management applications is desirable.
Dynamic and strategic thinker with a background or experience in marketing
Experience operating Marketing Enterprise Software woruld be highly advantageous (salesforce marketing cloud, salesforce pardot, adobe campaigns, oracle eloqua etc)
Strong understanding of SQL and database relationship management, having worked with large and complex data sets
A background in managing multiple key projects or consultative work with a good track record of delivering success for client or agency's business
Pragmatic problem solver with a keen attitude to deliver business outcomes
Work both independently and collaboratively in gathering requirements with minimal supervision
Excellent written and oral communcation skills.",Other,IT,Other Software/Hardware/EDP,,16 days ago
Java Software Engineer,Troytech International Consulting Pte Ltd,60000-108000 SGD Per Annum,Permanent Job,5-7 Years,Requirements Gathering  Web Programming  Websphere Esb  Kubernetes  Javascript  Unix  Ibm Db2  JDBC  Pci Dss  Servlets  Applications Development  Continuous Integration  Performance Tuning  Database Design  Rest Apis  Ejb  Esb  Linux  Software Development ,"Software Engineer (System):
Responsibilities:
Working with a back office development team, you will be responsible for the design and delivery of the software solution for a high volume and performance intensive back office of an Automatic Fare Collection (AFC) system.
The activities required to be performed shall include the following:
? Requirements gathering;
? Design, development, and maintenance of the software;
? Preparation and submission of deliverables throughout the software development lifecycles such as Business Rules, Software Requirement Specifications, Software Architecture Document, Design Specification, Interface Specifications, Source Codes, Testing Specification, Operation and Maintenance Manual, Training Manual and others documents as required in the standard adopted by the clients;
? Assist the client with day-to-day application support issues;
? Liaise with users on the requirement, design and testing issues.
Qualifications & Requirements:
? Recognised degree in Computer Science, IT or engineering with at least 5 years relevant experience in software development;
? Gone through at least one full software development lifecycle (SDLC) with experience in producing SDLC documentations;
? Extensive experience in analysing requirements, designing, development and delivering complex enterprise applications in Java/JEE, web programming on UNIX / LINUX and Windows environment;
? Extensive experience in web based applications development (EJB, Servlets, javascript) and database application interfacing (JDBC, SQL) in Websphere Application Server and IBM DB2;
? Extensive experience in Automatic Fare Collection (AFC) system;
? Experience in Enterprise Service Bus (ESB), Microservices and REST;
? Extensive experience in Software Modernization, Containerization, Microservices;
? Experience in Cloud Computing, Amazon EKS, Google GKE Redhat Openshift Kubernetes & Dockers will be an advantage;
? Experience in database design, development and performance tuning;
? Experience in Agile development methodology and continuous integration;
? Experience in EMV and Payment Card Industry Data Security Standard (PCI DSS) will be an advantage;
? Strong analytical and problem-solving skills; and
? Good written and verbal communication skills in English.
COVID-19 Vaccination:
The engineer will have to make a declaration if he/she is fully vaccinated.
From 14 February 2022, a person will have to take a booster shot within 270 days of completing their primary vaccination series in order to maintain a fully vaccinated status against COVID-19.",Other,IT,Other Software/Hardware/EDP,18/3/2022,16 days ago
Senior Cyber Security Engineer (QRadar),Sopra Steria Asia Pte. Ltd.,54000-108000 SGD Per Annum,Permanent Job,2-5 Years,Azure  Ccna  Cyber Security  Ccnp  System Administration  Threat Intelligence  Itil  Vulnerability Assessment  Malware Analysis  Firewalls  Security Architecture  Risk Assessment  Problem Solving  Auditor  Cisa  Regulatory Requirements ,"Role and Responsibilities:
1. Manage security projects and implementation to mitigate IT risks and comply with regulatory requirements
2. Provide advice and consultancy on security risk and controls
3. Perform security risk assessments for new project and current systems
4. Perform periodic IT security control testing and remediate gaps
5. Good knowledge on security tools as to advice and deploy the suitable security application
6. Must have hands-on experience in implementing Qradar software.
Entry Requirements:
1. Bachelors in Information System or relevant IT experience
2. Preferably with 2 years experience in cyber security role, 2 years in infra role
3. Expert in using MS office + project schedule
Experience:-
1. Experience by hands on in Operating System (Win|Linux), Networking(Cisco|Foritgate) Database(MsSQL|Oracle)
2. Experience in script writing e.g(Shell)
3. Experience in Cloud security tools deployment (Azure|AWS)
4. Experience in managing and installing SIEM, PIM, SSO, NAC solutions
4. Experience in perform Penetration Test, Vulnerability Assessment & Risk Assessment using industrial tools.
5. Experience with the following technologies: leading SIEM technologies, EDR solutions; Knowledge of IDS/IPS, Anti-Virus Solutions, network- and host- based firewalls, data leakage protection (DLP), web proxies, DNS, windows/Unix system administration.
6. Experience working in a 24/7 SOC environment
7. Experience in IT Infrastructure Library (ITIL) lv3 deployment methodologies
8. Creative, independent and good problem solving skill
9. Excellent communication with strong analytical and writing skill
10. Understanding of possible attack activities such as network reconnaissance probing/ scanning, DDOS, malicious code activity, etc
11. Strong knowledge on malware analysis
12. Strong knowledge in system security architecture and security solutions
Industrial Certification
Must have at least (3 out of 5)
o Certified Information Systems Auditor (CISA)
o Certified Ethical Hacker (CEH) minimum level 9
o Certified Intrusion Analyst (GIAC)
o Offensive Security Certified Professional (OSCP)
o Certified Threat Intelligence Analyst (C|TIA)
Good to have
o Cisco Certified Network Associate (CCNA)
o Cisco Certified Network Professional (CCNP)
o Microsoft Certified Azure Security Engineer (MSASE)
o AWS Certified Security - Specialty
o AWS / Azure certification",Other,IT,Other Software/Hardware/EDP,18/3/2022,16 days ago
R&D Lab Test Lead,Hyperscal Solutions Pte. Ltd.,30000-42000 SGD Per Annum,Permanent Job,5-7 Years,Microsoft Office  Quality Assurance  Agile Methodologies  Analytical Chemistry  Capa  Cross-functional Team Leadership  Fda  Continuous Improvement  Quality Control  Quality Management  Process Improvement  Hplc  Healthcare  Gmp  Gas Chromatography  Chemistry  Project Management  Product Development  Laboratory  Manufacturing ,"COMPANY DESCRIPTION
Beyondsoft International (Singapore) Pte. Ltd. was set up in 2007 and established as the regional headquarters for the Southeast Asia (SEA) and European markets in September 2015. Based on our vision of Using technology to promote social progress, economic development and become a global customer preferred partner and our concept of Beyond your expectations, Beyondsoft is committed to provide our customers in countries along the Belt and Road with comprehensive solutions and products and creating commercial value for customers to realizing continuous businesses development.
Our core business includes:
IT development servicesProviding customers with IT consulting, software research and development, software and hardware testing, system integration and operation and maintenance, data analysis and other services;
New retail solutions and productsThrough intelligent products, helping small and medium-sized enterprises (SMEs) realize the digital transformation of their daily operations;
Internet of Things (IoT) platform and solutionsComprehensive use of IoT, artificial intelligence, big data, cloud computing and other technologies to provide IoT solutions for intelligent upgrades in cities, parks, buildings and industries, to create a smart future.
For more information, please visit www.beyondsoft.com.
RESPONSIBILITIES
Set up, conduct, and run tests per documented instructions or test details provided by engineer.
Communicate with engineer on issues encountered during the test and perform basic troubleshooting steps provided.
Able to generate basic data entry reports requested by engineer.
Provide training and guidance to tester when needed.
Basic data collection using lab equipment (Eg. Microscope, Etester) as instructed by engineer.
Provide maintenance of lab equipment (Eg. Inspector scanners, Etester, microscopes).
Support ad-hoc test requests from other teams.
Maintain the tidiness and upkeep of the lab and other work areas.
QUALIFICATIONS
Diploma or Nitec in Engineering.
Candidates with relevant working experience in Engineering.
Fresh graduates with positive attitude and willingness to learn are welcomed to apply.
Proficient and/or willing to learn Microsoft Office (Powerpoint/Excel/Word).
Attention to detail; Organized.
Good written and verbal communication skills.
Problem solving.
Hands-on approach.
OTHER INFORMATION
Location: Alexandra
Working Hours: Mon-Fri @ 8.30 5.30pm
Please note that your application will be sent to and reviewed by the direct employer - Beyondsoft International (Singapore) Pte Ltd",Other,Manufacturing/Engineering/R&D,Other Production/Engineering/R&D,18/3/2022,16 days ago
Application Consultant,Activate Interactive Pte Ltd,54000-84000 SGD Per Annum,Permanent Job,2-5 Years,.NET  Information Technology  Web Technologies  Sql  Database Administration  Angular  Web Applications  Java  C#  Software Development  Negotiation  Talent Acquisition  Healthcare  financial transactions  Project Management  Architecture Design  experience design ,"Activate Interactive Pte Ltd (Activate) is a leading IT solution and service provider headquartered in Singapore with a presence in Malaysia and Indonesia. The homegrown company was founded in 1997 with the mission of positively impacting the lives of people around us and the environment we live in through the use of technology.
We offer quality, cost-effective and impactful IT solutions and services, including mobile and web applications and cloud technology. Over the years, we have helped government agencies and enterprises remove technology roadblocks and increase their business efficiency to better serve the communities.
To amplify our efforts in improving people's lives, Activate also develops preventive healthcare solutions that serve to increase health awareness and improve population health.
We believe that the success of a company relies on the strengths of our employees. At Activate, we are committed to provide a conducive environment and develop our employees to realise their full potential.
From a three-person outfit, Activate has grown into a team of more than 150 employees, delivering more than 150 solutions and services to help our clients achieve growth and success.
We have opportunities for you to grow your career path and are looking for talented professionals to join our team.
Work with project leads, developers and operations on a live commercial project that has more than one million users on its platform and impacts population health.
Software support and maintenance of deployed products and solutions
Work closely with project management and experience design team to deliver project outcomes
Strong hand-on experience in C#, .Net OR Java Technologies
Solid hand-on experience with Angular Frameworks AND ReactJS
Knowledge of Object-Oriented Programming and SQL
Proficient knowledge of languages such as Java and/or NodeJS will be a plus
Ability to manage a hosting environment, including database administration as well as scaling applications to handle load changes
Experienced in developing on Unix/Linux environments
Effective communication skills & customer-oriented mindset
Ability to work with a multiple team and stakeholders
If you love the idea of being part of a growing company with exciting prospects in mobile and web technologies that create positive impact on people's lives, then we would love to hear from you!
Be in touch with our Talent Acquisition Team at [HIDDEN TEXT] or our Career Page https://www.activate.sg/jobs",Other,IT,Other Software/Hardware/EDP,18/3/2022,16 days ago
